"    Item","    Item","Unit","1980-81","1985-86","1986-87","1987-88","1988-89","1989-90","1990-91","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*","",""
"4. Imports & Exports","(i) Gross Imports: Qty: LNG","Mn.Tonne","","","","","","","","","","","","","","","","","",5.06,6.81,8.32,8.06,8.828,8.949,9.703,"",""
"4. Imports & Exports","(i) Gross Imports: Qty: Petroleum Products","Mn.Tonne",7.29,3.87,3.05,3.95,6.26,6.54,8.66,20.34,21.46,22.97,23.77,16.61,9.27,7.01,7.23,7.9,8.83,13.44,17.66,22.461,18.5242,14.66,17.3369,14.921,"",""
"","                 Total (a)    ","""",23.54,19.01,18.53,21.68,24.07,26.03,29.36,47.68,55.37,57.46,63.58,74.41,83.37,85.72,89.22,98.33,104.69,117.909,135.972,152.453,159.3592,182.747,189.8801,196.738,"",""
"4. Imports & Exports","(i) Gross Imports: Value: Crude Oil","Rs.Billion",33.49,36.87,21.2,29.86,28.63,40.9,61.18,115.17,183.37,158.72,149.17,400.28,659.32,603.97,761.95,835.28,1170.3,1717.02,2190.29,2726.99,3481.49,3753.78,4559.09,6690.68,"",""
"4. Imports & Exports","(i) Gross Imports: Value: LNG","Rs.Billion","","","","","","","","","","","","","","","","","",33.66,56.5,71.97,95.48,102.97,127.19,203.73,"",""
"4. Imports & Exports","(i) Gross Imports: Value: Petroleum Products","Rs.Billion",19.17,12.74,6.53,9.79,15.16,22.28,46.6,125.78,162.1,143.09,122.76,141.86,120.93,72.49,88.47,96.77,148.87,279.72,411.6,610.0,608.458,337.54,558.118,482.88,"",""
"","                 Total (b)    ","""",52.66,49.61,27.73,39.65,43.79,63.18,107.78,240.95,345.47,301.81,271.93,542.14,780.25,676.46,850.42,932.05,1319.17,2030.4,2658.39,3408.96,4185.428,4194.29,5244.398,7377.29,"",""
"","   ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","",""
"4. Imports & Exports","(ii) Exports: Qty: Petroleum Products","Mn.Tonne",0.04,1.96,2.49,3.41,2.3,2.59,2.65,3.44,2.66,2.38,0.72,0.75,8.37,10.07,10.29,14.62,18.21,23.46,33.624,40.779,38.9016,50.974,59.1328,60.517,"",""
"","","","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","",""
"4. Imports & Exports","(ii) Exports: Value: Petroleum Products","Rs.Billion",0.08,5.1,4.11,6.49,5.24,6.96,10.04,18.32,17.21,12.66,3.06,6.98,76.72,82.19,108.68,167.81,299.28,499.74,810.94,1107.89,1220.66,1440.37,1961.12,2664.86,"",""
"","   ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Imports & Exports","(iii) Net Imports: Qty: Crude Oil","Mn.Tonne",15,15,15,15,15,15,20.7,27.34,33.91,34.49,39.81,57.8,74.1,78.71,81.99,90.43,95.86,99.409,111.502,121.672,132.775,159.259,163.5942,172.114,"",""
"4. Imports & Exports","(iii) Net Imports: Qty: Petroleum Products","Mn.Tonne",7.25,1.91,0.56,0.54,3.96,3.95,6.01,16.9,18.8,20.59,23.05,15.86,0.9,-3.06,-3.06,-6.72,-9.38,-10.02,-15.964,-18.318,-20.3774,-36.314,-41.7959,-45.596,"",""
"                 Total (a)    ","                 Total (a)    ","""",23,23,23,23,23,23,26.71,44.24,23,23,62.86,73.66,75.0,75.65,78.93,83.71,86.48,94.449,102.348,111.674,120.4576,131.773,130.7473,136.221,"",""
"4. Imports & Exports","(iii) Net Imports: Value: Crude Oil","Rs.Billion",15,15,15,15,15,15,15,15,15,158.72,149.17,400.28,659.32,603.97,761.95,835.28,1170.03,1717.02,2190.29,2726.99,3481.49,3753.78,4559.09,6690.68,"",""
"4. Imports & Exports","(iii) Net Imports: Value: Petroleum Products","Rs.Billion",19.09,7.64,2.42,3.3,9.92,15.32,36.56,107.46,144.89,130.43,119.7,134.88,44.21,-9.7,-20.21,-71.04,-150.41,-220.02,-399.34,-497.9,-612.202,-1102.83,-1403.002,-2181.98,"",""
"                 Total (b)    ","                 Total (b)    ","""",23,23,23,23,23,23,23,23,23,23,268.87,535.16,703.53,594.27,741.74,764.24,"","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Imports & Exports","(iv) Unit Value of Crude oil imports(gross)","Rs./MT",2061.0,2435.0,1370.0,1684.0,1608.0,2093.0,2956.0,4212.0,5409.0,4601.91359814,3747.04848028,6925.25951557,8897.70580297,7673.35789607,9293.2064886,9236.75771315,12205.6123513,17272.2791699,19643.5041524,22412.6339667,26220.9753342,23570.2848819,27868.286284,38873.5373067,"",""
"5. India's Total Imports","5. India's Total Imports","Rs.Billion","","","","","","","","","","","","","","","","",5010.65,6604.09,8405.06,10123.12,13744.36,13637.04,16834.6696,23422.17,"",""
"6. India's Total Exports","6. India's Total Exports","Rs.Billion",67.11,108.95,124.52,157.41,202.81,276.81,325.53,1063.53,1188.17,1301.01,1397.53,1595.61,2035.71,2035.71,2035.71,2035.71,3753.4,4564.18,5717.79,6558.64,8407.55,8455.34,11429.2,14540.66,"",""
"7. Petroleum Imports as % of India's total Imports","7. Petroleum Imports as % of India's total Imports","%","","","","","","","RE : Revised Estimates","","","","","",38.3281508663,33.2296839923,41.7751054915,45.7850086702,26.3273228024,30.7445840381,31.6284476256,33.6749934803,30.4519672069,30.7566011393,31.1523666612,31.4970389165,"",""
"","","","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April.","! : As on 1st April of initial year.","","","","","","**: Apr.07 to Feb.08","","","","","","","","","",""
"8. Petroleum Exports  as % of India's total Exports","8. Petroleum Exports  as % of India's total Exports","%","","","","","","","","","","","","",34.5594411778,29.1922719837,36.4364275855,37.5416930702,7.9735706293,10.9491737837,14.1827524271,16.8920690875,14.5186171953,17.0350334818,17.1588562629,18.3269535221,"",""
"     ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9. Contribution of Oil Sector to Centre/State Resources","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. Contribution of Oil Sector to Centre/State Resources","   (i)  Royalty from crude oil","Rs.Billion","","","","","","","","","","","","",24.86,"","","",42.71,50.67,58.57,65.44,71.55,61.5493,91.2116,158.326,"",""
"9. Contribution of Oil Sector to Centre/State Resources","   (ii) Royalty from gas","Rs.Billion","","","","","","","","","","","","",6.59,"","","",8.29,8.637,10.75,14.84,16.24,17.9979,25.27,32.8226,"",""
"9. Contribution of Oil Sector to Centre/State Resources","   (iii)Oil Development Cess","Rs.Billion","","","","","","","","","","","","",28.78,"","","",55.37,51.96,71.77,71.56,68.87,70.96,83.1418,81.1882,"",""
"9. Contribution of Oil Sector to Centre/State Resources","   (iv) Excise & Custom duties^","Rs.Billion","","","","","","","","","","","","",361.04,"","","",563.95,631.43,718.93,783.77,705.57,717.67,1028.29,952.29,"",""
"9. Contribution of Oil Sector to Centre/State Resources","   (v)  Sales Tax","Rs.Billion","","","","","","","","","","","","",200.9,"","","",390.0,459.34,530.8645,598.9012,629.6229,639.4864,807.0885,1003.75,"",""
"9. Contribution of Oil Sector to Centre/State Resources","   (vi) Dividend","Rs.Billion","","","","","","","","","","","","",32.87,"","","",95.45,100.57,121.49,99.74,98.6,138.11,133.29,130.4244,"",""
"10. Natural Gas :","10. Natural Gas :","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10. Natural Gas :","   (i)  Gross Production","Bn.Cub.Mtr.","","","","","","","","","","","","",29.714,"","","",31.763,32.202,31.747,32.417,32.845,"47..496",52.219,47.559,"",""
"10. Natural Gas :","   (ii) Utilisation","Bn.Cub.Mtr.","","","","","","","","","","","","",28.037,"","","",30.775,31.325,30.791,31.479,31.746,46.521,51.248,46.482,"",""
