-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2004-05.This table contains the physical parameters of reported SRTUs in India in term of Average Fleet Held and Average Fleet Operated, Average Age of...", 
 "file_name": "Physical_Performance_of_SRTUs_for_the_Year_2004-05.xls", 
 "title": "Physical Performance of SRTUs for the year 2004-05 ", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_SRTUs_for_the_Year_2004-05.xls"
}
-----
"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overaged vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
23.0,"North West Karnataka RTC",3290.0,3151.0,5.68,29.2,4537.81,20527.0,5.36,272269.0,174015.0,5168.0,569.0,102.0
24.0,"Orissa SRTC",259.0,230.0,5.9,7.7,255.82,1336.0,4.38,12023.54,8296.24,55.31,33.0,6.0
25.0,"Pimpri Chinchwad MT",212.0,123.0,8.58,41.04,119.3,1895.0,3.65,5607.18,4092.72,303.51,58.0,3.0
26.0,"Pune MT",927.0,764.0,8.25,0.0,591.05,6913.0,3.29,36710.0,22748.0,2282.0,221.0,23.0
27.0,"Punjab Roadways",1712.0,1444.0,9.5,78.0,1290.19,9500.0,4.3,67089.88,40253.93,1934.0,94.0,36.0
28.0,"Rajasthan SRTC",4564.0,4378.0,5.07,23.87,5573.8,22651.0,5.0,289837.6,203755.83,3905.71,642.0,218.0
29.0,"State Exp.TC TN Ltd.",885.0,820.0,6.1,99.54,1859.53,6971.0,4.68,78918.45,61931.67,327.56,570.0,77.0
30.0,"TN STC(Coimbatore Dvn)Ltd.",2469.0,2352.0,6.19,52.95,3484.25,15910.0,4.58,232579.55,168516.92,9873.51,1118.0,177.0
31.0,"TN STC(Kumbakonam)Ltd.",2837.0,2649.0,6.42,62.71,4403.45,18177.0,4.88,282360.11,209275.44,9375.59,1123.0,224.0
32.0,"TN STC(Madurai)Ltd.",3478.0,3294.0,7.46,72.17,5140.4,22198.0,4.83,339392.88,234233.74,13566.72,1643.0,277.0
33.0,"TN STC(Salem)Ltd.",1609.0,1541.0,5.38,50.37,2517.24,10687.0,4.81,171197.41,114287.43,5519.18,467.0,150.0
34.0,"TN STC(Villupuram)Ltd.",2644.0,2520.0,6.0,56.17,4206.93,18690.0,4.63,273521.0,222367.0,8537.0,1225.0,235.0
35.0,"Tripura RTC",96.0,61.0,7.25,23.0,28.95,720.0,3.59,1406.0,1010.0,14.0,1.0,1.0
36.0,"Uttar Pradesh SRTC",6715.0,6448.0,4.32,24.63,7258.66,"NA",5.03,375625.0,232888.0,3767.69,911.0,364.0
"Total","All India",109611.0,101168.0,"","",122559.86,654395.0,"",6983113.06,4517288.54,218289.84,21197.0,4632.0
