-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of various Horticulture Crops such as Fruits, Vegetables, Flowers, Nuts, Aroma & Medi., Plantation Crops, Spices, Mushroom and Honey.", 
 "file_name": "AREA_AND_PRODUCTION_OF_VARIOUS_HORTICULTURE_CROPS.xls", 
 "title": "All India and State Wise Area and Production of various Horticulture Crops ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_VARIOUS_HORTICULTURE_CROPS.xls"
}
-----
"State/Union Territory","Fruits 2009-10 Area (in '000 Hectare)","Fruits 2010-11 Area (in '000 Hectare)","Fruits 2009-10 Production (in '000 Tonne)","Fruits 2010-11 Production (in '000 Tonne)","Vegetables 2009-10 Area (in '000 Hectare)","Vegetables 2010-11 Area (in '000 Hectare)","Vegetables 2009-10 Production (in '000 Tonne)","Vegetables 2010-11 Production (in '000 Tonne)","Flowers 2009-10 Area (in '000 Hectare)","Flowers 2010-11 Area (in '000 Hectare)","Flowers 2009-10 Production (in '000 Tonne)","Flowers 2010-11 Production (in '000 Tonne)","Nuts 2009-10 Area (in '000 Hectare)","Nuts 2010-11 Area (in '000 Hectare)","Nuts 2009-10 Production (in '000 Tonne)","Nuts 2010-11 Production (in '000 Tonne)","Aroma & Medi. 2009-10 Area (in '000 Hectare)","Aroma & Medi. 2010-11 Area (in '000 Hectare)","Aroma & Medi. 2009-10 Production (in '000 Tonne)","Aroma & Medi. 2010-11 Production (in '000 Tonne)","Plantation Crops 2009-10 Area (in '000 Hectare)","Plantation Crops 2010-11 Area (in '000 Hectare)","Plantation Crops 2009-10 Production (in '000 Tonne)","Plantation Crops 2010-11 Production (in '000 Tonne)","Spices 2009-10 Area (in '000 Hectare)","Spices 2010-11 Area (in '000 Hectare)","Spices 2009-10 Production (in '000 Tonne)","Spices 2010-11 Production (in '000 Tonne)","Mushroom 2009-10 Production (in '000 Tonne)","Mushroom 2010-11 Production (in '000 Tonne)","Mushroom 2009-10 Production (in '000 Tonne)","Mushroom 2010-11 Production (in '000 Tonne)","Grand Total 2009-10 Area (in '000 Hectare)","Grand Total 2010-11 Area (in '000 Hectare)","Grand Total 2009-10 Production (in '000 Tonne)","Grand Total 2010-11 Production (in '000 Tonne)"
" Jharkhand",37.7,72.0,577.6,779.6,212.1,259.5,3469.2,4112.4,1.6,1.6,22.0,22.0,"NA","NA","NA","NA",0.1,0.1,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA","NA","NA","NA",251.5,333.2,4068.8,4914.0
" Karnataka",351.0,377.8,5712.4,6273.6,441.2,466.3,7082.2,9056.4,27.01,27.0,203.9,203.9,"NA","NA","NA","NA",3.7,3.7,22.2,22.2,730.5,732.0,1777.0,1781.4,217.7,259.1,303.2,460.4,"NA","NA","NA","NA",1771.11,1865.9,15100.9,17797.9
" Kerala",296.7,301.3,2398.3,2508.3,151.6,149.5,3518.1,3392.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",968.2,974.8,4176.5,4182.1,264.4,234.8,136.0,113.1,"NA","NA","NA","NA",1680.9,1660.4,10228.9,10196.2
" Madhya Pradesh ",113.1,132.3,2864.0,3373.5,250.7,283.7,3112.6,3698.6,6.59,7.7,5.0,6.0,"NA","NA","NA","NA",29.1,33.9,174.0,201.5,"NA",0.0,"NA",0.0,197.1,287.5,236.3,413.7,"NA","NA","NA","NA",596.59,745.1,6391.9,7693.3
" Maharashtra",1540.6,1537.0,10396.6,9513.0,451.8,611.0,6172.6,7504.0,17.51,17.5,91.1,91.1,"NA","NA","NA","NA","NA","NA","NA","NA",198.2,204.2,321.6,331.6,113.6,116.5,96.6,100.6,"NA","NA","NA","NA",2321.71,2486.2,17078.5,17540.3
" Manipur ",38.4,68.7,281.9,286.3,19.9,22.2,221.8,236.5,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,9.0,10.5,7.8,24.1,"NA","NA","NA","NA",67.3,101.4,511.5,546.9
" Meghalaya ",32.9,30.2,294.8,241.9,44.3,41.8,415.8,356.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.4,12.4,17.1,17.1,17.4,16.8,72.0,71.4,"NA","NA","NA","NA",107.0,101.2,799.7,686.9
" Mizoram",27.1,27.0,328.3,211.5,10.6,17.5,179.1,115.6,"NA",0.1,"NA",0.0,"NA","NA","NA","NA",1.9,1.9,13.9,13.9,6.6,6.6,8.2,8.2,22.7,21.4,80.6,110.5,"NA","NA","NA","NA",68.9,74.5,610.1,459.7
" Nagaland ",30.8,18.2,223.7,151.3,10.4,10.7,78.3,79.4,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.1,1.1,1.6,1.6,7.2,7.5,38.6,38.5,"NA","NA","NA","NA",49.5,37.5,342.2,270.8
" Orissa",302.1,320.7,1845.1,2048.3,694.2,553.8,8963.6,7790.1,7.11,7.4,25.3,3.7,"NA","NA","NA","NA",1.9,1.9,0.6,0.6,194.0,200.0,274.0,281.0,146.7,124.0,198.2,174.7,"NA","NA","NA","NA",1346.01,1207.8,11306.8,10298.4
" Punjab",67.6,69.8,1365.1,1373.2,183.3,174.1,3522.5,3585.8,1.7,1.7,82.0,82.0,"NA","NA","NA","NA",2.4,7.1,1.1,1.3,"NA",0.0,"NA",0.0,17.5,18.4,66.7,63.5,20.0,20.0,"NA","NA",272.5,271.1,5057.4,5125.8
" Rajasthan",32.1,51.1,676.5,695.1,131.9,140.3,1071.9,885.0,3.28,5.4,4.9,9.6,"NA","NA","NA","NA",293.2,285.2,148.5,146.2,"NA",0.0,"NA",0.0,489.7,598.9,437.2,668.0,0.7,0.7,"NA","NA",950.18,1080.9,2339.7,2404.6
" Sikkim",12.2,17.5,18.5,25.8,28.7,23.9,147.7,120.9,0.18,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,26.6,24.4,41.7,52.4,"NA","NA","NA","NA",67.68,66.0,207.9,199.1
" Tamil Nadu",291.6,321.8,6379.0,9965.0,263.7,277.3,7627.7,8279.9,31.97,32.0,247.3,247.3,"NA","NA","NA","NA",10.0,10.0,51.5,61.1,537.4,547.9,3763.3,3768.4,125.1,134.3,235.0,341.2,"NA","NA","NA","NA",1259.77,1323.3,18303.8,22662.9
" Tripura",36.9,40.8,573.8,643.9,32.5,36.0,446.9,532.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.2,10.2,16.4,16.4,4.0,5.8,12.1,18.1,"NA","NA","NA","NA",83.6,92.8,1049.2,1210.7
" Uttarakhand",193.8,179.3,723.6,718.9,82.57,85.8,997.285,1030.9,1.29,1.3,1.0,2.3,19.3,"NA",20.7,"NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,1.9,6.7,13.1,38.7,"NA","NA","NA","NA",298.86,273.1,1755.685,1790.8
" Uttar Pradesh",356.7,324.8,5380.1,5368.4,1020.098,829.4,22435.74,17679.4,10.38,10.4,17.6,17.6,"NA","NA","NA","NA",133.7,133.7,13.4,13.4,"NA",0.0,"NA",0.0,54.8,56.6,163.0,200.7,4.0,4.0,"NA","NA",1575.678,1354.9,28013.84,23283.5
" West Bengal ",208.3,211.6,2861.0,2952.8,1302.678,1349.7,21906.53,26725.5,21.94,23.1,55.2,59.2,"NA","NA","NA","NA","NA","NA","NA","NA",51.0,51.0,276.2,277.2,95.9,96.9,188.4,192.9,"NA","NA","NA","NA",1679.818,1732.3,25287.33,30207.6
" A. & N. Islands",3.1,3.1,26.8,28.7,5.2,5.7,41.5,34.5,"NA",0.0,0.3,4.7,"NA","NA","NA","NA","NA","NA","NA","NA",25.8,26.9,62.0,71.7,1.66,1.6,3.15,3.1,"NA","NA","NA","NA",35.76,37.3,133.75,142.7
" Chandigarh",0.1,0.1,1.1,1.1,0.1,0.1,1.7,1.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA",0.2,0.2,2.8,2.8
" D. & N. Haveli ",1.8,0.0,19.7,0.0,1.0,1.1,4.5,5.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA","NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA",2.8,1.1,24.2,5.5
" Daman and Diu","NA",0.0,"NA",0.0,0.2,0.0,0.2,0.0,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA",0.2,0.0,0.2,0.0
" Delhi",0.1,0.1,0.99,1.0,36.1,29.8,617.4,496.8,5.5,5.5,5.7,5.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA",41.7,35.4,624.09,503.5
" Lakshadweep",0.4,0.4,1.24,1.2,0.4,0.4,14.1,14.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.7,2.7,40.0,40.0,"NA","NA","NA","NA","NA","NA","NA","NA",3.5,3.5,55.34,55.3
" Puducherry",1.2,0.8,27.9,13.6,4.5,0.6,81.0,8.8,0.29,0.3,2.4,2.4,"NA","NA","NA","NA","NA",0.0,0.1,0.1,2.2,2.2,20.1,20.1,"NA",0.0,"NA",0.0,"NA","NA","NA","NA",8.19,3.9,131.5,45.0
"Total",6329.2,6383.0,71515.33,74877.6,7984.846,8494.6,133737.655,146554.5,182.8,190.8,1020.4,1031.2,141.9,"NA",193.0,"NA",508.5,510.0,572.5,605.3,3264.9,3305.9,11928.4,12007.1,2463.86,2940.6,4015.95,5350.5,40.7,40.7,0.0,65.0,20876.006,"NA",223023.935,240531.9
