"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton#","Jute","Mesta","Tea","Coffee P","Natural Rubber P"," Banana","Sugar cane","Tobacco"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" Jammu & Kashmir",261.0,"NA",17.4,308.0,"NA",9.0,291.0,13.0,899.4,"NA","NA",29.0,29.0,928.4,"NA",4.6,60.3,"NA","NA",65.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8.0,"NA","NA","NA","NA","NA"
"Jharkhand",720.0,"NA","NA",215.0,9.0,24.9,96.0,"NA",1065.9,70.0,104.0,252.0,426.0,1492.9,26.0,4.3,111.0,16.0,"NA",182.0,"NA","NA","NA","NA","NA","NA",3.0,6.5,"NA",43.0,"NA","NA","NA","NA","NA"
" Karnataka",1540.0,1243.0,309.0,1288.0,788.0,24.0,255.0,"NA",5447.0,959.0,891.0,942.0,2792.0,8239.0,848.0,87.0,4.0,11.0,19.0,1624.0,545.0,"NA",2.0,"NA","NA","NA",112.0,423.0,125.0,40.0,19.0,133.0,35.0,419.0,16.0
" Kerala#",213.0,2.0,"NA","NA","NA","NA","NA","NA",216.0,"NA",2.0,2.0,4.0,220.0,2.0,0.6,"NA","NA","NA",1.9,"NA","NA","NA","NA","NA","NA",59.0,3.0,"NA",1.0,152.0,1.6,5.0,788.0,2.0
" Madhya Pradesh",1603.0,432.0,162.0,831.0,"NA",253.0,4341.0,79.0,7701.0,3112.0,488.0,1562.0,5162.0,12863.0,202.0,291.0,745.0,125.0,0.7,7030.0,650.0,5.0,0.6,"NA","NA","NA",38.0,65.0,"NA",62.0,"NA",54.0,8.0,"NA",2.0
" Maharashtra",1518.0,4060.0,1035.0,891.0,120.0,58.0,1307.0,2.0,8991.0,1438.0,1302.0,1298.0,4038.0,13029.0,357.0,56.0,8.0,39.0,10.0,3615.0,3942.0,"NA",18.0,"NA","NA","NA",82.0,965.0,2.0,18.0,"NA",99.5,1.06,21.0,6.76
" Manipur",213.0,"NA","NA",22.0,"NA","NA",2.0,"NA",237.0,"NA","NA",27.0,27.0,264.0,2.0,2.0,27.0,"NA","NA",35.0,"NA","NA","NA","NA","NA","NA",34.0,5.0,"NA",2.0,"NA",6.5,2.4,"NA",1.0
" Meghalaya#",108.0,"NA","NA",17.0,"NA",2.4,"NA","NA",128.4,0.6,0.8,2.6,4.0,133.4,"NA",1.6,7.2,"NA","NA",9.9,"NA",3.9,4.2,"NA","NA","NA",6.0,"NA",1.0,18.0,0.9,1.87,9.26,"NA",1.96
" Mizoram#",41.0,"NA","NA",8.5,"NA","NA","NA","NA",49.5,"NA","NA",3.9,3.9,54.4,"NA",1.1,"NA","NA","NA",2.8,"NA","NA","NA","NA","NA","NA",10.0,1.4,"NA","NA","NA",9.0,7.0,"NA",5.0
" Nagaland#",181.0,"NA",1.0,68.1,"NA",9.7,3.0,1.0,263.8,0.6,3.0,29.9,33.5,299.3,0.7,4.0,27.0,6.0,"NA",64.0,"NA",3.0,2.0,"NA","NA","NA",3.0,4.0,"NA",2.0,"NA",0.8,5.32,0.9,"NA"
" Orissa ",4226.0,9.0,3.0,117.0,66.0,16.0,3.0,"NA",4440.0,42.0,135.0,702.0,879.0,5319.0,73.0,52.0,16.0,21.0,15.0,290.0,74.0,2.9,16.0,"NA","NA","NA",27.0,13.0,2.0,14.0,"NA",76.1,15.84,51.0,3.0
" Punjab",2831.0,"NA",3.0,133.0,"NA","NA",3510.0,12.0,6489.0,2.0,4.0,15.0,21.0,6510.0,2.0,6.0,31.0,"NA","NA",54.0,530.0,"NA","NA","NA","NA","NA","NA",70.0,"NA",84.0,"NA",11.0,"NA","NA","NA"
" Rajasthan",131.0,727.0,5489.0,1143.0,"NA",17.0,2479.0,328.0,10315.0,1783.0,21.0,2957.0,4761.0,15075.0,347.0,547.0,3679.0,2.0,149.0,5488.0,335.0,"NA","NA","NA","NA","NA","NA",6.0,"NA",11.0,"NA",13.0,"NA","NA","NA"
" Sikkim ",12.0,"NA","NA",39.5,3.0,4.0,3.0,1.0,62.5,"NA","NA",13.2,13.2,75.7,"NA","NA",5.0,"NA","NA",9.8,"NA","NA","NA","NA","NA","NA",1.0,"NA","NA",9.0,"NA","NA",9.0,"NA",0.6
" Tamil Nadu",1906.0,244.0,50.0,231.0,76.0,32.0,"NA","NA",2537.0,7.4,36.0,593.6,637.0,3174.0,386.0,48.0,"NA","NA",6.0,449.0,122.0,"NA","NA","NA","NA","NA",125.0,316.0,5.0,5.0,6.0,51.0,0.81,390.0,41.0
" Tripura#",265.0,"NA","NA",3.0,"NA","NA","NA","NA",268.0,"NA",1.0,6.0,7.0,275.0,1.0,1.5,1.5,"NA","NA",5.0,"NA",0.5,0.8,"NA","NA","NA",8.0,0.9,"NA",6.0,"NA",2.03,2.0,5.8,0.51
" Uttar Pradesh#",5657.0,201.0,935.0,754.0,"NA",9.0,9637.0,162.0,17355.0,570.0,344.0,1535.0,2449.0,19804.0,85.0,336.0,604.0,65.0,"NA",1105.0,"NA","NA","NA","NA","NA","NA",32.0,2125.0,26.0,557.0,"NA",14.0,0.83,"NA",1.0
" Uttarakhand",290.0,"NA","NA",28.0,128.0,76.0,379.0,24.0,925.0,1.0,2.0,58.0,61.0,986.0,1.0,2.0,14.0,"NA","NA",27.0,"NA","NA","NA","NA","NA","NA","NA",107.0,"NA",24.0,"NA",2.0,1.48,"NA",1.0
" West Bengal#",4944.0,"NA","NA",89.0,11.8,1.7,317.0,1.7,5365.2,21.8,0.8,173.4,196.0,5561.2,62.0,183.0,411.0,4.0,"NA",672.0,"NA",569.0,6.0,"NA","NA","NA",42.0,15.0,14.0,406.0,"NA",64.0,11.13,28.6,16.0
" A. & N. Islands",8.1,"NA","NA","NA","NA","NA","NA","NA",9.1,"NA","NA",2.9,2.9,11.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA","NA",0.61,"NA","NA",21.7,1.0
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli",11.0,"NA","NA","NA",1.3,"NA","NA","NA",13.3,"NA",1.5,5.5,7.0,20.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu",2.0,"NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA",1.3,1.3,4.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",6.8,3.3,3.0,"NA","NA","NA",26.0,"NA",39.1,"NA","NA","NA",1.0,39.1,"NA","NA",1.0,"NA","NA",1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,"NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.7,"NA"
" Puducherry#",20.0,"NA","NA","NA","NA","NA","NA","NA",20.0,"NA","NA",3.0,3.0,23.0,"NA","NA","NA","NA","NA",0.6,"NA","NA","NA","NA","NA","NA","NA",1.8,"NA","NA","NA","NA","NA",2.1,"NA"
