-----
{
 "description": "This table shows state-wise data on renewable energy systems such as biogas plants, biomass gasifiers, solar photovolatic systems, SVP pumps, water pumping wind mills, solar cookers in rural and industrial areas.", 
 "file_name": "Decentralised_Off-grid_Renewable_Energy_Systems_Devices.xls", 
 "title": "Decentralised / Off-grid Renewable Energy Systems / Devices ", 
 "url": "http://data.gov.in/sites/default/files/Decentralised_Off-grid_Renewable_Energy_Systems_Devices.xls"
}
-----
"STATES / UT","Biogas Plants  31.03.2010 (Nos.)","Biogas Plants  31.03.2011 (Nos.)","Biomass Gasifiers (rural) 31.03.2010 (kW)","Biomass Gasifiers (rural) 31.03.2011 (kW)","Biomass Gasifiers (industrial) 31.03.2010 (kW)","Biomass Gasifiers (industrial) 31.03.2011 (kW)","Waste to Energy  31.03.2010 (MW)","Waste to Energy  31.03.2011 (MW)","Solar Photovoltaic (SPV) Systems   SLS 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   SLS 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   HLS 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   HLS 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   SL 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   SL 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   PP 31.03.2010 (kWp)","Solar Photovoltaic (SPV) Systems   PP 31.03.2011 (kWp)","SPV Pumps  31.03.2010 (Nos)","SPV Pumps  31.03.2011 (Nos)","Waterpumping Windmills  31.03.2010 (Nos)","Waterpumping Windmills  31.03.2011 (Nos)","Aerogen/hybrid systems  31.03.2010 (kW)","Aerogen/hybrid systems  31.03.2011 (kW)","Solar Cooker  31.03.2010 (Nos)","Solar Cooker  31.03.2011 (Nos)","Remote Village Electrificatgion Village 31.03.2010 (Nos)","Remote Village Electrificatgion Village 31.03.2011 (Nos)","Remote Village Electrificatgion Hamlet 31.03.2010 (Nos)","Remote Village Electrificatgion Hamlet 31.03.2011 (Nos)"
"Uttarakhand",10508.0,12659.0,"NULL","NULL",250.0,350.0,1.52,3.07,64023.0,8568.0,91307.0,91307.0,7673.0,64023.0,80.03,180.03,26.0,26.0,"NULL","NULL","NULL","NULL",10534.0,10534.0,472.0,472.0,34.0,34.0
"West Bengal ",318510.0,336480.0,700.0,700.0,16450.0,24043.0,"NULL","NULL",3662.0,8076.0,111090.0,130873.0,27512.0,17662.0,675.0,775.0,48.0,48.0,"NULL","NULL",38.0,38.0,7959.0,7959.0,1171.0,1176.0,2.0,2.0
"Andaman & Nicobar",137.0,137.0,"NULL","NULL","NULL","NULL","NULL","NULL",6296.0,358.0,405.0,405.0,358.0,6296.0,167.0,167.0,5.0,5.0,2.0,2.0,"NULL","NULL",60.0,60.0,"NULL","NULL","NULL","NULL"
"Chandigarh",97.0,97.0,"NULL","NULL","NULL","NULL","NULL",0.33,1675.0,229.0,275.0,275.0,0.0,1675.0,"NULL",0.0,12.0,12.0,"NULL","NULL","NULL","NULL",1529.0,1529.0,"NULL","NULL","NULL","NULL"
"Dadar & Nagar Haveli",169.0,169.0,"NULL","NULL","NULL","NULL","NULL","NULL",0.0,0.0,"NULL",0.0,0.0,"NULL","NULL",0.0,"NULL","NULL","NULL","NULL","NULL","NULL",80.0,80.0,"NULL","NULL","NULL","NULL"
"Daman & Diu","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0.0,0.0,"NULL",0.0,0.0,"NULL","NULL",0.0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Delhi",679.0,680.0,"NULL","NULL","NULL","NULL","NULL","NULL",4753.0,301.0,"NULL",0.0,301.0,4807.0,80.0,80.0,89.0,89.0,"NULL","NULL","NULL","NULL",27990.0,27990.0,"NULL","NULL","NULL","NULL"
"Lakshwadeep","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0.0,0.0,"NULL",0.0,0.0,5289.0,85.0,85.0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Pondicherry",578.0,578.0,600.0,600.0,"NULL","NULL","NULL","NULL",1637.0,417.0,25.0,25.0,417.0,1637.0,"NULL",0.0,21.0,21.0,"NULL","NULL",5.0,5.0,90.0,90.0,"NULL","NULL","NULL","NULL"
"Others*","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",125797.0,9150.0,8584.0,24047.0,9150.0,125797.0,58.0,148.0,"NULL","NULL","NULL","NULL","NULL","NULL",17950.0,17950.0,"NULL","NULL","NULL","NULL"
"Total",4253624.0,4198233.0,13287.0,14834.0,107949.0,122922.0,46.72,70.54,797344.0,204523.0,603307.0,748676.0,119634.0,731202.0,2922.105,9142.595,7334.0,7373.0,1352.0,1352.0,1072.65,1072.65,663501.0,663501.0,5348.0,6975.0,1408.0,1871.0
