-----
{
 "description": "This table consists of product wise, group wise and year wise production of major chemicals products during 2006-07 to 2012-13 (upto September 2012) in India. Production figures have been aggregated based on Monthly Production returns received directly by the Department of Chemicals and...", 
 "file_name": "Production_of_Major_Chemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls", 
 "title": "Production of Major Chemicals - Product-wise / Group-wise from 2006-07 to 2012-13 (upto September 2012) ", 
 "url": "http://data.gov.in/sites/default/files/Production_of_Major_Chemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls"
}
-----
"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13 (April to Sep.)"
"PESTICIDES AND INSECTICIDES","D.D.V.P.",3.89,3.48,3.0,3.87,3.48,4.64,2.37
"PESTICIDES AND INSECTICIDES","QUINALPHOS",0.82,0.52,0.84,0.99,1.01,0.99,0.85
"PESTICIDES AND INSECTICIDES","MONOCROTOPHOS",4.91,5.12,4.57,5.74,9.93,9.58,5.44
"PESTICIDES AND INSECTICIDES","PHOSPHAMIDON",0.37,0.71,0.85,1.0,0.29,0.06,0.01
"PESTICIDES AND INSECTICIDES","PHORATE",8.45,6.08,4.67,4.73,5.36,4.61,2.5
"PESTICIDES AND INSECTICIDES","ETHION",2.6,2.2,1.41,1.5,1.92,1.33,0.49
"PESTICIDES AND INSECTICIDES","ENDOSULPHAN",9.31,10.54,11.35,9.9,11.49,1.35,0.0
"PESTICIDES AND INSECTICIDES","FENVALERATE",0.52,0.72,0.49,0.53,0.8,0.55,0.24
"PESTICIDES AND INSECTICIDES","CYPERMETHRIN",5.06,4.66,4.03,6.23,4.95,8.79,2.72
"PESTICIDES AND INSECTICIDES","ANILOPHOS",0.02,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","ACEPHATE",9.27,10.73,10.25,11.55,14.28,15.97,8.72
"PESTICIDES AND INSECTICIDES","CHLORPYRIPHOS",6.17,6.55,6.55,6.12,6.41,5.11,3.22
"PESTICIDES AND INSECTICIDES","PHOSALONE",0.25,0.5,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","METASYSTOX",0.63,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","FENTHION",0.12,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","TRIAZOPHOS",1.84,1.84,2.06,0.88,1.58,0.72,0.6
"PESTICIDES AND INSECTICIDES","LINDANE",0.25,0.08,0.0,0.0,0.0,0.0,0.0
"PESTICIDES AND INSECTICIDES","TEMEPHOS",0.1,0.23,0.27,0.08,0.12,0.13,0.08
"PESTICIDES AND INSECTICIDES","DELTAMETHRIN",0.34,0.26,0.03,0.02,0.52,0.33,0.2
"PESTICIDES AND INSECTICIDES","ALPHAMETHRIN",0.17,0.21,0.02,0.0,0.31,0.32,0.15
"PESTICIDES AND INSECTICIDES","CAPTAN & CAPTAFOL",0.19,0.0,0.0,0.0,0.72,0.92,0.28
"PESTICIDES AND INSECTICIDES","ZIRAM(THIO BARBAMATE)",0.24,0.19,0.07,0.0,0.49,0.53,0.22
"PESTICIDES AND INSECTICIDES","CARBENDZIM(BAVISTIN)",0.14,0.07,0.2,0.38,0.59,0.43,0.19
"PESTICIDES AND INSECTICIDES","CALIXIN",0.03,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","MANCOZAB",22.88,27.12,35.34,31.49,26.05,43.71,21.35
"PESTICIDES AND INSECTICIDES","COPPER-OXYCHLORIDE",0.0,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","2, 4-D",0.0,0.27,0.21,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","BUTACHLOR",0.18,0.03,0.12,0.24,0.29,0.11,0.14
"PESTICIDES AND INSECTICIDES","ISOPROTURON",3.15,2.96,2.98,2.91,3.68,2.53,1.96
"PESTICIDES AND INSECTICIDES","GLYPHOSATE",2.89,2.58,4.34,4.66,4.86,5.24,3.33
"PESTICIDES AND INSECTICIDES","DIURON",0.0,0.08,0.01,0.13,0.2,0.3,0.1
"PESTICIDES AND INSECTICIDES","ATRAZIN",0.09,0.22,0.26,0.26,0.24,0.66,0.2
"PESTICIDES AND INSECTICIDES","FLUCHLORALIN",0.1,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","ZINC PHOSPHIDE",1.11,0.95,0.91,0.92,0.86,0.89,0.29
"PESTICIDES AND INSECTICIDES","ALUMINIUM",2.08,2.53,2.58,3.25,2.82,3.14,2.2
"PESTICIDES AND INSECTICIDES","DICOFOL",0.05,0.09,0.09,0.02,0.04,0.08,0.05
"DYES AND DYESTUFFS","AZO DYES ",4.7,6.4,3.9,3.8,4.1,3.5,1.9
"DYES AND DYESTUFFS","ACID DIRECT DYES",3.0,7.7,8.1,11.9,15.7,13.3,5.58
"DYES AND DYESTUFFS","DISPERSE DYES",20.8,21.8,23.3,25.1,28.6,29.3,15.12
"DYES AND DYESTUFFS","FAST COLOUR BASES",0.01,0.04,0.04,0.05,0.09,0.04,0.01
"DYES AND DYESTUFFS","INGRAIN DYES",0.57,1.2,1.09,0.93,0.7,0.98,0.39
"DYES AND DYESTUFFS","OIL SOLUBLE (SOLVENT DYES)",0.75,1.2,2.2,2.25,2.02,2.6,1.1
"DYES AND DYESTUFFS","OPTICAL WHITENING AGENTS",2.99,4.7,5.5,8.4,10.4,10.2,6.59
"DYES AND DYESTUFFS","ORGANIC PIGMENT COLOURS",16.45,25.66,13.97,18.24,21.83,20.24,9.07
"DYES AND DYESTUFFS","PIGMENT EMULSION",1.82,1.9,3.39,4.79,5.63,4.96,2.99
"DYES AND DYESTUFFS","REACTIVE DYES",31.1,40.5,40.58,62.53,64.66,76.71,38.38
"DYES AND DYESTUFFS","SULPHUR DYES (SULPHUR BLACK)",5.72,4.24,5.64,8.69,8.6,7.02,3.64
"DYES AND DYESTUFFS","VAT DYES",1.49,1.6,1.46,1.7,1.94,1.69,0.81
"DYES AND DYESTUFFS","SOLUBILISED VAT DYES",0.02,0.02,0.2,0.29,0.04,0.36,0.02
"DYES AND DYESTUFFS","NAPTHOLS",0.32,0.14,0.15,0.08,0.07,0.04,0.0
"TOTAL MAJOR CHEMICALS","",7604.5,7823.44,7422.86,7651.45,8169.94,8373.79,4041.93
