"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton","Jute","Mesta","Tea","Coffee","Natural Rubber"," Banana","Sugar cane","Tobacco"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" Punjab",11236.0,"NA",4.0,475.0,"NA",1.0,15169.0,47.0,26932.0,3.4,4.4,10.2,18.0,26950.0,3.1,2.6,39.0,"NA","NA",83.4,2006.0,"NA","NA","NA","NA","NA","NA",3700.0,"NA",2116.5,"NA",17.26,"NA","NA","NA"
" Rajasthan",228.3,104.2,2034.9,1145.7,"NA",2.6,7500.9,619.8,11636.4,534.6,7.0,172.1,713.7,12350.1,354.5,97.2,2948.2,6.5,86.2,4407.2,903.1,"NA","NA","NA","NA","NA","NA",344.5,"NA","NA","NA",19.98,"NA","NA","NA"
" Sikkim ",24.3,"NA","NA",66.0,5.0,2.0,5.9,1.2,104.4,"NA","NA",12.9,12.9,117.3,"NA","NA",5.3,"NA","NA",9.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",35.31,"NA",2.06
" Tamil Nadu",5665.2,221.7,82.3,1144.3,162.6,31.1,"NA","NA",7307.2,4.5,20.3,179.4,204.2,7511.4,889.8,29.2,"NA","NA",1.5,939.6,225.0,"NA","NA",179.0,"NA","NA",4980.9,29745.6,"NA","NA",1.06,38.31,15.38,3692.0,110.0
" Tripura",640.0,"NA","NA",2.0,"NA","NA",1.3,"NA",643.3,"NA",0.7,3.8,4.5,647.8,0.5,0.9,1.1,"NA","NA",2.5,1.4,3.8,5.6,7.0,"NA","NA","NA",44.9,"NA","NA","NA",2.56,7.44,8.0,2.1
" Uttar Pradesh",10807.1,169.0,1389.0,1039.0,0.8,9.0,27518.0,362.0,41293.9,509.0,202.0,1190.4,1901.4,43195.3,61.0,34.0,682.0,15.0,"NA",816.0,5.0,"NA","NA","NA","NA","NA",1138.6,117140.0,"NA",13447.3,"NA",14.87,2.08,"NA",6.0
" Uttarakhand",608.0,"NA","NA",38.0,163.0,70.0,845.0,26.0,1750.0,1.0,2.0,43.0,46.0,1796.0,2.0,1.0,12.0,"NA","NA",33.0,"NA","NA","NA","NA","NA","NA","NA",5842.0,"NA","NA","NA","NA",11.84,"NA","NA"
" West Bengal",14340.7,0.6,"NA",385.2,13.9,1.8,846.7,2.4,15591.3,24.2,0.6,124.5,150.3,15741.6,113.0,153.2,443.0,1.4,"NA",727.1,3.3,9325.0,75.1,223.0,"NA","NA",982.2,1000.8,"NA",8880.0,"NA",94.79,23.83,245.0,35.37
" A. & N. Islands",24.9,"NA","NA","NA","NA","NA","NA","NA",24.9,"NA","NA",1.8,1.8,26.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA","NA",0.69,1.89,56.0,"NA"
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli",13.5,0.6,"NA","NA",1.4,"NA",1.0,"NA",16.5,"NA",1.2,3.7,4.9,20.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu",3.3,"NA",0.5,"NA","NA","NA","NA","NA",3.8,"NA","NA",1.1,1.1,4.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",29.0,3.2,"NA","NA","NA","NA",92.7,"NA",124.9,"NA",0.7,"NA",0.8,125.7,"NA","NA",4.9,"NA","NA",4.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",40.0,"NA"
" Puducherry",52.4,"NA","NA","NA","NA","NA","NA","NA",52.4,"NA","NA","NA","NA",52.4,0.9,"NA","NA","NA","NA",1.1,"NA","NA","NA","NA","NA","NA","NA",247.3,"NA","NA","NA","NA","NA",20.0,"NA"
