-----
{
 "description": "This data provides state-wise percentage of distribution of rural and urban households having electricity for 2001 and 2011.", 
 "file_name": "DISTRIBUTION_OF_HOUSEHOLDS_HAVING_ELECTRICITY.XLS", 
 "title": "State-wise Percentage Of Distribution Of Rural And Urban Households Having Electricity ", 
 "url": "http://data.gov.in/sites/default/files/DISTRIBUTION_OF_HOUSEHOLDS_HAVING_ELECTRICITY.XLS"
}
-----
"All-India/State/Union Territory","Total","Rural-2001","Urban-2001","Total","Rural-2011","Urban-2011","Rural- NSS 60th Round- (Jan. 2004 - June.2004)","Urban- NSS 60th Round- (Jan. 2004 - June.2004)","Rural- NSS 61st Round (July 2004-June 2005)","Urban- NSS 61st Round (July 2004-June 2005)","Rural- NSS 62nd Round (July 2005-June 2006)","Urban- NSS 62nd Round (July 2005-June 2006)","Rural- NSS 63rd Round (July 2006 - June 2007)","Urban- NSS 63rd Round (July 2006 - June 2007)","Rural- NSS 64th Round (July 2007 - June 2008)","Urban- NSS 64th Round (July 2007 - June 2008)","Rural- NSS 65th Round- (July 2008 - June 2009)","Urban- NSS 65th Round- (July 2008 - June 2009)"
"Karnataka",78.55,72.16,90.53,90.6,86.7,96.4,81.9,94.9,86.2,95.9,82.6,95.7,88.0,96.7,92.1,97.0,94.1,97.9
"Kerala",70.24,65.53,84.34,94.4,92.1,97.0,77.8,92.1,79.4,93.0,86.1,93.0,86.7,92.2,89.3,96.5,92.7,97.9
"Madhya Pradesh",69.98,62.32,92.26,67.1,58.3,92.7,72.6,97.1,69.2,96.4,65.4,95.5,66.0,94.5,75.3,95.5,81.3,96.9
"Maharashtra",77.49,65.17,94.28,83.9,73.8,96.2,73.0,96.8,76.2,95.7,75.0,95.0,69.3,96.6,75.1,97.5,81.9,98.5
"Manipur",60.04,52.53,81.99,68.3,61.2,82.4,80.9,95.7,"NA","NA",89.4,93.2,86.0,"NA",85.1,96.5,86.8,99.5
"Meghalaya",42.74,30.26,88.14,60.9,51.6,94.9,"NA","NA","NA","NA","NA","NA",72.5,"NA",72.8,"NA",69.8,99.3
"Mizoram",69.63,44.14,94.42,84.2,68.8,98.1,"NA",99.7,"NA","NA",83.2,97.9,"NA",99.5,"NA",98.6,81.9,99.8
"Nagaland",63.6,56.88,90.33,81.6,75.2,97.4,"NA","NA","NA","NA","NA","NA","NA","NA",99.0,"NA",99.0,100.0
"Odisha",26.91,19.35,74.08,43.0,35.6,83.1,33.9,82.0,31.5,81.3,34.6,86.6,30.2,88.0,35.9,87.1,44.9,90.1
"Punjab",91.91,89.46,96.48,96.6,95.5,98.3,91.9,95.7,95.5,97.8,96.0,96.0,94.7,97.0,95.7,94.5,96.5,99.3
"Rajasthan",54.69,44.02,89.61,67.0,58.3,93.9,50.8,91.9,47.2,89.5,48.6,91.0,53.8,95.1,55.1,94.8,63.8,97.0
"Sikkim",77.76,75.02,97.09,92.5,90.2,98.7,"NA","NA","NA","NA","NA","NA","NA","NA",97.3,"NA",95.8,99.4
"Tamil Nadu",78.18,71.18,88.0,93.4,90.8,96.1,80.7,96.2,84.6,94.6,87.7,95.5,90.4,94.2,91.4,95.9,92.6,97.8
"Tripura",41.84,31.75,86.36,68.4,59.5,91.6,63.2,"NA","NA","NA",67.9,93.4,53.9,92.2,59.2,"NA",66.1,95.3
"Uttar Pradesh",31.9,19.84,79.92,36.8,23.8,81.4,25.5,82.9,24.0,84.4,29.1,81.2,26.1,82.6,27.9,84.3,37.6,89.8
"Uttarakhand",60.32,50.35,90.92,87.0,83.1,96.5,"NA","NA","NA","NA","NA","NA","NA",96.9,78.9,"NA",85.5,98.6
"West Bengal",37.45,20.27,79.56,54.5,40.3,85.1,30.2,87.2,34.2,87.3,39.5,87.2,37.3,88.7,45.8,91.4,49.5,93.3
"North Eastern States","NA","NA","NA","NA","NA","NA",67.9,96.6,"NA","NA",76.3,94.8,70.0,96.4,71.9,94.6,"NA","NA"
"Union Territories","NA","NA","NA","NA","NA","NA",86.9,95.2,"NA","NA",91.5,99.7,96.3,99.1,90.8,99.7,"NA","NA"
"A. & N. Islands",76.78,68.09,95.22,86.1,79.4,97.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",84.5,98.5
"Chandigarh",96.79,97.41,96.7,98.4,97.3,98.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.0,98.5
"D. & N. Haveli",85.99,82.63,95.84,95.2,91.7,98.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.0,97.4
"Daman and Diu",97.76,97.46,98.31,99.1,98.3,99.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.0,100.0
"Delhi",92.86,85.5,93.38,99.1,97.8,99.1,"NA",96.9,"NA","NA","NA",99.4,"NA",98.6,"NA",97.6,96.0,98.6
"Lakshadweep",99.7,99.73,99.67,99.7,99.8,99.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.0,100.0
"Puducherry",87.81,81.0,91.4,97.7,95.8,98.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",95.2,99.3
