-----
{
 "description": "The table provide annual survey of industries (Factory Sector) on All India (from 2000-01 to 2009-10) and State-wise (2008-09 and 2009-10) basis. ", 
 "file_name": "ANNUAL_SURVEY_OF_INDUSTRIES_(FACTORY_SECTOR)_I_0_1.xls", 
 "title": "All India and State-Wise - Annual Survey Of Industries (Factory Sector) ", 
 "url": "http://data.gov.in/sites/default/files/ANNUAL_SURVEY_OF_INDUSTRIES_(FACTORY_SECTOR)_I_0_1.xls"
}
-----
"State/Union Territory","Number of  Factories 2008-09 ","Number of  Factories 2009-10 "," Fixed Capital 2008-09 "," Fixed Capital 2009-10 ","Working Capital 2008-09 ","Working Capital 2009-10 "," Productive Capital 2008-09 "," Productive Capital 2009-10 "," Invested Capital 2008-09 "," Invested Capital 2009-10 "," Number of Workers 2008-09 "," Number of Workers 2009-10 ","Total PersonsEngaged 2008-09 ","Total PersonsEngaged 2009-10 ","Wages toWorkers 2008-09 ","Wages toWorkers 2009-10 ","TotalEmoluments 2008-09 ","TotalEmoluments 2009-10 "," FuelsConsumed 2008-09 "," FuelsConsumed 2009-10 ","Materials Consumed 2008-09 ","Materials Consumed 2009-10 ","TotalInputs 2008-09 ","TotalInputs 2009-10 "," Products and By-products 2008-09 "," Products and By-products 2009-10 ","TotalOutput 2008-09 ","TotalOutput 2009-10 "," Depreciation 2008-09 "," Depreciation 2009-10 "," Net Value Added 2008-09 "," Net Value Added 2009-10 "," Rent PaidFor FixedAssets 2008-09 "," Rent PaidFor FixedAssets 2009-10 ","InterestPaid 2008-09 ","InterestPaid 2009-10 ","Gross Fixed Capital Formation 2008-09 ","Gross Fixed Capital Formation 2009-10 ","Value of Addition In StockTotal 2008-09 ","Value of Addition In StockTotal 2009-10 ","Value of Addition In Stock Materials,Fuels 2008-09 ","Value of Addition In Stock Materials,Fuels 2009-10 ","Value of Addition In StockSemi Finished  2008-09 ","Value of Addition In StockSemi Finished  2009-10 ","Value of Addition In Stock Finished Goods 2008-09 ","Value of Addition In Stock Finished Goods 2009-10 "
"Jharkhand",1846.0,2032.0,30571.09,34598.0,4980.95,1705.0,35552.04,36303.0,39920.48,44751.0,122524.0,104951.0,163625.0,141447.0,1710.27,1573.0,3506.05,3139.0,8885.3,8109.0,27300.92,34136.0,42617.68,49846.0,51779.43,60981.0,59107.51,67129.0,2189.83,2180.0,14300.0,15103.0,67.06,97.0,1444.52,2290.0,9109.1,8187.0,1799.05,607.0,995.61,613.0,398.47,-180.0,404.97,174.0
"Karnataka",8451.0,8541.0,86694.55,96382.0,-7354.01,7935.0,79340.54,104318.0,115587.32,126890.0,598070.0,584140.0,770133.0,886706.0,4253.5,4861.0,9580.62,10509.0,5920.93,6826.0,141931.22,154470.0,177043.63,189722.0,197374.09,204701.0,225812.76,233254.0,6236.62,6832.0,42532.5,36700.0,930.6,1002.0,3745.19,3640.0,23203.02,26694.0,2058.21,5125.0,875.79,2536.0,58.68,703.0,1123.74,1886.0
"Kerala",5867.0,5907.0,11893.35,12552.0,2724.72,-14540.0,14618.07,-1988.0,19280.79,22418.0,331043.0,315423.0,381558.0,365767.0,1576.16,1735.0,2692.63,3039.0,3290.17,3129.0,51914.06,136762.0,62083.82,147166.0,64565.14,148845.0,70904.89,155451.0,1115.95,1088.0,7705.11,7197.0,117.56,134.0,842.25,1321.0,2523.5,2851.0,-1055.43,2407.0,-1069.3,2071.0,138.69,179.0,-124.82,157.0
"Madhya Pradesh",3345.0,3523.0,28200.91,30405.0,9055.22,10255.0,37256.13,40661.0,40363.84,45320.0,202428.0,209317.0,273332.0,279902.0,1446.93,1732.0,3126.12,3684.0,5228.75,5329.0,54855.31,50475.0,73404.07,69225.0,78346.93,73532.0,90402.02,86939.0,1976.72,2356.0,15021.23,15358.0,213.37,362.0,1757.11,1891.0,4905.23,4871.0,424.97,3117.0,-122.44,1935.0,217.34,531.0,330.07,651.0
"Maharashtra",20450.0,19457.0,179017.87,197274.0,49276.41,63467.0,228294.28,260741.0,261094.67,193099.0,1034201.0,1062524.0,1491931.0,1514069.0,9726.74,10987.0,25884.01,28101.0,20364.17,22727.0,349492.72,378441.0,472568.22,489066.0,505911.11,546153.0,600173.52,624049.0,14727.31,17111.0,112878.0,117872.0,1932.38,2429.0,13920.24,13818.0,36474.09,30245.0,637.76,14914.0,-295.81,8519.0,1017.11,2214.0,-83.54,4181.0
"Manipur",72.0,85.0,13.67,34.0,11.11,32.0,24.78,66.0,23.65,70.0,2313.0,2950.0,2654.0,3478.0,6.09,10.0,7.56,13.0,9.71,15.0,40.19,107.0,53.5,134.0,63.79,144.0,67.06,152.0,1.13,4.0,12.43,15.0,0.45,1.0,0.77,3.0,"NA",3.0,"NA",17.0,-0.8,14.0,"NA",0.0,0.9,3.0
"Meghalaya",95.0,100.0,607.15,1495.0,755.17,838.0,1362.32,2333.0,885.7,1867.0,4571.0,4984.0,5567.0,6216.0,31.44,36.0,52.52,66.0,321.17,354.0,870.46,1164.0,1327.07,1662.0,1862.28,2160.0,1921.59,2235.0,71.0,80.0,523.52,493.0,20.32,14.0,39.37,37.0,103.86,385.0,65.46,88.0,44.51,74.0,"NA",8.0,21.2,6.0
"Nagaland",91.0,90.0,20.47,241.0,44.69,135.0,65.16,376.0,61.07,335.0,2468.0,2676.0,2877.0,3004.0,4.83,5.0,6.78,7.0,4.81,4.0,86.33,134.0,98.42,151.0,124.89,284.0,128.06,289.0,1.4,1.0,28.23,136.0,0.49,1.0,2.35,1.0,2.25,82.0,-1.82,2.0,1.93,10.0,-2.32,-8.0,-1.43,1.0
"Odisha",1930.0,2052.0,54682.84,92722.0,3796.27,12461.0,58479.11,105184.0,66809.66,105628.0,174774.0,187756.0,213192.0,227525.0,1736.53,1726.0,3262.34,3177.0,5372.2,5956.0,36772.48,33624.0,50337.63,47713.0,63636.56,57644.0,69532.47,65662.0,2521.25,3150.0,16673.6,14800.0,160.13,181.0,2823.96,2489.0,13751.72,24864.0,2554.52,898.0,1460.43,857.0,313.47,62.0,780.62,-21.0
"Punjab",10065.0,10262.0,26480.36,26106.0,7186.55,15419.0,33666.91,41525.0,46122.58,48429.0,431568.0,454334.0,544776.0,568211.0,2315.94,2698.0,4181.87,4887.0,6708.18,7375.0,68174.93,76670.0,90656.73,100329.0,90969.43,101634.0,105513.52,117545.0,2288.39,2480.0,12568.4,14736.0,277.62,277.0,3184.03,2920.0,5813.02,4220.0,-237.29,3994.0,615.0,2611.0,261.87,734.0,-1114.16,649.0
"Rajasthan",6352.0,6811.0,34692.97,38932.0,8507.9,13230.0,43200.87,52163.0,46636.23,54848.0,275950.0,308132.0,351351.0,392526.0,1608.73,2034.0,3360.99,4297.0,7476.03,7.53,51504.5,63330.0,71187.15,84898.0,78469.96,95451.0,90664.7,108564.0,2593.19,3388.0,16884.36,20278.0,208.52,353.0,2083.56,2515.0,10774.36,6771.0,1238.83,3071.0,724.06,1853.0,243.85,468.0,270.92,750.0
"Sikkim","NA",46.0,"NA",908.0,"NA",657.0,"NA",1565.0,"NA",1289.0,"NA",4854.0,"NA",6484.0,"NA",29.0,"NA",188.0,"NA",40.0,"NA",828.0,"NA",1355.0,"NA",2678.0,"NA",3120.0,"NA",69.0,"NA",1696.0,"NA",2.0,"NA",35.0,"NA",225.0,"NA",123.0,"NA",61.0,"NA",22.0,"NA",41.0
"Tamil Nadu",26122.0,26790.0,97787.62,132896.0,8984.81,27145.0,106772.43,160041.0,146992.77,197519.0,1456155.0,1541815.0,1774019.0,1890149.0,8506.33,10549.0,16246.06,20979.0,14479.56,17283.0,188326.85,232595.0,251967.04,303878.0,258201.88,326363.0,300801.95,375784.0,9121.41,12763.0,39713.5,59143.0,1099.88,1786.0,8514.12,8668.0,20072.59,27428.0,3654.18,6490.0,1888.41,4349.0,1817.31,1081.0,-51.54,1059.0
"Tripura",363.0,407.0,418.08,664.0,176.43,205.0,594.51,870.0,563.25,836.0,23643.0,25756.0,26089.0,28401.0,44.74,57.0,64.47,80.0,69.39,89.0,299.89,449.0,548.59,763.0,594.86,791.0,755.98,1017.0,52.24,29.0,155.15,224.0,4.46,3.0,22.55,20.0,210.25,212.0,53.95,25.0,47.34,-4.0,"NA",9.0,6.16,19.0
"UttaraKhand",1907.0,2344.0,21898.41,32657.0,11203.2,12461.0,33101.61,45118.0,34692.72,45420.0,172861.0,590788.0,229727.0,762599.0,1793.07,4020.0,4545.69,8778.0,2085.52,10308.0,35041.68,149615.0,52949.1,188546.0,60352.1,200685.0,82923.6,225681.0,1541.64,6158.0,28432.85,30977.0,430.24,630.0,1299.9,4504.0,6736.13,8548.0,3502.16,6892.0,943.86,3089.0,2092.03,875.0,466.27,2928.0
"Uttar Pradesh",10935.0,11015.0,62676.96,68697.0,40130.77,42458.0,102807.73,111154.0,94231.78,108205.0,574874.0,188895.0,738644.0,238795.0,3590.75,1480.0,7979.71,2894.0,9379.91,2456.0,135222.06,50921.0,170967.58,59610.0,177820.78,76720.0,200462.66,79322.0,5356.19,1993.0,24138.88,17719.0,524.08,173.0,4123.35,1225.0,10925.33,10408.0,409.01,3097.0,433.7,1581.0,270.77,793.0,-295.46,724.0
"West Bengal",6260.0,6818.0,41373.48,59673.0,18033.1,12595.0,59406.58,72267.0,61963.15,84969.0,449887.0,466191.0,549852.0,571994.0,3432.01,3339.0,5699.83,5950.0,6208.52,7191.0,94416.1,94392.0,122368.85,134201.0,120750.84,125455.0,141796.48,157047.0,2827.84,3526.0,16599.8,19320.0,301.02,473.0,3008.59,3573.0,4862.06,18176.0,736.67,3262.0,577.85,2073.0,-75.34,649.0,234.16,540.0
"A & N. Island",12.0,13.0,55.86,78.0,63.62,19.0,119.48,97.0,66.23,87.0,299.0,319.0,362.0,398.0,2.35,2.0,3.53,4.0,0.53,1.0,110.46,111.0,137.13,210.0,125.84,128.0,152.54,227.0,7.12,8.0,8.3,9.0,0.11,0.0,6.83,8.0,4.22,-2.0,1.62,-1.0,0.79,-1.0,"NA",0.0,0.83,0.0
"Chandigarh",278.0,284.0,690.03,595.0,419.22,487.0,1109.25,1082.0,1110.02,1029.0,7068.0,6951.0,11142.0,10678.0,59.89,65.0,157.17,173.0,89.07,107.0,1360.68,1679.0,3031.28,3737.0,1798.49,2160.0,3526.25,4313.0,53.47,57.0,441.5,520.0,13.38,14.0,122.84,113.0,153.43,71.0,-25.39,-8.0,-23.46,-15.0,3.22,5.0,-5.15,2.0
"Dadra & N Haveli",1151.0,1103.0,13073.15,17217.0,4594.66,7406.0,17667.81,24624.0,19759.63,25816.0,71327.0,90722.0,92557.0,114188.0,414.03,589.0,1028.18,1352.0,1875.17,1807.0,49470.11,49995.0,56046.68,56570.0,61839.96,60975.0,64965.41,64574.0,1134.11,1382.0,7784.62,6623.0,71.1,108.0,1145.24,1171.0,3473.27,4430.0,-348.18,1921.0,-227.33,967.0,-221.93,580.0,101.08,374.0
"Daman & Diu",1443.0,1447.0,4767.28,6243.0,6741.41,7089.0,11508.69,13332.0,8657.7,11019.0,69038.0,85650.0,88513.0,108736.0,349.7,498.0,812.41,1102.0,459.84,638.0,22490.15,20938.0,25477.21,25707.0,28541.69,28893.0,30312.77,32024.0,437.96,628.0,4397.6,5690.0,168.6,98.0,520.02,559.0,1178.36,1062.0,-621.27,867.0,-446.07,469.0,-147.22,53.0,-27.98,345.0
"Delhi",3026.0,2878.0,3128.73,3867.0,3287.15,6040.0,6415.88,9907.0,7408.46,8616.0,87552.0,84408.0,126816.0,121161.0,524.52,589.0,1389.43,1677.0,680.1,665.0,15300.05,17188.0,23652.11,28456.0,20097.44,22204.0,27475.94,32626.0,344.26,413.0,3479.58,3578.0,218.24,258.0,518.95,570.0,603.4,850.0,393.08,627.0,301.59,257.0,21.77,117.0,69.72,253.0
"Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Puducherry",675.0,671.0,3171.07,2946.0,2486.22,2452.0,5657.29,5399.0,5382.48,5087.0,39356.0,40389.0,49254.0,51219.0,253.69,296.0,570.17,684.0,538.89,"NA",9696.63,10271.0,11260.21,12228.0,12873.8,14206.0,14557.56,16370.0,305.76,296.0,2991.59,3845.0,43.18,62.0,267.4,253.0,768.21,424.0,333.42,221.0,252.37,121.0,59.72,56.0,21.33,44.0
