-----
{
 "description": "Data provide all India (2000-01 to 2011-12) details on income and expenditure of corporations during 2000-01 to 2011-12.", 
 "file_name": "INCOME_AND_EXPENDITURE_OF_CORPORATIONS_DURING_2000-01_TO_2011-12.xls", 
 "title": "Income And Expenditure of Corporations During 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/INCOME_AND_EXPENDITURE_OF_CORPORATIONS_DURING_2000-01_TO_2011-12.xls"
}
-----
"Local Body","State","Type","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Cochin","Kerala","Expenditure *","NA","NA","NA",1078952.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"Kozhikode","Kerala","Income",208539.0,195573.0,214991.0,253121.0,321378.0,"NA","NA",426371.0,510927.0,"NA","NA","NA"
"Kozhikode","Kerala","Expenditure *",197775.0,151471.0,223302.0,228417.0,251659.0,"NA","NA",351653.0,374127.0,"NA","NA","NA"
"Thiruvanathapuram","Kerala","Income",215464586.0,255215292.0,347861977.0,376036205.0,388567184.0,1226090076.0,1284916338.0,"NA","NA","NA","NA","NA"
"Thiruvanathapuram","Kerala","Expenditure *",211953533.0,210906059.0,247623314.0,225554680.0,254353642.0,297009834.0,403910703.0,"NA","NA","NA","NA","NA"
"Amravati","Maharashtra","Income",409700.0,504100.0,512300.0,602917.0,628270.0,768310.0,"NA",864214.0,932204.0,1568040.0,"NA",1913866.0
"Amravati","Maharashtra","Expenditure *",311850.0,393200.0,287760.0,605660.0,617820.0,766220.0,"NA",867126.0,967837.0,1388658.0,"NA",1469430.0
"Kolhapur","Maharashtra","Income",778742.0,920464.0,987699.0,983969.0,971677.0,"NA","NA",1233668.0,1243805.0,"1665549(A)","2000031(A)","2244094(RE)"
"Kolhapur","Maharashtra","Expenditure *",767017.0,914952.0,989951.0,989262.0,945183.0,"NA","NA",1206776.0,1202992.0,"1636241(A)","2016697(A)","2244094(RE)"
"Brihanmumbai Mahanagarpalika","Maharashtra","Income",40697809.0,42099730.0,48376759.0,54267480.0,58751599.0,67236305.0,81382188.0,103973823.0,118102524.0,132946301.0,137582936.0,152916760.0
"Brihanmumbai Mahanagarpalika","Maharashtra","Expenditure *",31751462.0,36362594.0,46230058.0,49775875.0,46611010.0,49029150.0,71613730.0,81820711.0,107435327.0,115192442.0,126666574.0,129160332.0
"Nagpur","Maharashtra","Income",1753686.0,2628438.0,2707861.0,3185633.0,3238171.0,"NA","NA","NA","NA","NA","NA","NA"
"Nagpur","Maharashtra","Expenditure *",2648172.0,2923446.0,3387722.0,3285721.0,3285721.0,"NA","NA","NA","NA","NA","NA","NA"
"Nashik","Maharashtra","Income",2418936.0,2416566.0,3521186.0,5762426.0,3218813.0,3874253.0,4511113.0,5765119.0,5168031.0,"NA","NA","NA"
"Nashik","Maharashtra","Expenditure *",920634.0,1232569.0,1290069.0,1172048.0,1071037.0,1302866.0,4569946.0,5414449.0,5196408.0,"NA","NA","NA"
"Pimpri Chinchwad","Maharashtra","Income",2187620.0,3342711.0,3528271.0,4571667.0,6083681.0,"NA",8256775.0,10427055.0,10181142.0,"NA","NA","NA"
"Pimpri Chinchwad","Maharashtra","Expenditure *",2691874.0,2725737.0,3431195.0,4250735.0,5409881.0,"NA",9240367.0,10531474.0,10974120.0,"NA","NA","NA"
"Pune","Maharashtra","Income",4873660.0,5130406.0,5614700.0,5992300.0,7052700.0,10469200.0,"NA",17130600.0,15753300.0,20306400.0,23352200.0,"NA"
"Pune","Maharashtra","Expenditure *",4873460.0,5130206.0,6481300.0,7079700.0,7844200.0,9618900.0,"NA",15995900.0,17860200.0,21908500.0,18414300.0,"NA"
"Solapur","Maharashtra","Income",891667.0,871610.0,923536.0,1034248.0,1137210.0,1215184.0,1508759.0,"NA","NA","NA","NA","NA"
"Solapur","Maharashtra","Expenditure *",891661.0,871610.0,923536.0,1034248.0,1137210.0,1215109.0,1508758.0,"NA","NA","NA","NA","NA"
"Thane","Maharashtra","Income",2658393.0,2583804.0,3151203.0,3408663.0,"NA","NA","NA",6537490.0,7030156.0,10568325.0,11033129.0,15208079.0
"Thane","Maharashtra","Expenditure *",1745777.0,1778331.0,2265695.0,2699865.0,"NA","NA","NA",3624834.0,4056995.0,10025325.0,10205847.0,13326558.0
"Shillong","Meghalaya","Income",103831.0,56488.0,39005.0,62104.0,42906.0,"NA","NA","NA","NA","NA","NA","NA"
"Shillong","Meghalaya","Expenditure *",71956.0,73470.0,48630.0,56446.0,45728.0,"NA","NA","NA","NA","NA","NA","NA"
"Bhopal","Madhya Pradesh","Income",870559.0,812331.0,931979.0,968014.0,1095030.0,1195965.0,1503329.0,"NA","NA","NA","NA","NA"
"Bhopal","Madhya Pradesh","Expenditure *",398131.0,497378.0,563981.0,552013.0,725504.0,833800.0,1062198.0,"NA","NA","NA","NA","NA"
"Gwalior","Madhya Pradesh","Income",435905.079,444196.282,483075.185,435905.6,568257.461,636523.7,769289.502,1144577.104,1197666.94,"","",""
"Gwalior","Madhya Pradesh","Expenditure *",243969.97,312439.444,316345.212,254871.390121,387536.652,303200.829,439377.613,562286.633,757187.324,"","",""
"Indore","Madhya Pradesh","Income",1104974.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indore","Madhya Pradesh","Expenditure *",1293662.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jabalpur","Madhya Pradesh","Income",357336.0,568847.0,782815.0,657969.0,910817.0,1549300.0,2484500.0,2793300.0,2862300.0,2940000.0,"NA","NA"
"Jabalpur","Madhya Pradesh","Expenditure *",536064.0,497181.0,684452.0,586825.0,655649.0,1450000.0,1681100.0,1739300.0,1889200.0,2064200.0,"NA","NA"
"Ujjain","Madhya Pradesh","Income",277900.0,237100.0,283200.0,309000.0,281200.0,331400.0,361900.0,"NA","NA","NA","NA","NA"
"Ujjain","Madhya Pradesh","Expenditure *",148000.0,146000.0,193000.0,239700.0,170000.0,163100.0,170100.0,"NA","NA","NA","NA","NA"
"Bhubneshwar","Orissa","Income",268917.866,328413.298,413721.547,553838.299,"NA","NA","NA","NA","NA",3473782.0,4076978.0,4092272.0
"Bhubneshwar","Orissa","Expenditure *",242664.035,241146.064,178824.133,208769.458,"NA","NA","NA","NA","NA",3303130.0,3823377.0,3672561.0
"Sambalpur","Orissa","Income",48738.618,64543.503,85065.604,93470.309,79796.814,108981.281,120622.935,225498.555,195912.221,"NA","NA","NA"
"Sambalpur","Orissa","Expenditure",32443.407,27657.383,48580.551,75372.335,61059.62,46281.965,74421.978,122510.017,212178.307,"NA","NA","NA"
"Puducherry","Puducherry","Income",161044.0,174919.0,179279.0,216615.0,277978.0,256398.0,309917.0,318380.0,340977.0,362000.0,406579.0,"NA"
"Puducherry","Puducherry","Expenditure *",101083.0,131668.0,124213.0,134001.0,196973.0,241605.0,145501.0,148517.0,186589.0,224224.0,299215.0,"NA"
"Amritsar","Punjab","Income",787013.0,694603.0,994510.0,851500.0,880670.0,1934069.0,1043781.0,1079908.0,1185513.0,1436084.0,1369870.0,"NA"
"Amritsar","Punjab","Expenditure *",409456.0,471261.0,396102.0,5840060.0,421538.0,624376.0,256770.0,371222.0,282960.0,1200921.0,1331546.0,"NA"
"Jalandhar","Punjab","Income",756601.0,800656.0,740638.0,893386.0,"NA","NA","NA",1216261.0,2715047.0,"NA","NA","NA"
"Jalandhar","Punjab","Expenditure *",430596.0,451643.0,412877.0,472769.0,"NA","NA","NA",1012723.0,1241344.0,"NA","NA","NA"
"Ludhiana","Punjab","Income",1869979.0,1860355.0,1941574.0,1993944.0,2060055.0,2469020.0,"NA",2743583.0,3062634.0,4049474.0,8136924.0,"NA"
"Ludhiana","Punjab","Expenditure *",1966559.0,1934045.0,1907045.0,2112179.0,2291641.0,2632047.0,"NA",3123841.0,3441969.0,3825550.0,7913000.0,"NA"
"Ajmer","Rajasthan","Income",215675.0,266998.0,235682.0,246894.0,243868.0,334075.0,337837.0,575163.0,554283.0,486528.0,796771.0,"NA"
"Ajmer","Rajasthan","Expenditure *",57957.0,44248.0,46123.0,28944.0,80304.0,353749.0,332990.0,409938.0,541355.0,551343.0,609093.0,"NA"
"Jaipur","Rajasthan","Income",1444607.0,1449201.0,1416002.0,1304684.0,1410953.0,2065562.0,"NA","NA","NA","5852653(RE)","4503135(A)","9809134(RE)"
"Jaipur","Rajasthan","Expenditure *",680121.0,763266.0,767158.0,699055.0,1428724.0,1700900.0,"NA","NA","NA","5644950(RE)","3422379(A)","8657670(RE)"
"Jodhpur","Rajasthan","Income",2965.41,3759.9,3398.61,3783.88,4348.0,5143.0,5401.0,6277.0,9675.0,"NA","NA","NA"
"Jodhpur","Rajasthan","Expenditure *",3131.48,3437.35,3451.42,3827.62,4084.0,4260.0,5287.0,6542.0,8347.0,"NA","NA","NA"
"Udaipur","Rajasthan","Income",2777520.0,3088910.0,3158260.0,3236460.0,3980100.0,4026412.0,5385540.0,"NA","NA","NA","NA","NA"
"Udaipur","Rajasthan","Expenditure *",2157650.0,1796360.0,1938250.0,1803330.0,2465960.0,2067901.0,2952300.0,"NA","NA","NA","NA","NA"
"Chennai","Tamil Nadu","Income",3563738.0,3821453.0,4976197.0,5271446.0,5235195.0,6192989.0,"NA",7763226.0,8263367.0,"13973000(A)","16981200(RE)","18187600(BE)"
"Chennai","Tamil Nadu","Expenditure *",6176476.0,5775119.0,6684255.0,8841291.0,8674467.0,10076454.0,"NA",7037654.0,7939351.0,"12681300(A)","16585100(RE)","18506600(BE)"
"Madurai","Tamil Nadu","Income",922577.0,738563.0,1104491.0,1091687.0,1034091.0,"NA","NA","NA","NA","NA","NA","NA"
"Madurai","Tamil Nadu","Expenditure *",637497.0,559476.0,677165.0,645236.0,649003.0,"NA","NA","NA","NA","NA","NA","NA"
"Tiruchirappalli","Tamil Nadu","Income",371398.113,253212.893,543258.575,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tiruchirappalli","Tamil Nadu","Expenditure *",124384.613,109663.863,148057.528,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Agra","Uttar Pradesh","Income",233143.0,176397.0,287976.0,136287.0,281371.0,476482.0,571395.0,849262.0,859855.0,"1637183(A)","1824175(RE)","NA"
"Agra","Uttar Pradesh","Expenditure *",338223.0,261829.0,505281.0,254303.0,457803.0,653394.0,618003.0,522834.0,1023217.0,"1894040(A)","1975830(RE)","NA"
"Kanpur","Uttar Pradesh","Income",1142.701,1014.239,1292.724,1136.508,1639.414,2056.193,"NA",3027.75,2498.217,"NA","NA","NA"
"Kanpur","Uttar Pradesh","Expenditure *",654.445,911.669,762.498,719.537,894.114,1965.227,"NA",814.534,2007.202,"NA","NA","NA"
"Lucknow","Uttar Pradesh","Income",1719436.0,2329693.0,4014037.0,3834177.0,"NA","NA","NA","NA","NA","NA","7595679(A)","9719446(RE)"
"Lucknow","Uttar Pradesh","Expenditure *",1656725.0,2207262.0,3910535.0,3154344.0,"NA","NA","NA","NA","NA","NA","6696126(A)","9387205(RE)"
"Meerut","Uttar Pradesh","Income",464276.0,451007.0,507791.0,492293.0,511400.0,592779.0,580739.0,1037681.0,1562664.0,"NA","NA","NA"
"Meerut","Uttar Pradesh","Expenditure *",411783.0,421434.0,492986.0,521313.0,469432.0,500298.0,590763.0,578457.0,868705.0,"NA","NA","NA"
"Varanasi","Uttar Pradesh","Income",514846.0,388894.0,389878.0,418357.0,389055.0,563632.0,564909.0,116850.0,400009.0,"2116044(A)","2188845(A)","4234635(RE)"
"Varanasi","Uttar Pradesh","Expenditure *",158011.0,149931.0,139084.0,157033.0,154196.0,159784.0,214997.0,"NA","NA","1799698(A)","1676356(A)","3980491(RE)"
"Howrah","West Bengal","Income",605160.0,457466.0,564388.0,490493.0,733378.0,"NA","NA","NA","NA","NA","NA","NA"
"Howrah","West Bengal","Expenditure *",207030.0,274647.0,192956.0,130558.0,150239.0,"NA","NA","NA","NA","NA","NA","NA"
"Chandernagore","West Bengal","Income",66614.0,87287.0,84019.0,92114.0,98942.0,102429.0,109224.0,"NA","NA","NA","NA","NA"
"Chandernagore","West Bengal","Expenditure *",15331.0,22536.0,34322.0,38984.0,37781.0,41308.0,39206.0,"NA","NA","NA","NA","NA"
