-----
{
 "description": "This table consists of product wise and year wise export of major petrochemicals products, both in quantity and value, during 2006-07 to 2011-12 in India.", 
 "file_name": "Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls", 
 "title": "Export of Major Petrochemicals - Product wise / Group wise from 2006-07 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls"
}
-----
"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"OTHER PETRO-BASED CHEMICALS","2-ETHYL HEXANOL",0.0,5.0,3.0,124.0,8.0,20.0,110.0,410.0,20.0,530.0,78.0,808.0
"OTHER PETRO-BASED CHEMICALS","VINYL CHLORIDE MONOMER",201.0,120.0,2.0,15.0,24.0,14.0,0.0,0.0,26.0,39.0,0.0,0.0
"OTHER PETRO-BASED CHEMICALS","EPICHLOHYDRINE",52.0,55.0,3.0,3.0,8.0,8.0,10.0,9.0,8.0,13.0,19.0,24.0
"OTHER PETRO-BASED CHEMICALS","ISO BUTYLENE",20.0,24.0,43.0,38.0,31.0,6.0,100.0,48.0,1.0,1.0,0.0,1.0
"OTHER PETRO-BASED CHEMICALS","METAXYLENE",16.0,26.0,40.0,17.0,10862.0,2255.0,37.0,22.0,109406.0,71083.0,92344.0,61389.0
"OTHER PETRO-BASED CHEMICALS","METHYL ISOBUTYL KETONE",119.0,237.0,476.0,260.0,82.0,72.0,3.0,11.0,107.0,91.0,539.0,519.0
"OTHER PETRO-BASED CHEMICALS","PIB",1336.0,831.0,4262.0,2389.0,5215.0,3502.0,5169.0,3168.0,6167.0,4020.0,6623.0,5529.0
"OTHER PETRO-BASED CHEMICALS","POLYCARBONATE",2147.0,2874.0,1997.0,2833.0,963.0,1860.0,1433.0,3556.0,3368.0,6650.0,2355.0,3671.0
"OTHER PETRO-BASED CHEMICALS","PROPYLENE OXIDE",20.0,33.0,280.0,379.0,66.0,62.0,0.0,0.0,0.0,4.0,0.0,0.0
"OTHER PETRO-BASED CHEMICALS","PROPYLENE GLYCOL",392.0,286.0,729.0,481.0,894.0,737.0,1151.0,758.0,1178.0,971.0,908.0,879.0
