-----
{
 "description": "List of Copyrights obtained by various entities for software developed under R&D funding of the Department of Electronics and Information Technology (DeitY), M/o C&IT, GoI", 
 "file_name": "Copyrights_for_Softwares.csv", 
 "title": "Copyrights for Softwares Developed under DeitY Funding ", 
 "url": "http://data.gov.in/sites/default/files/Copyrights_for_Softwares.csv"
}
-----
Organization,Name of Software,Copy Right Date,Diary number,
Coilnet Bhu Center Varanasi,Varanasi-ke-Mandi-Bhave,3/22/2004,306/04-co(sw),
Coilnet Bhu Center Varanasi,Nagri-Pracharini-Sabha,3/22/2004,308/04-co(sw),
Coilnet Bhu Center Varanasi,Kashi-ki-Vibhutiyan,3/22/2004,303/04-co(sw),
Coilnet Bhu Center Varanasi,Varanasi Avem-Ashepassh-ke-Mandi-Bhave,3/22/2004,304/04-co(sw),
Coilnet Bhu Center Varanasi,Tantra-EK-Parichay,3/22/2004,307/04-co(sw),
Coilnet Bhu Center Varanasi,Mahamana Sankshipt-Jivan-Parichay, 22-03-2004,313/04-co(sw),
Coilnet Bhu Center Varanasi,Pritiyogita-Prashikashak,3/22/2004,312/04-co(sw),
Coilnet Bhu Center Varanasi,Vigayapan-Prabandhak,3/22/2004,301/04-co(sw),
Coilnet Bhu Center Varanasi,Santulit-Ahar-Avem-Poshan,3/22/2004,302/04-co(sw),
Coilnet Bhu Center Varanasi,Karshak-Mittra,3/22/2004,311/04-co(sw),
Coilnet Bhu Center Varanasi,Akanksha,2/8/2005,79/05-co(sw),
Coilnet Bhu Center Varanasi,Redash Rachnavali,5/6/2005,166/05/-co(sw),
,ID &RBT Hyderabad,3/11/2005,,
"C-DAC, Pune",AyuSoft,5/18/2006,2726/06-co(sw),
"IISc, Bangalore",Picasso Database Query Optimizer Visulizer,3/31/2006,1786/06-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Devnagari),6/20/2006,3244/06-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Telgu),6/20/2006,3246/06-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Tamil),6/20/2006,3245/06-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Punjabi),6/20/2006,3250/06-co(sw),
"CDAC,  Pune",GIST TT Typing Tool (Punjabi),6/20/2006,3241/06-co(sw),
"CDAC,  Pune",GIST TT Typing Tool (Telgu),6/20/2006,3242/06-co(sw),
"CDAC,  Pune",GIST TT Typing Tool (Tamil),6/20/2006,3243/06-co(sw),
"CDAC,  Pune",GIST TT Typing Tool (Devnagari),6/20/2006,3251/06-co(sw),
"CDAC,  Pune",ISM V-5  Office Net,6/20/2006,3247/06-co(sw),
"CDAC,  Pune",ISM V-5  Office,6/20/2006,3248/06-co(sw),
"CDAC,  Pune",GIST ORA Tool,6/20/2006,3249/06-co(sw),
"C-DAC , PUNE",ISM TYPING POOL,3/7/2007,1320/2007-co(sw),
"CDAC,  Pune",GMESSAGE BOX,3/7/2007,1323/2007-co(sw),
"CDAC,  Pune",G-REPORT GENERATOR  (URDU),3/7/2007,1321/2007-co(sw),
"CDAC,  Pune",GMESSENGER,3/7/2007,1322/2007-co(sw),
"CDAC,  Pune",SPAGMOS   v1.0,8/26/2007,1784/2007-co(sw),
"CDAC,  Pune",GEAGUL-C  V 1.0,8/26/2007,1786/2007-co(sw),
"CDAC,  Pune",GJSRL -  v1.0,8/26/2007,1785/2007-co(sw),
"CDAC,  Pune",GIST SOL Tool,7/17/2007,4216/2007-co(sw),
"CDAC,  Pune",LIPS PRO DTS,7/23/2007,4365/2007-co(sw),
"CDAC,  Pune",ISM V5 Soft,7/23/2007,4361/2007-co(sw),
"CDAC,  Pune",InDis Pro,7/23/2007,4366/2007-co(sw),
"CDAC,  Pune",CGIST Mail,7/17/2007,4217/2007-co(sw),
"CDAC,  Pune",ISMV5 SoftNet,7/17/2007,4220/2007-co(sw),
"CDAC,  Pune",ISM V5 Publisher,7/17/2007,4219/2007-co(sw),
"CDAC,  Pune",GXML Formator,7/23/2007,4363/2007-co(sw),
"CDAC,  Pune",Move CG PRO,7/17/2007,4218/2007-co(sw),
"CDAC,  Pune",J. Get,7/23/2007,4362/2007-co(sw),
"CDAC,  Pune",Iplugin,7/23/2007,4364/2007-co(sw),
"CDAC,  Pune",GAGEAG- V1.0,8/6/2007,4628/2007-co(sw),
"CDAC,  Pune","GOPAEAG-V1,0",8/6/2007,4631/2007-co(sw),
"CDAC,  Pune",PerlCEAG-V1.0,8/6/2007,4630/2007-co(sw),
"CDAC,  Pune",GITeMS-V1.0,06-082007,4629/2007-co(sw),
"CDAC,  Pune","JATAN:Virtual Museum Builder          C-DAC, Pune",8/20/2007,5709/2007-co(sw),
"CDAC,  Pune",GIPSY : J2EE based PSE for Bioinformatics Application on a High and Cluster,8/20/2007,5710/2007-co(sw),
"CDAC,  Pune",PyCEAG-v1.0,9/13/2007,5669/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Oriya),9/13/2007,5668/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Bengali),9/13/2007,5667/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Kannada),9/12/2007,5657/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Assamese),9/12/2007,5653/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Malayalam),9/12/2007,"5654/2007-co(sw),",
"CDAC,  Pune",GIST OT Typing Tool (Gujarati),9/12/2007,5655/2007-co(sw),
"CDAC,  Pune",GIST OT Typing Tool (Marathi),9/12/2007,5656/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Oriya),9/20/2007,5866/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Bengali),9/20/2007,5868/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Kannada),9/20/2007,5867/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Assamese),9/20/2007,5869/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Malayalam),9/20/2007,5864/2007-co(sw),
"CDAC,  Pune",GIST IT Typing Tool (Gujarati),9/20/2007,5865/2007-co(sw),
"CDAC,  Pune","GIST ADK,",10/10/2007,6220/2007-co(sw),
"CDAC,  Pune","GIST TIKON ,",10/10/2007,6221/2007-co(sw),
"CDAC,  Pune","GIST LGE,",10/10/2007,6222/2007-co(sw),
"CDAC,  Pune","GIST Tahreer,",10/10/2007,6223/2007-co(sw),
"CDAC,  Pune","GIST IMLA SHANAAS,",10/10/2007,6224/2007-co(sw),
"IIM, Calcutta.",Crossing – Distribution Problem for 2-terminal Nets,10/10/2007,6225/2007-co(sw),
"CDAC,  Pune","PSP-SGA,",11/16/2007,7159/2007-co(sw),
"CDAC,  Pune",GIST ILTI-Indian Langualge hTml Indexer,4/25/2008,2524/2008-co(sw),
"CDAC,  Pune",IPlugin Localization Toolbar,4/25/2008,2526/2008-co(sw),
"CDAC,  Pune",GIST Web-OT,4/25/2008,2525/2008-co(sw),
"CDAC,  Pune",GIST- Txl ( Text to Image),4/25/2008,2522/2008-co(sw),
"CDAC,  Pune",GIST- TTX (Types through ajaX),4/25/2008,2523/2008-co(sw),
"CDAC,  Pune",Online Webpage Localizer,4/25/2008,2521/2008-co(sw),
"CDAC, Thiruvananthapuram.",Filing of copyright for software SHRUTHI 2.2 – The digital hearing aid programming software,1/16/2009,314/2009-co(sw),
"CDAC,  Pune",Copyright for Cure@Home,3/31/2009,2673/2009-co(sw),
DeitY,SICLDRWS,8/10/2009,7545/2009-co(sw),
DeitY,Make Mysite,8/10/2009,7544/2009-co(sw),
"DeitY, New Delhi",Client Server based EAMS 2008: Electronic Activity and Monitoring System,10/14/2009,9580/2009-co(sw),
DeitY New Delhi,e-DAM: Electronic Distributed Activity Monitoring,10/14/2009,9581/2009-co(sw),
DeitY New Delhi,DAMS Distributing Activity and Monitoring System ver 3.0,10/14/2009,9582/2009-co(sw),
IIM Calcutta and DeitY.,A Software Package for Thermal – aware Placement and Routing for Standard Cells,1/27/2010,892/2010-cosw,
DeitY,e-OES:   Electronic Online Examination System ,1/27/2010,894/2010-cosw,
DeitY,PDS: Prior-art Data Search,1/27/2010,893/2010-cosw,
C-DAC Pune,GENOPIPE,4/20/2010,,
C-DAC Pune,GENOME GRID,4/20/2010,4491/10-cosw,
C-DAC Pune,IMolDock,4/20/2010,4490/10-cosw,
C-DAC Pune,Anvaya,3/19/2010,2779/2010-cosw,
C-DAC Pune,SDK – HL7 (.NET),3/19/2010,2796/2010-cosw,
C-DAC Pune,Mercury ISS,3/19/2010,2795/2010-cosw,
C-DAC Pune,MWT-C,3/19/2010,2793/2010-cosw,
C-DAC Pune,SDK-DICOM(.NET),3/19/2010,2792/2010-cosw,
C-DAC Pune,MWT-D,3/19/2010,2790/2010-cosw,
C-DAC Pune,SDK-DICOM (JAVA),3/19/2010,2791/2010-cosw,
C-DAC Pune,Mercury ISC,3/19/2010,2794/2010-cosw,
C-DAC Pune,SDK – HL7 (JAVA),3/19/2010,2798/2010-cosw,
C-DAC Pune,Mercury CRS,3/19/2010,2797/2010-cosw,
C-DAC Pune,MWI (Mercury Web Interface),3/19/2010,2788/2010/cosw,
C-DAC Pune,Mercury P2P,3/19/2010,2799/2010/cosw,
CDAC-KERALA,Audio Watch-Audio Broadcast Logging Software,3/19/2010,2786/2010/cosw,
CDAC-KERALA,Watermark extractor-Audio watermark Extracting software Tool,3/19/2010,2784/2010-cosw,
CDAC-KERALA,Watermark embedder-Audio Watermarking Tool,3/19/2010,2785/2010-cosw,
DeitY and IIM KOLKATA,A software for multilayered Non-intersecting Steiner tree construction for VLSI routing,3/19/2010,2789/2010/cosw,
C-DAC Pune,Cure@Home Web,4/20/2010,4492/10 /cosw,
DeitY and C-DAC Pune,Collation & Ranking,4/20/2010,4493/10/Cosw,
DeitY and C-DAC Pune,Rule based POS Conversion,4/20/2010,4494/10/Cosw,
DeitY and C-DAC Pune,Head Corner TAG C- DAC,4/20/2010,4495/10/Cosw,
DeitY and C-DAC Pune,Vyakarta  - Statistical TAG Parser,4/20/2010,4496/10/Cosw,
DeitY and C-DAC Pune,Statistical Part of Speech Tagger,4/20/2010,4497/10/Cosw,
DeitY and C-DAC Pune,English to Oriya Transliteration Tool,4/20/2010,4498/10/Cosw,
DeitY and C-DAC Pune,Oriya Morph Synthesizer,4/20/2010,4499/10/Cosw,
DeitY and C-DAC Pune,English to Marathi Transliteration Tool,4/20/2010,4500/10/Cosw,
DeitY and C-DAC Pune,Marathi Morph Synthesizer,4/20/2010,4501/10/Cosw,
DeitY and C-DAC Pune,English to Hindi tranansliteration Tool,4/20/2010,4502/10/Cosw,
DeitY and C-DAC Pune,Multilingual Typing Tool,4/20/2010,4503/10/Cosw,
C-DAC Pune,NOUN Category and Phrase Collation,4/20/2010,4504/10/Cosw,
DeitY and C-DAC Pune,EILMT User Log Module,4/20/2010,4505/10/Cosw,
DeitY and C-DAC Pune,Hindi Morph Synthesizer,4/20/2010,4506/10/Cosw,
C-DAC Pune,"Soft Keyboard for Telugu AAI,",7/14/2010,7737/2010-cosw,
C-DAC Pune,"Soft Keyboard for Hindi AAI,",7/14/2010,7738/2010-cosw,
C-DAC Pune,"Soft Keyboard for Marathi AAI,",7/14/2010,7739/2010-cosw,
C-DAC Pune,"Soft Keyboard for Tamil AAI,",7/14/2010,7740/2010-cosw,
C-DAC Pune,"Soft Keyboard for Bengali AAI,",7/14/2010,7741/2010-cosw,
C-DAC Pune,"Soft Keyboard for Punjabi AAI,",7/14/2010,7742/2010-cosw,
C-DAC Pune,"File Format Processor AAI,",7/14/2010,7743/2010-cosw,
C-DAC Pune,@-Atithi – S/W,7/14/2010,7744/2010-cosw,
C-DAC Pune,MCG LIVE,7/14/2010,7746/2010-cosw,
C-DAC Pune,GIST KARAOKE Player S/W,7/14/2010,7747/2010-cosw,
C-DAC Pune,GIST Voice Response System S/W,7/14/2010,7745/2010-cosw,
C-DAC Pune,LIPS LIVE,7/14/2010,7712/2010-cosw,
C-DAC Pune,GIST Multi-Lingual Number Reader S/W,7/14/2010,7713/2010-cosw,
C-DAC Pune,GIST TTS Testing Tool S/W,7/14/2010,7714/2010-cosw,
C-DAC Pune,GIST URL Reader S/W,7/14/2010,7715/2010-cosw,
C-DAC Pune,GIST Audio Processing Tool S/W,7/14/2010,7716/2010-cosw,
C-DAC Pune,GIST Audio patch Builder S/W,7/14/2010,7717/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Paradigm Table for Urdu,9/21/2010,10359/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Domain specific English monolingual Corpora in Health and Tourism domain,9/21/2010,10360/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Source Code of English Corpus Analysis Tool for Dictionary Extraction,9/21/2010,10361/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA","Punjabi Romanized Code Table ;Source Code for converter; converting Romanized Punjabi to UNICODE Punjabi and ; Source Code for converter, converting UNICODE Punjabi to Romanized Punjabi",9/21/2010,10362/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Source Code Text Generator and components for English to Urdu translation,9/21/2010,10363/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Paradigm Table for Punjabi,9/21/2010,10364/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Lexical database and components for English to Punjabi,9/21/2010,10365/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Lexical database and components for English to Urdu,9/21/2010,10366/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Semi-Automatic Translation Test Bed for English to Punjabi,9/21/2010,10367/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Source Code Text Generator and components for English to Punjabi translation,9/21/2010,10368/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Source Code for input/output computer interface for domain customized English to Punjabi Translation,9/21/2010,10369/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA","Source Code of English to Urdu translation Testing Tool (modules for displaying alternative sentence structures and their mapping to Urdu language structure, learning lexical choice, learning morphological analysis of English and morphological synthesis of Urdu language",9/21/2010,10370/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Domain specific Urdu monolingual Corpora in Health and Tourism domain,9/21/2010,10371/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA","Source Code of English to Punjabi translation Testing Tool (modules for displaying alternative sentence structures and their mapping to Punjabi language structure, learning lexical choice, learning morphological analysis of English and morphological synthesis of Punjabi language",9/21/2010,10372/2010-cosw,
"IIT-K, DeitY and C-DAC, NOIDA",Domain specific Punjabi monolingual Corpora in Health and Tourism domain,9/21/2010,10373/2010-cosw,
IIT Madras,SVM training and testing code to recognize online Handwritten Kannda Character as a part of project,9/21/2010,10375/2010-cosw,
IIT Madras,SVM training and testing code to recognize online Handwritten Hindi Character as a part of project,9/21/2010,10376/2010-cosw,
IIT Madras,SVM training and testing code to recognize online Handwritten Telugu Character as a part of project,9/21/2010,10377/2010-cosw,
"IIT-K, DeitY and c-DAC, Kolkata",Domain specific English mono-lingual Corpora in Health and Tourism domain,2/1/2011,1005/11-cosw,
"IIT-K, DeitY and c-DAC, Kolkata",Source Code for Bangla morph synthesizer,2/1/2011,1006/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Paradigm Tables for Bangla,2/1/2011,1007/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Source Code of English to Bangla Training Tool,2/1/2011,1008/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Source Code Text Generator and components for English to Bangla translation,2/1/2011,1009/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Domain specific Bangla mono-lingual Corpora in Health and Tourism domain,2/1/2011,1010/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata","PLIL (Pseudo lingua for indian languages) Tree viewer C-DAC, Kolkata",2/1/2011,1011/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata","Source Code for Input/Output Computer Interface for domain customized, English to Bangla translation",2/1/2011,1012/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Lexical database and components for English to Bangla translation,2/1/2011,1013/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata","(a) bangle Romanized Code Table; (b) Source Code for converter, converting Romanized Bangla to UNICODE Bangla; and (c) Source Code for converter, converting UNICODE Bangla to Romanized Bangla",2/1/2011,1014/11-cosw,
"IIT-K, DeitY and C-DAC, Kolkata",Source Code of English Corpus Analysis tool for Dictionary Extraction,2/1/2011,1015/11-cosw,
"C-DAC, Thiruvananthapuram",Domain specific Malayalam mono-lingual Corpora in Health and Tourism domain- -,12/6/2010,12899/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram",Source Code for English Corpus Analysis Tool for Dictionary Extraction     -,12/6/2010,12900/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram","Malayalam Romanized Code Table, Source Code for Converter, Converting Romanized Malayalam to UNICODE Malayalam, Source Code for converter, converting UNICODE Malayalam to Romanized Malayalam-",12/6/2010,12901/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram",Lexical database and components for English to Malayalam translation-,12/6/2010,12902/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram",Domain specific English mono-lingual Corpora in Health and Tourism domain- -,12/6/2010,12903/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram",Source Code for Malayalam morph synthesizer-,12/6/2010,12904/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram",Source Code Text Generator and components for English to Malayalam Translation,12/6/2010,12905/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram","Source Code for Input/Output Computer Interface for domain customized, English to Malayalam translation",12/6/2010,12906/10-cosw,
"IIT-K, DeitY and C-DAC, Thiruvananthapuram","(a) Urdu Romanized Code Table; and (b) Source Code for converter, converting Romanized Urdu to UNICODE Urdu",9/21/2010,10374/2010-cosw,
C-DAC Trivandrum,eSmear – cervical Smear analysis and reporting softwrare,7/18/2011,8607/2011-cosw,
IIIIT Hyd,Vibhakti Computation for natural language .,9/21/2010,10378/2010-cosw,
IIIIT Hyd,Head Computation for natural language .,9/21/2010,10379/2010-cosw,
IIIIT Hyd,Pruning Computation for natural language .,9/21/2010,10380/2010-cosw,
IIIIT Hyd,Default Features for Hindi language .,9/21/2010,10381/2010-cosw,
IIIIT Hyd,POS tagger for Hindi language .,9/21/2010,10382/2010-cosw,
IIIIT Hyd,Word Generator for Hindi language .,9/21/2010,10383/2010-cosw,
IIIIT Hyd,Intra-chunk agreement for Hindi language .,9/21/2010,10384/2010-cosw,
IIIIT Hyd,Vibhakti Splitter for Hindi language .,9/21/2010,10385/2010-cosw,
IIIIT Hyd,Encode Converter for natural language .,9/21/2010,10386/2010-cosw,
IIIIT Hyd,Agreement Distribution for Hindi language .,9/21/2010,10387/2010-cosw,
IIIIT Hyd,Chunker engine for natural language .,9/21/2010,10388/2010-cosw,
IIIIT Hyd,POS tagger engine for natural language .,9/21/2010,10389/2010-cosw,
IIIIT Hyd,Transfer Grammar for natural language .,9/21/2010,10390/2010-cosw,
IIIIT Hyd,Simple Parser for natural language .,9/21/2010,10391/2010-cosw,
IIIIT Hyd,Simple Parser for Hindi language .,9/21/2010,10392/2010-cosw,
IIIIT Hyd,Transliteration for nature language .,9/21/2010,10393/2010-cosw,
IIIIT Hyd,Chunker for Hindi language .,9/21/2010,10394/2010-cosw,
IIIIT Hyd,Tokenizer for nature language .,9/21/2010,10395/2010-cosw,
IIIIT Hyd,Inter-chunk agreement for Hindi language .,9/21/2010,10396/2010-cosw,
IIIIT Hyd,Agreement features for Hindi language .,9/21/2010,10397/2010-cosw,
"CDAC, Pune",GIST Wave Bridge,7/14/2010,7718/2010-cosw,
"CDAC, Pune",GIST Wave Knife,7/14/2010,7719/2010-cosw,
"CDAC, Pune",GIST Clipboard Reader,7/14/2010,7720/2010-cosw,
"CDAC, Pune",G-Class,7/14/2010,7721/2010-cosw,
"CDAC, Pune",GIST Dogri Dictionary Tool,7/14/2010,7722/2010-cosw,
"CDAC, Pune",GIST File Converter,7/14/2010,7723/2010-cosw,
"CDAC, Pune",GIST Manipuri Dictionary Tool,7/14/2010,7711/2010-cosw,
"CDAC, Pune",GIST Maithili Dictionary Tool,7/14/2010,7724/2010-cosw,
"CDAC, Pune",GIST Nepali Dictionary Tool,7/14/2010,7725/2010-cosw,
"CDAC, Pune",GIST Concordance Tool,7/14/2010,7726/2010-cosw,
"CDAC, Pune",GCDR (GIST Common Data Repository),7/14/2010,7727/2010-cosw,
"CDAC, Pune",GIST IND Web Service Suite,7/14/2010,7728/2010-cosw,
"CDAC, Pune",GIST iPlugin Unicode,7/14/2010,7729/2010-cosw,
"CDAC, Pune",GIST iPlugin Phonetic Assistant,7/14/2010,7730/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Bodo,7/14/2010,7731/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Dogri,7/14/2010,7732/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Kashmiri Dev,7/14/2010,7755/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Nepali,7/14/2010,7756/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for OL CHIKI,7/14/2010,7757/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Sanskrit,7/14/2010,7710/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Sindhi-Dev,7/14/2010,7733/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Konkani,7/14/2010,7734/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Maithili,7/14/2010,7735/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Manipuri,7/14/2010,7736/2010-cosw,
"CDAC, Pune",GIST –OT –Typing – Tool for Santali,7/14/2010,7748/2010-cosw,
"CDAC, Pune",GIST –TT –Typing – Tool for Konkani,7/14/2010,7758/2010-cosw,
"CDAC, Pune",GIST –TT –Typing – Tool for Manipuri,7/14/2010,7759/2010-cosw,
"CDAC, Pune",GIST –TT –Typing – Tool for Nepal,7/14/2010,7760/2010-cosw,
"CDAC, Pune",GIST- TRANS,7/14/2010,7761/2010-cosw,
"CDAC, Pune",GIST – TT – Typing for Sanskrit,7/14/2010,7762/2010-cosw,
"CDAC, Pune",GIST – Online CLDR,7/14/2010,7749/2010-cosw,
"CDAC, Pune",e – Thesaurus Generation Tool,7/14/2010,7750/2010-cosw,
