"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"OTHER PETRO-BASED CHEMICALS","PROPYLENE OXIDE",3833.0,3158.0,3304.0,2442.0,4432.0,3530.0,10006.0,7393.0,12561.0,10340.0,9392.0,9595.0
"OTHER PETRO-BASED CHEMICALS","PROPYLENE GLYCOL",16491.0,10625.0,18716.0,11352.0,26070.0,18275.0,29374.0,17958.0,35120.0,24035.0,35736.0,29641.0
"OTHER PETRO-BASED CHEMICALS","PET",65012.0,31780.0,30082.0,15036.0,62150.0,32009.0,25064.0,13376.0,60290.0,37519.0,35978.0,27152.0
"OTHER PETRO-BASED CHEMICALS","UNSATURATED POLYSTER RESIN",32757.0,23574.0,23423.0,19819.0,38920.0,28801.0,44833.0,30742.0,36633.0,36032.0,34237.0,39319.0
"OTHER PETRO-BASED CHEMICALS","ETHYL BENZENE",79.0,70.0,20.0,15.0,63.0,51.0,76.0,53.0,54.0,47.0,75.0,82.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE ACETATE BUTYRATE",0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,4.0,21.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE ACETATE SHEET",313.0,74.0,409.0,115.0,342.0,103.0,375.0,129.0,318.0,123.0,459.0,216.0
"OTHER PETRO-BASED CHEMICALS","CELLULOSE NITRATE SHEET",38.0,273.0,93.0,312.0,22.0,88.0,75.0,137.0,99.0,217.0,81.0,236.0
"OTHER PETRO-BASED CHEMICALS","MELAMINE MOULDING POWDER",2525.0,2162.0,2811.0,2434.0,2803.0,2910.0,3896.0,3902.0,6019.0,5928.0,8006.0,8500.0
"OTHER PETRO-BASED CHEMICALS","POLYACETAL RESIN",12483.0,7653.0,12326.0,7629.0,10909.0,8118.0,15437.0,11934.0,19191.0,14005.0,21082.0,17748.0
"OTHER PETRO-BASED CHEMICALS","PHTHALIC ANHYDRIDE",14133.0,7192.0,31203.0,16312.0,37465.0,19365.0,28098.0,13684.0,61241.0,31601.0,38894.0,25948.0
"OTHER PETRO-BASED CHEMICALS","STYRENE",405715.0,223199.0,413840.0,230561.0,395725.0,207567.0,453007.0,236847.0,458595.0,252983.0,520758.0,348850.0
"OTHER PETRO-BASED CHEMICALS","VINYL ACTATE MONOMER",40103.0,17908.0,53895.0,26570.0,50377.0,25881.0,76658.0,30906.0,85369.0,34884.0,124726.0,67921.0
"OTHER PETRO-BASED CHEMICALS","ISOPROPANOL",2379.0,1457.0,2114.0,1237.0,2943.0,1807.0,5119.0,3096.0,4952.0,3029.0,4575.0,3235.0
