-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Fruits like Apple, Banana, Citrus, Grape, Guava, Litchi, Mango, Papaya, Pineapple, Pomegranate, Sapota, and Others.", 
 "file_name": "AREA_AND_PRODUCTION_OF_FRUITS.xls", 
 "title": "All India and State Wise Area and Production of Fruits ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_FRUITS.xls"
}
-----
"State/Union Territory","Apple 2009-10 Area (in '000 Hectare)","Apple 2010-11 Area (in '000 Hectare)","Apple 2009-10 Production (in '000 Tonne)","Apple 2010-11 Production (in '000 Tonne)","Banana 2009-10 Area (in '000 Hectare)","Banana 2010-11 Area (in '000 Hectare)","Banana 2009-10 Production (in '000 Tonne)","Banana 2010-11 Production (in '000 Tonne)","Citrus 2009-10 Area (in '000 Hectare)","Citrus 2010-11 Area (in '000 Hectare)","Citrus 2009-10 Production (in '000 Tonne)","Citrus 2010-11 Production (in '000 Tonne)","Grape 2009-10 Area (in '000 Hectare)","Grape 2010-11 Area (in '000 Hectare)","Grape 2009-10 Production (in '000 Tonne)","Grape 2010-11 Production (in '000 Tonne)","Guava 2009-10 Area (in '000 Hectare)","Guava 2010-11 Area (in '000 Hectare)","Guava 2009-10 Production (in '000 Tonne)","Guava 2010-11 Production (in '000 Tonne)","Litchi 2009-10 Area (in '000 Hectare)","Litchi 2010-11 Area (in '000 Hectare)","Litchi 2009-10 Production (in '000 Tonne)","Litchi 2010-11 Production (in '000 Tonne)","Mango 2009-10 Area (in '000 Hectare)","Mango 2010-11 Area (in '000 Hectare)","Mango 2009-10 Production (in '000 Tonne)","Mango 2010-11 Production (in '000 Tonne)","Papaya 2009-10 Area (in '000 Hectare)","Papaya 2010-11 Area (in '000 Hectare)","Papaya 2009-10 Production (in '000 Tonne)","Papaya 2010-11 Production (in '000 Tonne)","Pineapple 2009-10 Area (in '000 Hectare)","Pineapple 2010-11 Area (in '000 Hectare)","Pineapple 2009-10 Production (in '000 Tonne)","Pineapple 2010-11 Production (in '000 Tonne)","Pomegranate 2009-10 Area (in '000 Hectare)","Pomegranate 2010-11 Area (in '000 Hectare)","Pomegranate 2009-10 Production (in '000 Tonne)","Pomegranate 2010-11 Production (in '000 Tonne)","Sapota 2009-10 Area (in '000 Hectare)","Sapota 2010-11 Area (in '000 Hectare)","Sapota 2009-10 Production (in '000 Tonne)","Sapota 2010-11 Production (in '000 Tonne)","Others 2009-10 Area (in '000 Hectare)","Others 2010-11 Area (in '000 Hectare)","Others 2009-10 Production (in '000 Tonne)","Others 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Jharkhand","NA","NA","NA","NA",2.9,3.2,58.0,64.3,4.3,7.4,53.3,75.6,"NA","NA","NA","NA",7.0,7.0,84.5,84.4,4.256,4.3,51.1,35.9,15.1,38.9,254.3,427.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.1,"NA",76.6,"NA",37.656,60.8,577.8,688.1
" Karnataka","NA","NA","NA","NA",104.4,111.8,2132.3,2281.6,15.1,15.7,312.5,324.7,17.4,18.1,317.6,330.3,7.2,7.3,138.8,141.6,"NA","NA","NA","NA",153.8,161.6,1694.0,1778.8,5.8,6.1,419.3,440.2,2.8,3.0,177.2,186.1,13.2,13.6,138.5,142.6,29.3,30.8,360.0,377.8,2.0,"NA",22.2,"NA",351.0,368.0,5712.4,6003.7
" Kerala","NA","NA","NA","NA",51.3,58.7,406.2,483.7,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",63.8,62.2,373.2,380.9,17.723,16.2,80.661,100.8,9.8,10.2,80.8,85.5,"NA","NA","NA","NA","NA","NA","NA","NA",154.1,"NA",1457.5,"NA",296.723,147.3,2398.361,1050.9
" Madhya Pradesh ","NA","NA","NA","NA",33.0,38.1,1459.8,1719.6,38.3,45.0,677.8,798.5,0.5,0.6,12.5,14.7,8.2,9.7,238.5,280.8,"NA","NA","NA","NA",14.2,16.7,127.8,150.6,1.7,2.0,192.9,227.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.2,"NA",154.7,"NA",113.1,112.1,2864.0,3191.2
" Maharashtra","NA","NA","NA","NA",85.0,82.0,5200.0,4303.0,287.6,278.0,1725.1,1410.0,82.0,86.0,440.0,774.0,33.5,36.0,258.0,311.0,"NA","NA","NA","NA",474.5,477.0,597.0,331.0,"NA",9.0,"NA",319.0,"NA","NA","NA","NA",98.9,82.0,555.5,492.0,69.1,70.0,298.0,322.0,410.1,"NA",1323.0,"NA",1540.7,1120.0,10396.6,8262.0
" Manipur ","NA","NA","NA","NA",4.0,33.7,33.7,34.9,6.0,6.2,46.7,48.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.1,12.2,103.5,104.4,"NA","NA","NA","NA","NA","NA","NA","NA",16.4,"NA",98.0,"NA",38.5,52.1,281.9,187.3
" Meghalaya ","NA","NA","NA","NA",7.0,5.8,82.8,67.3,10.1,9.5,43.1,38.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.7,0.8,5.6,6.8,10.813,9.7,106.8,86.0,"NA","NA","NA","NA","NA","NA","NA","NA",4.4,"NA",56.5,"NA",33.013,25.8,294.8,199.0
" Mizoram","NA",0.0,"NA","NA",8.7,10.0,207.7,118.6,10.6,11.3,64.7,43.9,1.2,1.6,18.4,20.4,"NA",0.4,"NA",2.3,"NA",0.4,"NA",1.6,"NA",0.7,"NA",2.9,0.8,0.8,20.3,6.8,0.4,1.5,6.3,13.6,"NA","NA","NA","NA","NA",3.4,"NA",17.0,5.4,"NA",10.9,"NA",27.1,30.1,328.3,227.1
" Nagaland ","NA","NA","NA",0.1,6.3,2.7,62.7,59.0,5.4,5.7,43.7,17.0,0.2,0.2,0.1,0.1,0.3,0.3,1.5,1.4,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.8,0.7,6.8,5.6,8.0,3.7,80.1,57.5,0.1,0.1,0.3,0.3,"NA","NA","NA","NA",9.3,"NA",27.9,"NA",30.9,13.9,223.7,141.6
" Orissa","NA","NA","NA","NA",24.7,26.9,400.4,488.7,27.4,27.5,258.8,265.4,"NA","NA","NA","NA",14.135,14.2,100.0,102.1,4.3,4.4,17.1,19.2,177.6,190.1,577.5,642.0,2.1,3.6,45.7,77.6,0.7,0.8,8.4,10.5,0.2,0.2,0.8,0.9,3.3,"NA",16.6,"NA",47.6,"NA",419.8,"NA",302.035,267.7,1845.1,1606.4
" Punjab","NA","NA","NA","NA",0.1,0.2,5.8,10.2,42.4,44.7,905.1,900.5,0.5,0.5,15.5,12.9,8.022,7.8,169.3,171.0,1.6,1.6,22.4,23.9,6.4,6.5,93.5,103.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.5,"NA",153.4,"NA",67.522,61.3,1365.0,1221.5
" Rajasthan","NA",0.0,"NA","NA","NA",0.1,0.8,0.8,18.6,20.6,312.7,322.8,"NA","NA","NA","NA",2.1,3.1,37.5,39.5,"NA","NA","NA","NA",5.9,6.3,93.0,93.5,0.4,0.8,13.2,13.3,"NA","NA","NA","NA",0.8,0.8,4.8,5.5,"NA",0.0,0.1,0.1,4.3,"NA",214.4,"NA",32.1,31.7,676.5,475.5
" Sikkim","NA",0.0,"NA",0.0,1.6,1.7,3.2,3.4,7.9,8.3,13.1,14.4,"NA","NA","NA","NA",0.9,1.0,0.1,0.1,0.2,0.2,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5,"NA",2.0,"NA",12.1,11.2,18.4,17.9
" Tamil Nadu","NA","NA","NA",0.1,113.7,125.4,4980.9,8253.0,17.9,11.1,53.6,31.3,2.6,2.7,44.1,53.0,7.0,7.6,92.5,100.8,"NA",0.0,0.2,0.2,132.7,148.0,636.3,823.7,0.397,0.6,73.9,105.0,0.5,0.6,25.0,25.1,0.4,0.5,17.5,12.7,6.9,9.0,173.5,242.3,9.4,"NA",281.4,"NA",291.497,305.5,6378.9,9647.2
" Tripura","NA",33.0,"NA","NA",7.5,7.8,105.6,125.0,5.3,6.1,33.9,39.1,"NA","NA","NA","NA",0.4,0.4,1.7,2.0,2.791,2.9,17.0,16.6,4.3,5.4,13.2,23.9,1.3,1.5,18.5,22.6,6.8,6.8,117.5,153.3,"NA","NA","NA","NA",0.1,0.1,1.1,1.0,8.6,"NA",265.3,"NA",37.091,64.0,573.8,383.5
" Uttarakhand",32.4,"NA",114.0,135.9,"NA","NA","NA","NA",26.7,27.4,126.6,134.5,"NA","NA","NA","NA","NA",1.5,"NA",8.9,9.1,9.3,15.7,18.7,38.4,39.0,120.8,135.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",87.3,"NA",346.6,"NA",193.9,77.2,723.7,433.3
" Uttar Pradesh","NA","NA","NA","NA",30.4,32.4,1138.6,1346.1,0.5,0.5,1.3,1.3,"NA","NA","NA","NA",39.9,14.6,486.7,241.4,0.3,0.3,1.3,1.1,276.4,267.2,3588.0,3623.2,0.2,0.2,11.8,11.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.8,"NA",152.4,"NA",356.5,315.2,5380.1,5224.5
" West Bengal ","NA","NA","NA","NA",41.0,42.0,982.2,1010.1,11.3,11.3,100.9,101.8,"NA","NA","NA","NA",13.4,13.6,175.7,178.8,8.4,8.6,82.4,85.1,88.1,89.5,578.0,620.2,11.1,11.1,321.8,324.2,9.553,9.9,293.8,303.7,"NA","NA","NA","NA",4.0,4.0,43.4,43.6,21.4,"NA",282.8,"NA",208.253,190.0,2861.0,2667.5
" A. & N. Islands","NA","NA","NA","NA",1.6,1.6,14.9,16.9,0.3,0.3,1.3,1.3,"NA","NA","NA","NA","NA",0.0,"NA",0.4,"NA","NA","NA","NA",0.3,0.3,2.6,2.2,0.3,0.3,2.1,2.2,0.15,0.2,0.6,0.7,"NA",0.0,"NA",0.1,0.2,0.2,2.9,3.0,0.271,"NA",2.4,"NA",3.121,2.9,26.8,26.8
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.2,0.2,"NA","NA","NA","NA","NA",0.0,0.3,0.3,"NA","NA",0.1,"NA","NA",0.0,0.4,0.4,"NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1,"NA",0.1,"NA",0.1,0.0,1.1,0.9
" D. & N. Haveli ","NA","NA","NA","NA","NA","NA",1.2,"NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.2,"NA",12.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6,"NA",6.0,"NA",1.8,0.0,19.7,0.0
" Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.0,0.0,0.0
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.3,0.3,"NA","NA","NA","NA","NA",0.0,0.4,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,0.0,0.7,0.7
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.35,"NA",1.2,"NA",0.35,0.0,1.2,0.0
" Puducherry","NA","NA","NA","NA",0.5,0.4,17.1,10.3,"NA",0.0,0.2,0.1,"NA","NA","NA","NA",0.1,0.0,2.6,0.8,"NA","NA","NA","NA",0.4,0.1,6.8,1.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.092,0.0,0.585,0.2,0.137,"NA",0.6,"NA",1.229,0.5,27.885,13.0
"Total",282.9,289.0,1777.1,2890.6,770.4,830.6,26469.4,29780.2,987.6,846.6,9637.8,7463.7,106.3,111.5,880.7,1234.8,219.557,204.7,2571.3,2462.3,74.347,77.6,483.4,497.2,2312.3,2296.9,15026.8,15188.6,95.62,105.5,3913.561,4195.5,91.716,88.7,1386.9,1415.6,125.0,107.3,820.3,743.1,158.892,160.1,1346.585,1424.2,1104.658,1265.0,7201.1,7583.0,6329.29,6383.5,71514.946,74878.8
