-----
{
 "description": "This data provides value of exports of merchandise (Indian produce and manufactures), from India by principal countries of destination from 2000-01 to 2011-12.", 
 "file_name": "VALUE_OF_EXPORTS_OF_MERCHANDISE.xls", 
 "title": "Value Of Exports Of Merchandise From India By Principal Countries Of Destination From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/VALUE_OF_EXPORTS_OF_MERCHANDISE.xls"
}
-----
"Country","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Israel",21576.4,20413.1,30708.7,33268.0,45190.2,53194.407,59850.893,64534.0,65843.1,92894.4,132839.4665,193326.4934
"Italy",59789.6,57541.5,65676.2,79468.8,102712.9,111526.71,167058.754,157481.3,173648.8,160722.5,207019.7389,232826.4781
"Jamaica",417.8,242.2,511.6,416.1,603.4,1144.767,909.211,993.2,1034.2,986.0,1015.0966,1280.5144
"Japan",81979.9,72035.5,90210.1,78544.5,95610.2,109853.939,127279.062,155155.9,138077.1,171427.9,231832.0706,305195.2062
"Jordan",3632.1,3858.2,4927.2,6938.2,5762.3,8189.155,8104.465,14380.2,19603.6,11636.9,22023.0427,39768.5717
"",0.0,0.0,0.0,0.0,0.0,"","","","","","",""
"",0.0,0.0,0.0,0.0,0.0,"","","","","","",""
"Kenya",6438.4,7440.3,9852.8,10544.9,19169.4,25525.487,59490.681,63560.9,61408.8,68924.2,99475.2688,109873.3016
"Kuwait",9096.1,9836.4,12126.1,14662.7,18935.7,22744.764,27658.195,27449.1,36284.1,37103.8,84471.0022,56653.2271
"LaosPeople'sDemocraticRepublic",285.3,150.9,76.3,19.9,119.0,242.273,107.638,154.3,444.5,812.0,594.3508,732.0336
"MalagasyRepublic(Madagascar)",493.2,628.1,708.2,1798.7,1623.1,1888.192,2026.737,2301.3,11153.0,4109.2,3604.6802,5975.9878
"Malaysia",27783.1,36898.9,36266.1,41023.8,48708.5,51439.801,59042.265,103372.9,157803.6,135039.2,176772.4318,191032.4383
"Malawi",849.2,976.4,1491.2,1755.6,2617.6,1931.859,1927.712,2584.8,4090.7,3869.7,4628.6071,7081.5868
"Mauritius",9125.3,7769.3,7954.3,9329.2,11601.3,8829.678,33319.756,43724.6,43983.1,21362.2,38606.0726,67690.7611
"Mayanmar",2408.1,2904.1,3633.2,4119.3,5086.0,4900.952,6298.928,7461.9,10177.7,9847.3,14590.312,26445.0599
"Mexico",9525.9,11324.3,12657.9,12150.7,16560.6,19616.066,23868.358,23820.5,30105.2,28110.8,41565.7137,65824.7546
"Mozambique",1463.6,1472.3,2259.3,3177.1,3653.1,5646.645,8643.156,17948.9,19194.9,16950.5,27588.4492,25468.1144
"Nepal",6434.0,10228.0,16955.6,30757.9,33390.4,38073.881,42147.463,60634.8,71557.7,72513.2,98708.0886,131302.5148
"Netherlands",40206.5,41200.1,50714.0,59236.5,72108.9,109567.192,120766.334,210384.6,288899.6,303009.4,349673.9791,439137.7174
"NewZealand",2890.7,2966.9,3276.3,3950.6,4188.7,6282.384,22767.323,6381.9,8569.7,12128.6,8678.4927,12088.5157
"Nigeria",17572.7,26857.4,21733.4,25985.1,28966.3,38696.468,40803.218,43616.2,70653.1,66812.4,95416.6407,130514.0717
"Norway",2759.0,2589.5,3427.6,3477.9,4664.3,5764.614,8261.766,10630.8,17211.9,10887.3,8159.346,15663.0514
"Oman",6606.7,7105.6,9611.7,11901.0,12026.9,18082.706,28371.913,37735.8,35496.8,49023.0,49421.0974,64144.9138
"Pakistan",8535.4,6867.9,9977.3,13185.2,23411.8,30514.668,61010.876,78273.7,65320.7,74610.3,92551.0566,74483.3727
"Peru",1202.5,1672.5,2404.5,1746.7,3092.2,3730.349,5660.207,11548.7,13932.5,12900.4,18998.0241,27203.5661
"Philippines",9256.2,11817.5,22842.6,14774.8,18522.0,21900.54,26377.312,24907.3,33793.5,35465.0,40046.219,47632.2247
"Poland",3939.1,5165.3,5112.7,6167.0,7921.2,10048.131,13856.853,17996.1,23469.9,19904.2,30303.2678,37688.9182
"Portugal",6701.7,7050.9,7845.7,7806.7,10027.4,11550.336,16563.75,19915.6,19919.6,17688.4,23950.2879,25016.1613
"PuertoRico",247.9,318.2,322.1,1214.6,659.1,852.9,1292.087,1418.6,3043.8,4160.8,2949.7442,4957.2253
"Qatar",2906.7,2337.1,4651.0,5902.1,9409.5,11481.702,14908.174,21655.0,30719.2,25594.3,17091.4435,39493.3371
"SaudiArabia",37595.4,39414.2,45527.5,51617.7,63446.0,50124.819,116871.819,149225.5,229401.4,185523.0,212963.8507,272081.9817
"Seychelles",358.5,273.4,298.9,463.1,477.3,470.344,578.942,2888.9,4135.5,950.4,1229.5177,1667.4708
"Singapore",40070.4,46371.3,68797.8,97639.3,179753.5,240196.527,272450.169,296622.3,377568.8,359483.0,447317.4467,803632.8633
"Somalia",318.1,716.8,964.7,1843.2,2116.6,1755.825,3894.173,4889.3,3088.4,828.2,4062.1269,7109.7628
"SouthAfrica",14192.8,16832.6,23422.2,24783.9,44214.2,67600.034,101641.908,106987.6,89942.9,97512.5,178846.7564,227296.8475
"Spain",30437.2,32297.2,39223.8,46070.2,62426.3,71088.344,84963.358,92250.5,113879.2,96037.6,116871.3309,143687.8561
"SriLanka",29244.6,30088.5,44571.2,60619.1,63496.5,89639.122,101997.16,113742.9,108949.7,102896.1,159623.9937,209514.5801
"Sudan",4467.6,5827.4,5090.1,4934.1,14263.4,13044.992,18240.027,16417.3,22179.4,21820.1,22241.3788,34062.6094
"Sweden",8047.8,7357.5,8531.6,10103.6,10864.4,14450.528,17526.661,21881.8,25796.3,22519.3,28579.344,39527.7849
"Switzerland",19996.3,19510.9,18521.9,20672.1,24302.8,21230.092,20990.359,24759.4,35252.6,27842.5,31414.3814,52814.7617
"Syrian,ArabRepublic",3441.0,4692.9,5866.8,9257.4,11375.9,12249.204,18479.644,27091.1,16665.7,16387.5,22393.5075,25682.6547
"Tanzania,UnitedRepublicof",4659.4,4329.5,5587.7,8077.5,7812.7,10778.396,13059.689,23645.5,42795.9,43696.4,67014.148,76967.5434
"Thailand",24218.4,30195.4,34418.6,38217.2,40500.8,47607.6,65317.088,72787.7,87240.0,82276.2,103462.5659,142535.3488
"TrinidadandTobago",397.0,514.5,1080.6,902.4,1299.5,2950.428,4890.286,5476.4,14369.8,727.0,2869.0162,3946.0088
"Turkey",15241.5,10447.1,17825.2,25886.3,32516.8,44719.782,59729.901,70433.9,63702.9,7277.0,125098.1613,168940.1155
"UnitedArabEmirates",118666.3,118838.1,161034.3,235528.5,330151.2,380388.465,543661.071,629150.3,1102290.8,1133479.2,1538661.7741,1722684.8265
"U.K.",105015.3,103056.1,120814.4,138923.1,165397.1,223992.088,251006.496,269674.8,303445.8,294763.1,332961.208,413240.8859
"U.S.A.",425098.8,406017.5,527303.7,527985.4,618515.8,768280.802,853949.0,833880.7,964584.2,924165.1,1152122.9197,1664743.1297
"Russia(1)",40613.9,38066.9,34070.3,32798.0,28363.6,32458.903,41096.242,37834.7,49582.4,46372.1,77064.7435,85469.0287
"Uruguay",1631.3,1236.9,817.4,894.9,1101.2,1236.457,1663.013,2044.2,2972.9,2287.6,3883.477,6754.9827
"Vietnam,SocialistRepublicof",10320.3,10405.1,16328.2,18860.1,24980.1,30578.646,44457.789,64512.8,79494.8,86739.8,120450.7361,180849.8304
"Yemen,ArabRepublic",7261.1,7045.9,7924.6,9996.9,11071.7,12344.062,53663.79,40966.9,35328.1,34501.8,23516.8427,35039.2499
"ZaireRepublicof",203.3,173.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Zambia",1026.9,1226.4,1498.1,1831.5,2264.7,2944.845,4897.12,5322.5,4905.8,4182.1,5390.5166,10156.1408
"Zimbabwe",688.1,596.1,766.2,1080.4,1053.8,1062.154,1437.532,1284.1,2761.7,2290.3,5140.6453,6193.9814
"TotalExports(1)",2035710.1,2090179.7,2551372.8,2933667.5,3753395.3,4564178.0,5717792.0,6558635.0,8407551.0,8455336.0,11429219.22,14659593.95
