"Year/States","Ayurveda - Hosp. 2010","Ayurveda - Beds 2010","Ayurveda - Hosp. 2011","Ayurveda - Beds 2011","Unani - Hosp. 2010","Unani - Beds 2010","Unani - Hosp. 2011","Unani - Beds 2011","Siddha - Hosp. 2010","Siddha - Beds 2010","Siddha - Hosp. 2011","Siddha - Beds 2011","Yoga - Hosp. 2010","Yoga - Beds 2010","Yoga - Hosp. 2011","Yoga - Beds 2011","Naturopathy - Hosp. 2010","Naturopathy - Beds 2010","Naturopathy - Hosp. 2011","Naturopathy - Beds 2011","Homoeopathy - Hosp. 2010","Homoeopathy - Beds 2010","Homoeopathy - Hosp. 2011","Homoeopathy - Beds 2011","Amchi - Hosp. 2010","Amchi - Beds 2010","Amchi - Hosp. 2011","Amchi - Beds 2011","Total - Hosp. 2010","Total - Beds 2010","Total - Hosp. 2011","Total - Beds 2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Himachal Pradesh",27.0,580.0,27.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,10.0,1.0,"NA",1.0,25.0,"NA","NA",2.0,32.0,2.0,"NA",31.0,647.0,30.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jammu & Kashmir",2.0,155.0,1.0,"NA",2.0,200.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,355.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jharkhand",1.0,160.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,82.0,4.0,"NA","NA","NA","NA","NA",3.0,242.0,5.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Karnataka",133.0,8957.0,133.0,"NA",14.0,462.0,14.0,"NA","NA","NA","NA","NA",3.0,15.0,3.0,"NA",6.0,326.0,6.0,"NA",21.0,697.0,21.0,"NA","NA","NA","NA","NA",177.0,10457.0,177.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kerala ",126.0,4037.0,126.0,"NA","NA","NA","NA","NA",2.0,170.0,2.0,"NA","NA","NA","NA","NA",2.0,40.0,2.0,"NA",32.0,1105.0,30.0,"NA","NA","NA","NA","NA",162.0,5352.0,160.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madhya Pradesh",28.0,1486.0,21.0,"NA",2.0,250.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20.0,995.0,2.0,"NA","NA","NA","NA","NA",50.0,2731.0,23.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maharashtra ",55.0,7040.0,63.0,"NA",5.0,590.0,6.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",45.0,1982.0,46.0,"NA","NA","NA","NA","NA",105.0,9612.0,115.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "
"Manipur","NA","NA","NA","NA",1.0,5.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12.0,213.0,12.0,"NA",4.0,25.0,4.0,"NA","NA","NA","NA","NA",17.0,243.0,17.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meghalaya",4.0,40.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.0,70.0,7.0,"NA","NA","NA","NA","NA",11.0,110.0,10.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizoram",7.0,70.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.0,70.0,8.0,"NA","NA","NA","NA","NA",14.0,140.0,8.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nagaland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.0,10.0,2.0,"NA","NA","NA","NA","NA",2.0,10.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orissa",8.0,718.0,8.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.0,185.0,6.0,"NA","NA","NA","NA","NA",14.0,903.0,14.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Punjab",15.0,1434.0,15.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.0,240.0,"NA","NA","NA","NA","NA","NA",20.0,1674.0,15.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rajasthan",113.0,979.0,118.0,"NA",5.0,40.0,5.0,"NA","NA","NA","NA","NA",1.0,20.0,2.0,"NA",2.0,22.0,1.0,"NA",11.0,242.0,11.0,"NA","NA","NA","NA","NA",132.0,1303.0,137.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sikkim",1.0,10.0,"NA","NA"," "," ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,10.0,0.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tamil Nadu",8.0,680.0,2.0,"NA",1.0,100.0,1.0,"NA",270.0,2201.0,264.0,"NA","NA","NA",1.0,"NA","NA","NA","NA","NA",9.0,460.0,1.0,"NA","NA","NA","NA","NA",288.0,3441.0,269.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tripura",1.0,10.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,20.0,1.0,"NA","NA","NA","NA","NA",2.0,30.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uttar Pradesh ",1774.0,10300.0,1771.0,"NA",210.0,1716.0,204.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.0,400.0,8.0,"NA","NA","NA","NA","NA",1992.0,12416.0,1983.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uttarakhand",7.0,319.0,7.0,"NA",2.0,8.0,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,50.0,1.0,"NA","NA","NA","NA","NA",10.0,377.0,10.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West Bengal",4.0,409.0,4.0,"NA",1.0,100.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.0,630.0,12.0,"NA","NA","NA","NA","NA",17.0,1139.0,17.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A & N Islands",1.0,15.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,15.0,1.0,"NA","NA","NA","NA","NA",2.0,30.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chandigarh ",1.0,103.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,25.0,1.0,"NA","NA","NA","NA","NA",2.0,128.0,2.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Puducherry",1.0,10.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,10.0,1.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGHS & Central Government organizations",24.0,906.0,23.0,"NA",11.0,332.0,9.0,"NA",3.0,205.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",5.0,165.0,5.0,"NA","NA","NA","NA","NA",43.0,1608.0,40.0,"NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
