-----
{
 "description": "Data provides all India (from 2001 to 2010) and state-wise (2008-09 and 2009-10) details on the number of registered newspapers and periodicals.", 
 "file_name": "NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_STATES_AND_PERIODICITY.xls", 
 "title": "Number of Registered Newspapers And Periodicals By States And Periodicity ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_REGISTERED_NEWSPAPERS_AND_PERIODICALS_BY_STATES_AND_PERIODICITY.xls"
}
-----
"State/U. T.","Dailies-2008-09","Dailies-2009-10","Bi/Tri Weekly-2008-09","Bi/Tri Weekly-2009-10","Weekly-2008-09","Weekly-2009-10","Fortnightly-2008-09","Fortnightly-2009-10","Monthly-2008-09","Monthly-2009-10","Quarterly-2008-09","Quarterly-2009-10","Annual-2008-09","Annual-2009-10","Others-2008-09","Others-2009-10","Total-2008-09","Total-2009-10"
" Karnataka",669.0,708.0,12.0,13.0,813.0,861.0,574.0,625.0,1452.0,1567.0,169.0,181.0,10.0,10.0,99.0,106.0,3798.0,7200.0
" Kerala",274.0,293.0,9.0,9.0,239.0,244.0,226.0,230.0,1340.0,1414.0,161.0,173.0,37.0,39.0,134.0,139.0,2420.0,2542.0
" Madhya Pradesh",645.0,684.0,8.0,8.0,2704.0,2780.0,262.0,279.0,1179.0,1336.0,165.0,172.0,9.0,12.0,111.0,116.0,5083.0,9825.0
" Maharashtra",872.0,930.0,51.0,53.0,3458.0,3725.0,760.0,790.0,2511.0,2636.0,647.0,661.0,264.0,274.0,365.0,375.0,8928.0,9445.0
" Manipur",56.0,59.0,3.0,3.0,19.0,19.0,12.0,12.0,42.0,44.0,9.0,9.0,5.0,5.0,11.0,11.0,157.0,263.0
" Meghalaya",5.0,6.0,4.0,4.0,34.0,34.0,7.0,7.0,18.0,18.0,5.0,5.0,2.0,2.0,4.0,5.0,79.0,155.0
" Mizoram",45.0,46.0,14.0,14.0,38.0,38.0,7.0,7.0,26.0,37.0,6.0,6.0,"NA","NA",4.0,4.0,140.0,247.0
" Nagaland",7.0,7.0,0.0,"NA",9.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,"NA","NA","NA","NA",20.0,34.0
" Orissa",148.0,158.0,4.0,4.0,304.0,322.0,179.0,192.0,487.0,538.0,184.0,188.0,15.0,15.0,62.0,66.0,1383.0,2718.0
" Punjab",160.0,186.0,13.0,13.0,526.0,540.0,186.0,192.0,461.0,478.0,63.0,63.0,10.0,10.0,48.0,48.0,1467.0,2837.0
" Rajasthan",532.0,579.0,22.0,22.0,1241.0,1281.0,1664.0,1743.0,762.0,826.0,164.0,170.0,19.0,20.0,78.0,79.0,4482.0,8670.0
" Sikkim",10.0,11.0,2.0,2.0,70.0,71.0,1.0,1.0,1.0,1.0,2.0,2.0,"NA","NA",3.0,3.0,89.0,170.0
" Tamil Nadu",440.0,446.0,54.0,54.0,583.0,608.0,468.0,489.0,2289.0,2452.0,214.0,220.0,30.0,35.0,135.0,145.0,4213.0,8222.0
" Tripura",26.0,26.0,2.0,2.0,64.0,64.0,10.0,11.0,13.0,14.0,4.0,4.0,"NA","NA",2.0,2.0,121.0,218.0
" Uttar Pradesh",1473.0,1748.0,24.0,24.0,6203.0,6579.0,1142.0,1184.0,1924.0,2055.0,529.0,556.0,29.0,33.0,217.0,232.0,11541.0,22479.0
" Uttarakhand",180.0,226.0,7.0,7.0,882.0,1038.0,160.0,185.0,244.0,265.0,63.0,68.0,10.0,10.0,36.0,39.0,1582.0,3240.0
" West Bengal",208.0,213.0,9.0,9.0,848.0,862.0,849.0,877.0,1329.0,1367.0,820.0,839.0,53.0,55.0,369.0,384.0,4485.0,8883.0
" A. & N. Islands",10.0,10.0,"NA","NA",23.0,23.0,17.0,18.0,14.0,15.0,2.0,2.0,"NA","NA",2.0,2.0,68.0,128.0
" Chandigarh",51.0,55.0,1.0,1.0,103.0,109.0,37.0,37.0,180.0,184.0,49.0,51.0,4.0,4.0,26.0,27.0,451.0,868.0
" D. & N. Haveli",1.0,4.0,"NA","NA",1.0,2.0,5.0,7.0,1.0,1.0,"NA","NA","NA","NA","NA","NA",8.0,21.0
" Daman & Diu",4.0,5.0,"NA","NA",2.0,2.0,2.0,2.0,"NA","NA","NA","NA","NA","NA","NA","NA",8.0,13.0
" Delhi",617.0,677.0,57.0,58.0,1915.0,1964.0,1326.0,1354.0,4281.0,4401.0,1033.0,1057.0,117.0,121.0,615.0,632.0,9961.0,19608.0
" Lakshadweep","NA","NA","NA","NA",1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,"NA","NA","NA","NA",5.0,10.0
" Puducherry",10.0,10.0,1.0,1.0,16.0,17.0,7.0,11.0,42.0,46.0,20.0,20.0,6.0,1.0,1.0,6.0,103.0,205.0
