-----
{
 "description": "The table provide annual survey of industries (Factory Sector) on selected characteristics on all India basis by industry group for 2008-09 and 2009-10.", 
 "file_name": "ANNUAL_SURVEY_OF_INDUSTRIES_FACTORY_SECTOR_II.xls", 
 "title": "All India - Annual Survey of Industries (Factory Sector) by Industry Group ", 
 "url": "http://data.gov.in/sites/default/files/ANNUAL_SURVEY_OF_INDUSTRIES_FACTORY_SECTOR_II.xls"
}
-----
"Industry Code","Industry Group","Industry description","No of factories 2008-09","Productive capital 2008-09","No. of Employees 2008-09","Total 
output 2008-09","Net value added 2008-09","No of factories 2009-10","Productive capital 2009-10","No. of Employees 2009-10","Total 
output 2009-10","Net value added 2009-10"
2310.0,231.0,"Manufacture of glass and glass products",622.0,11190.15,58548.0,9276.34,1460.68,596.0,8052.0,56113.0,8963.0,1908.0
2391.0,"NA","Manufacture of refractory products",820.0,4692.16,56565.0,7370.96,1600.77,904.0,7072.0,58790.0,10870.0,2984.0
2392.0,"NA","Manufacture of clay building materials",5888.0,3877.84,271565.0,5331.45,1499.11,6237.0,3293.0,298976.0,4845.0,1690.0
2393.0,"NA","Manufacture of other porcelain and ceramic products",629.0,4318.72,52290.0,6820.23,1376.76,698.0,4248.0,52995.0,7909.0,1750.0
2394.0,"NA","Manufacture of cement, lime and plaster",970.0,55194.15,126930.0,65101.32,23874.88,984.0,65352.0,118668.0,66180.0,24218.0
2395.0,"NA","Manufacture of articles of concrete, cement and plaster",1812.0,3287.61,73015.0,8774.91,1420.2,1928.0,6111.0,82148.0,13143.0,3432.0
2396.0,"NA","Cutting, shaping and finishing of stone",5187.0,6038.78,105165.0,11253.67,3008.77,5416.0,6360.0,96936.0,9251.0,1927.0
2399.0,"NA","Manufacture of other non-metallic mineral products n.e.c.",659.0,3860.7,35707.0,7473.84,1961.2,707.0,3760.0,35043.0,6558.0,1809.0
"NA",239.0,"Manufacture of non-metallic mineral products n.e.c.",15965.0,81269.96,721237.0,112126.38,34741.69,16874.0,96196.0,743556.0,118756.0,37810.0
2410.0,241.0,"Manufacture of basic iron and steel",4167.0,203542.58,600966.0,360828.73,52394.21,4575.0,254292.0,600029.0,396952.0,60843.0
2420.0,242.0,"Manufacture of basic precious and other non-ferrous metals",1144.0,38018.25,86620.0,72840.8,12815.55,1243.0,58429.0,87839.0,99348.0,7971.0
2431.0,"NA","Casting of iron and steel",2923.0,19035.74,187597.0,48334.18,6244.5,2690.0,20442.0,184757.0,41039.0,6486.0
2432.0,"NA","Casting of non-ferrous metals",422.0,2112.68,23371.0,3565.37,408.47,412.0,1993.0,21848.0,3717.0,701.0
"NA",243.0,"Casting of metals",3345.0,21148.42,210968.0,51899.55,6652.97,3102.0,22435.0,206605.0,44756.0,7187.0
2511.0,"NA","Manufacture of structural metal products",1811.0,13000.02,138393.0,35173.72,4979.56,1822.0,16023.0,132224.0,33350.0,6075.0
2512.0,"NA","Manufacture of tanks, reservoirs and containers of metal",826.0,2934.14,36279.0,6700.12,1035.15,927.0,3859.0,55514.0,10293.0,1655.0
2513.0,"NA","Manufacture of steam generators, except central heating hot water boilers",357.0,1523.6,48382.0,13324.35,4324.8,297.0,2501.0,53178.0,17131.0,5734.0
"NA",251.0,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2994.0,17457.76,223054.0,55198.19,10339.51,3046.0,22383.0,240916.0,60774.0,13664.0
2520.0,252.0,"Manufacture of weapons and ammunition",40.0,144.72,2074.0,290.83,65.09,75.0,309.0,3798.0,570.0,156.0
2591.0,"NA","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",699.0,7191.63,49443.0,12600.67,1897.05,917.0,6973.0,53271.0,9458.0,1161.0
2592.0,"NA","Machining; treatment and coating of metals",1087.0,1635.77,32252.0,3782.69,693.1,1404.0,2391.0,33576.0,4419.0,897.0
2593.0,"NA","Manufacture of cutlery, hand tools and general hardware",1083.0,4036.5,53801.0,7110.53,1412.17,1360.0,4145.0,61250.0,6869.0,3148.0
2599.0,"NA","Manufacture of other fabricated metal products n.e.c.",3870.0,7720.34,147432.0,21114.51,3357.07,4052.0,11512.0,166735.0,23680.0,3864.0
"NA",259.0,"Manufacture of other fabricated metal products; metalworking service activities",6739.0,20584.24,282928.0,44608.4,7359.39,7733.0,25021.0,314832.0,47426.0,9070.0
2610.0,261.0,"Manufacture of electronic components",758.0,6787.9,70487.0,15072.28,3041.75,702.0,10663.0,86139.0,20726.0,4348.0
2620.0,262.0,"Manufacture of computers and peripheral equipment",158.0,4295.05,19670.0,11198.44,1387.82,128.0,12156.0,21895.0,13464.0,1986.0
2630.0,263.0,"Manufacture of communication equipment",251.0,10309.38,38384.0,23254.11,6464.38,212.0,13834.0,85533.0,25414.0,3938.0
2640.0,264.0,"Manufacture of consumer electronics",245.0,7223.42,26988.0,22451.71,2357.34,234.0,13330.0,30821.0,28551.0,3419.0
2651.0,"NA","Treatment and coating of metals; general mechanical engineering on a fee or contract basis",413.0,2542.67,35614.0,7153.65,1994.87,342.0,2367.0,167076.0,6183.0,1950.0
2652.0,"NA","Manufacture of cutlery, hand tools and general hardware",129.0,476.21,10086.0,1222.71,577.86,125.0,682.0,10320.0,2875.0,1061.0
"NA",265.0,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",542.0,3018.88,45700.0,8376.36,2572.73,467.0,3049.0,177396.0,9058.0,3011.0
2660.0,266.0,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",69.0,473.84,3360.0,932.55,208.22,65.0,1315.0,5224.0,2212.0,680.0
2670.0,267.0,"Manufacture of optical instruments and equipment",61.0,374.9,3574.0,455.41,159.12,64.0,338.0,2662.0,362.0,130.0
2680.0,268.0,"Manufacture of magnetic and optical media",20.0,59.83,1170.0,208.44,46.24,5.0,730.0,1795.0,1106.0,606.0
2710.0,271.0,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2078.0,18751.33,164615.0,64807.27,12774.93,2245.0,24804.0,182370.0,65790.0,13282.0
2720.0,272.0,"Manufacture of batteries and accumulators",307.0,5327.3,30103.0,9945.78,2106.02,337.0,17414.0,50307.0,15967.0,4071.0
2731.0,"NA","Manufacture of fiber optic cables for data transmission or live transmission of images",115.0,1244.49,9743.0,3458.26,200.79,112.0,2936.0,17201.0,7251.0,657.0
2732.0,"NA","Manufacture of other electronic and electric wires and cables",585.0,5891.3,37167.0,19489.22,1926.23,579.0,6654.0,42846.0,20955.0,2455.0
2733.0,"NA","Manufacture of wiring devices",312.0,2342.94,21049.0,5444.55,1501.73,363.0,2731.0,28216.0,7666.0,2090.0
"NA",273.0,"Manufacture of wiring and wiring devices",1012.0,9478.73,67959.0,28392.03,3628.75,1054.0,12321.0,88263.0,35872.0,5202.0
2740.0,274.0,"Manufacture of electric lighting equipment",466.0,2977.53,40959.0,6555.09,1154.22,383.0,3395.0,38773.0,6699.0,1314.0
2750.0,275.0,"Manufacture of domestic appliances",658.0,4223.03,37473.0,11081.91,2195.29,633.0,4210.0,43783.0,19323.0,3369.0
2790.0,279.0,"Manufacture of other electrical equipment",730.0,4574.99,40226.0,10201.63,1929.81,835.0,3357.0,40275.0,8910.0,1268.0
2811.0,"NA","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",402.0,4729.03,159187.0,14280.54,3173.95,456.0,4593.0,57871.0,32009.0,10559.0
2812.0,"NA","Manufacture of fluid power equipment",433.0,3195.76,30044.0,7712.69,2220.9,447.0,3324.0,29467.0,7370.0,1497.0
2813.0,"NA","Manufacture of other pumps, compressors, taps and valves",869.0,5520.85,60695.0,14796.73,2997.94,842.0,5080.0,55394.0,13651.0,3450.0
2814.0,"NA","Manufacture of bearings, gears, gearing and driving elements",610.0,6627.12,54019.0,11413.89,2293.4,622.0,7950.0,51371.0,11942.0,2899.0
2815.0,"NA","Manufacture of ovens, furnaces and furnace burners",98.0,938.46,6446.0,2106.33,537.26,120.0,1634.0,8534.0,2757.0,531.0
2816.0,"NA","Manufacture of lifting and handling equipment",310.0,2207.66,21197.0,7534.62,780.07,379.0,2957.0,29591.0,9754.0,1811.0
2817.0,"NA","Manufacture of office machinery and equipment",25.0,97.27,979.0,242.45,58.6,54.0,43.0,1249.0,230.0,43.0
2818.0,"NA","Manufacture of power-driven hand tools",81.0,146.43,3035.0,573.22,104.77,62.0,71.0,1767.0,169.0,45.0
2819.0,"NA","Manufacture of other general-purpose machinery",1645.0,6812.86,114325.0,32348.37,12726.91,1499.0,6413.0,79508.0,18234.0,3541.0
"NA",281.0,"Manufacture of general purpose machinery",4473.0,30275.44,449927.0,91008.84,24893.8,4481.0,32065.0,314752.0,96116.0,24376.0
2821.0,"NA","Manufacture of agricultural and forestry machinery",735.0,6749.05,51901.0,19832.97,3139.78,797.0,6835.0,57076.0,24528.0,4581.0
2822.0,"NA","Manufacture of metal-forming machinery and machine tools",718.0,2928.28,34637.0,5923.02,1211.63,801.0,2492.0,31445.0,4489.0,761.0
2823.0,"NA","Manufacture of machinery for metallurgy",148.0,915.71,7754.0,1940.18,155.11,112.0,568.0,5353.0,1092.0,205.0
2824.0,"NA","Manufacture of machinery for mining, quarrying and construction",434.0,5798.25,34757.0,11949.3,2412.14,417.0,4856.0,35822.0,13043.0,2894.0
2825.0,"NA","Manufacture of machinery for food, beverage and tobacco processing",486.0,2010.35,27811.0,7635.35,1844.92,473.0,2103.0,25367.0,5688.0,1130.0
2826.0,"NA","Manufacture of machinery for textile, apparel and leather production",726.0,2759.56,32442.0,4376.54,848.16,712.0,2124.0,28619.0,5422.0,1198.0
2829.0,"NA","Manufacture of other special-purpose machinery",1196.0,6200.43,74944.0,27516.73,4421.68,1217.0,10918.0,63732.0,19469.0,5048.0
"NA",282.0,"Manufacture of special-purpose machinery",4443.0,27361.63,264246.0,79174.09,14033.42,4529.0,29896.0,247414.0,73731.0,15817.0
2910.0,291.0,"Manufacture of motor vehicles",154.0,38899.28,112757.0,95418.79,9592.02,136.0,30951.0,113058.0,124909.0,14481.0
2920.0,292.0,"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers",481.0,4259.93,39584.0,4526.14,882.85,438.0,1897.0,43497.0,4963.0,883.0
2930.0,293.0,"Manufacture of parts and accessories for motor vehicles",3026.0,31832.41,357401.0,75012.7,10792.93,3612.0,49021.0,463033.0,105352.0,18669.0
3011.0,"NA","Building of ships and floating structures",73.0,11000.54,22569.0,7538.86,2638.28,75.0,20916.0,27871.0,8548.0,3187.0
3012.0,"NA","Building of pleasure and sporting boats",10.0,-12.7,3540.0,851.19,249.4,5.0,8.0,131.0,8.0,2.0
"NA",301.0,"Building of ships and boats",83.0,10987.84,26109.0,8390.05,2887.68,80.0,20924.0,28002.0,8556.0,3189.0
3020.0,302.0,"Manufacture of railway locomotives and rolling stock",298.0,1992.51,26676.0,5364.26,1031.82,297.0,2272.0,28077.0,7763.0,2223.0
3030.0,303.0,"Manufacture of air and spacecraft and related machinery",54.0,641.33,6210.0,1147.62,327.54,57.0,517.0,3171.0,320.0,112.0
3040.0,304.0,"Manufacture of weapons and ammunition",40.0,51.6,1238.0,42.15,9.65,35.0,43.0,1005.0,36.0,8.0
3091.0,"NA","Manufacture of motorcycles",747.0,7154.31,125889.0,45436.69,7822.48,684.0,6592.0,130147.0,56917.0,11117.0
3092.0,"NA","Manufacture of bicycles and invalid carriages",591.0,1157.86,29674.0,6203.59,626.01,607.0,2014.0,29990.0,6992.0,752.0
3099.0,"NA","Manufacture of other transport equipment n.e.c.",38.0,112.96,3337.0,440.78,51.0,44.0,212.0,1747.0,407.0,58.0
"NA",309.0,"Manufacture of transport equipment n.e.c.",1376.0,8425.13,158900.0,52081.06,8499.49,1335.0,8818.0,161884.0,64316.0,11927.0
3100.0,310.0,"Manufacture of furniture",948.0,2309.38,40371.0,6091.52,1063.87,1071.0,3158.0,50565.0,9222.0,1592.0
3211.0,"NA","Manufacture of jewellery and related articles",975.0,9247.25,133446.0,57096.45,2491.49,761.0,-9611.0,115451.0,153584.0,4803.0
3212.0,"NA","Manufacture of imitation jewellery and related articles",62.0,134.25,2586.0,140.63,40.88,64.0,126.0,3318.0,270.0,57.0
"NA",321.0,"Manufacture of jewellery, bijouterie and related articles",1037.0,9381.5,136032.0,57237.08,2532.37,825.0,-9485.0,118769.0,153854.0,4860.0
3220.0,322.0,"Manufacture of musical instruments",21.0,22.57,527.0,38.02,8.15,21.0,128.0,1051.0,145.0,31.0
3230.0,323.0,"Manufacture of sports goods",115.0,340.29,7621.0,763.31,148.86,142.0,280.0,7241.0,746.0,149.0
3240.0,324.0,"Manufacture of games and toys",131.0,14.45,4036.0,493.59,73.66,91.0,-89.0,2936.0,360.0,103.0
3250.0,325.0,"Manufacture of medical and dental instruments and supplies",349.0,2268.84,26249.0,3677.83,1291.6,284.0,2379.0,25579.0,3596.0,1138.0
3290.0,329.0,"Other manufacturing n.e.c.",761.0,3826.15,51370.0,7301.16,1236.51,672.0,3227.0,48232.0,5607.0,1199.0
"3311","NA","Repair of fabricated metal products",121.0,91.59,2870.0,279.91,52.1,88.0,796.0,5238.0,1824.0,377.0
"3312","NA","Repair of machinery",238.0,377.15,11550.0,1108.77,389.37,156.0,403.0,7448.0,1265.0,463.0
"3313","NA","Repair of electronic and optical equipment",14.0,29.69,303.0,38.21,11.64,20.0,20.0,353.0,37.0,10.0
"3314","NA","Repair of electrical equipment",134.0,518.3,3545.0,1068.89,126.44,39.0,260.0,1133.0,212.0,34.0
"3315","NA","Repair of transport equipment, except motor vehicles",160.0,1158.43,6208.0,3999.27,1238.02,104.0,1439.0,11046.0,4029.0,410.0
"3319","NA","Repair of other equipment",22.0,12.0,873.0,63.57,23.87,37.0,70.0,1765.0,188.0,30.0
"NA",331.0,"Repair of fabricated metal products, machinery and equipment",689.0,2187.16,25349.0,6558.62,1841.44,444.0,2988.0,26983.0,7555.0,1324.0
"3320",332.0,"Installation of industrial machinery and equipment",110.0,519.77,8562.0,1852.51,401.22,50.0,330.0,6970.0,1441.0,275.0
"3811","NA","Collection of non-hazardous waste",4.0,-21.03,542.0,112.85,17.74,3.0,101.0,375.0,100.0,24.0
"3812","NA","Collection of hazardous waste",6.0,79.57,361.0,55.64,20.4,36.0,188.0,0.0,87.0,23.0
"NA",381.0,"Waste collection",10.0,58.54,903.0,168.49,38.14,39.0,289.0,375.0,187.0,48.0
"3821","NA","Treatment and disposal of non-hazardous waste",20.0,155.9,595.0,29.07,6.49,18.0,121.0,1534.0,59.0,12.0
3822.0,"NA","Treatment and disposal of hazardous waste",14.0,116.44,447.0,39.32,3.6,124.0,72.0,1044.0,2299.0,44.0
"NA",382.0,"Waste treatment and disposal",34.0,272.34,1042.0,68.39,10.09,142.0,193.0,2578.0,2358.0,56.0
3830.0,383.0,"Materials recovery",146.0,343.62,5704.0,1916.17,227.6,52.0,385.0,6083.0,713.0,166.0
"5811","NA","Book publishing",63.0,384.3,3933.0,829.24,129.65,5.0,1.0,3842.0,2.0,1.0
5813.0,"NA","Publishing of newspapers, journals and periodicals",112.0,3303.19,15938.0,3995.36,917.07,191.0,3781.0,22021.0,3401.0,929.0
5819.0,"NA","Other publishing activities",30.0,31.87,514.0,25.03,5.68,34.0,27.0,527.0,40.0,11.0
"NA",581.0,"Publishing of books, periodicals and other publishing activities",205.0,3719.36,20385.0,4849.63,1052.4,230.0,3809.0,26390.0,3443.0,941.0
"Other","NA","Others",6613.0,73249.97,268962.0,117867.94,17213.4,6875.0,132688.0,283788.0,138429.0,24044.0
