-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Vegetables such as Brinjal, Cabbage, C.Flower, Okra, Peas, Tomato, Onion, Potato, Sweet Potato, Tapioca and Others.", 
 "file_name": "AREA_AND_PRODUCTION_OF_VEGETABLES.xls", 
 "title": "All India and State Wise Area and Production of Vegetables ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_VEGETABLES.xls"
}
-----
"State/Union Territory","Brinjal 2009-10 Area (in '000 Hectare)","Brinjal 2010-11 Area (in '000 Hectare)","Brinjal 2009-10 Production (in '000 Tonne)","Brinjal 2010-11 Production (in '000 Tonne)","Cabbage 2009-10 Area (in '000 Hectare)","Cabbage 2010-11 Area (in '000 Hectare)","Cabbage 2009-10 Production (in '000 Tonne)","Cabbage 2010-11 Production (in '000 Tonne)","C.Flower 2009-10 Area (in '000 Hectare)","C.Flower 2010-11 Area (in '000 Hectare)","C.Flower 2009-10 Production (in '000 Tonne)","C.Flower 2010-11 Production (in '000 Tonne)","Okra 2009-10 Area (in '000 Hectare)","Okra 2010-11 Area (in '000 Hectare)","Okra 2009-10 Production (in '000 Tonne)","Okra 2010-11 Production (in '000 Tonne)","Peas 2009-10 Area (in '000 Hectare)","Peas 2010-11 Area (in '000 Hectare)","Peas 2009-10 Production (in '000 Tonne)","Peas 2010-11 Production (in '000 Tonne)","Tomato 2009-10 Area (in '000 Hectare)","Tomato 2010-11 Area (in '000 Hectare)","Tomato 2009-10 Production (in '000 Tonne)","Tomato 2010-11 Production (in '000 Tonne)","Onion 2009-10 Area (in '000 Hectare)","Onion 2010-11 Area (in '000 Hectare)","Onion 2009-10 Production (in '000 Tonne)","Onion 2010-11 Production (in '000 Tonne)","Potato 2009-10 Area (in '000 Hectare)","Potato 2010-11 Area (in '000 Hectare)","Potato 2009-10 Production (in '000 Tonne)","Potato 2010-11 Production (in '000 Tonne)","Sweet Potato 2009-10 Area (in '000 Hectare)","Sweet Potato 2010-11 Area (in '000 Hectare)","Sweet Potato 2009-10 Production (in '000 Tonne)","Sweet Potato 2010-11 Production (in '000 Tonne)","Tapioca 2009-10 Area (in '000 Hectare)","Tapioca 2010-11 Area (in '000 Hectare)","Tapioca 2009-10 Production (in '000 Tonne)","Tapioca 2010-11 Production (in '000 Tonne)","Others 2009-10 Area (in '000 Hectare)","Others 2010-11 Area (in '000 Hectare)","Others 2009-10 Production (in '000 Tonne)","Others 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Jharkhand",22.675,16.4,398.3,212.6,26.8,27.0,429.3,451.7,20.6,22.2,329.8,355.4,29.0,30.0,406.0,421.7,20.5287,21.3,287.0,329.1,21.8,22.3,436.2,401.6,12.0,14.6,240.0,305.0,38.2,43.2,573.1,655.5,"NA","NA","NA","NA","NA","NA","NA","NA",20.4,"NA",369.5,"NA",212.1037,197.0,3469.2,3132.6
" Karnataka",15.7,14.2,372.7,354.5,8.9,9.4,176.2,187.2,5.0,4.5,89.5,77.4,8.6,8.6,71.4,71.4,1.6,1.2,18.1,15.4,48.3,51.2,1580.0,1756.7,141.3,190.5,2266.2,2592.2,81.1,40.0,460.3,400.8,2.4,2.6,30.9,33.5,1.0,0.9,13.1,12.3,127.3,"NA",2003.8,"NA",441.2,323.1,7082.2,5501.4
" Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.3,1.0,7.9,0.0,0.5,0.3,5.9,4.9,74.9,72.3,2525.4,2409.0,75.9,"NA",978.8,"NA",151.6,73.6,3518.1,2413.9
" Madhya Pradesh ",20.5,23.4,246.0,281.0,7.9,9.0,157.3,179.5,10.7,12.2,171.5,195.9,8.8,10.1,52.8,60.3,20.0,22.8,220.0,251.3,24.3,27.8,291.6,346.9,57.3,58.3,952.3,1021.5,60.8,62.0,608.4,743.0,4.5,5.1,26.0,29.7,"NA","NA","NA","NA",35.9,"NA",386.7,"NA",250.7,230.7,3112.6,3109.1
" Maharashtra",30.0,35.0,495.0,490.0,17.0,18.0,442.0,360.0,10.1,12.0,158.6,180.0,27.0,19.0,175.5,224.0,7.0,8.0,32.2,35.0,50.0,52.0,1112.5,738.0,200.0,415.0,3146.0,4905.0,18.8,18.0,197.9,318.0,"NA","NA","NA","NA","NA","NA","NA","NA",91.9,"NA",412.9,"NA",451.8,577.0,6172.6,7250.0
" Manipur ","NA","NA","NA","NA",5.6,5.8,72.8,74.7,2.3,2.4,22.9,23.8,"NA","NA","NA","NA",4.5,4.7,44.7,46.5,2.2,2.3,27.2,28.6,"NA","NA","NA","NA",1.7,1.7,15.2,15.2,"NA","NA","NA","NA","NA","NA","NA","NA",3.7,"NA",39.0,"NA",19.9,16.9,221.8,188.8
" Meghalaya ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20.3,17.7,221.7,162.4,5.5,5.5,19.2,19.2,4.9,4.9,26.4,26.4,13.7,"NA",148.5,"NA",44.4,28.1,415.8,208.0
" Mizoram","NA",2.0,"NA",12.9,2.4,2.6,44.4,33.6,"NA",0.4,"NA",3.7,1.3,2.8,8.4,18.7,"NA",0.5,"NA",2.0,0.6,0.7,6.7,6.2,"NA",0.1,"NA",0.7,1.5,0.2,20.9,2.3,"NA",0.1,"NA",0.7,"NA",0.1,"NA",0.7,4.7,"NA",98.7,"NA",10.4,9.5,179.1,81.5
" Nagaland ",0.1,0.1,2.2,2.2,0.3,0.3,3.0,3.0,0.1,0.1,0.2,0.2,0.1,0.3,0.2,1.2,0.1,0.1,1.0,1.0,0.7,0.7,4.0,4.0,"NA","NA","NA","NA",1.5,1.5,10.0,10.0,0.1,0.1,0.4,0.4,1.0,1.0,6.0,6.0,6.5,"NA",51.4,"NA",10.5,4.2,78.3,28.0
" Orissa",132.4,133.2,2135.2,2204.8,35.8,41.2,999.9,1152.1,46.5,45.1,675.4,677.3,73.9,70.0,651.8,651.8,5.1,5.9,45.2,52.4,102.9,96.6,1394.7,1367.2,32.1,34.8,298.8,385.9,13.1,14.0,178.8,191.4,50.5,44.1,438.8,410.2,"NA","NA","NA","NA",201.9,"NA",2144.9,"NA",694.2,484.9,8963.6,7093.1
" Punjab",3.2,3.2,48.5,68.9,4.3,4.4,97.1,76.8,8.1,8.7,191.2,154.7,2.6,2.6,20.0,27.5,19.1,19.7,115.5,200.6,6.2,6.3,151.0,154.5,8.1,8.2,175.1,182.3,83.1,83.6,2116.5,2088.4,"NA","NA","NA","NA","NA","NA","NA","NA",48.6,"NA",607.7,"NA",183.3,136.7,3522.5,2953.7
" Rajasthan",5.6,6.3,21.9,30.9,"NA",1.0,"NA",8.5,"NA",8.4,"NA",39.2,5.1,4.3,12.8,12.4,12.5,3.6,24.4,4.1,13.5,16.9,37.5,67.5,45.0,49.0,742.5,494.2,8.5,10.5,96.4,75.7,1.2,1.0,2.6,2.8,"NA","NA","NA","NA",40.5,"NA",133.8,"NA",131.9,101.0,1071.9,735.3
" Sikkim",0.3,0.3,1.6,1.6,1.2,1.2,7.0,6.9,0.8,0.7,3.9,3.9,1.0,1.1,6.5,7.2,1.8,2.0,7.7,8.6,0.6,0.9,4.1,8.1,0.3,0.3,1.7,1.6,9.1,9.4,44.3,45.7,"NA","NA","NA","NA","NA","NA","NA","NA",13.7,"NA",70.9,"NA",28.7,15.9,147.7,83.6
" Tamil Nadu",11.9,12.4,188.4,203.5,1.3,1.4,72.8,78.6,0.7,0.7,12.3,13.3,7.1,5.7,67.1,46.8,"NA","NA","NA","NA",26.1,27.2,519.1,580.6,35.3,33.8,339.7,338.9,4.5,4.7,89.9,97.1,0.8,0.8,11.5,12.4,129.4,134.6,5113.6,5522.7,46.5,"NA",1213.3,"NA",263.7,221.3,7627.7,6893.9
" Tripura",2.9,3.2,38.9,43.9,1.9,1.9,42.6,45.6,1.7,1.8,27.6,33.8,1.5,1.6,11.9,12.5,"NA","NA","NA","NA",1.3,1.4,29.6,30.2,"NA","NA","NA","NA",5.8,6.2,99.4,109.8,"NA","NA","NA","NA","NA","NA","NA","NA",17.4,"NA",197.0,"NA",32.5,16.1,446.9,275.8
" Uttarakhand",2.1,2.2,24.6,25.9,5.5,5.6,68.1,70.5,2.6,2.6,34.6,34.0,3.0,3.3,24.6,27.1,10.8,11.2,71.0,86.9,7.9,8.8,95.6,97.1,3.6,3.8,40.5,38.0,24.3,24.3,432.2,424.3,"NA","NA","NA","NA","NA","NA","NA","NA",22.8,"NA",206.0,"NA",82.6,61.8,997.3,803.8
" Uttar Pradesh",3.0,3.0,90.0,92.1,1.3,1.6,38.7,49.5,8.8,9.3,180.9,188.5,11.6,11.1,131.2,128.8,159.0,159.2,1465.8,1532.4,6.4,6.7,252.9,248.6,24.3,23.2,320.3,368.6,540.8,556.5,13447.3,13576.6,16.8,16.8,227.9,206.6,"NA","NA","NA","NA",248.3,"NA",6280.0,"NA",1020.1,787.4,22435.7,16391.7
" West Bengal ",156.8,158.4,2797.3,2870.6,74.3,75.3,2059.0,2087.8,69.2,70.0,1754.1,1777.2,73.1,74.0,839.3,862.1,21.1,21.4,125.6,129.4,53.5,54.1,1050.0,1063.7,21.0,21.3,290.0,298.0,370.0,406.3,8880.0,13391.2,22.5,22.9,231.1,235.7,"NA","NA","NA","NA",441.3,"NA",3880.1,"NA",1302.7,903.7,21906.5,22715.7
" A. & N. Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.2,"NA",41.5,"NA",5.2,0.0,41.5,0.0
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1,"NA",1.7,"NA",0.1,0.0,1.7,0.0
" D. & N. Haveli ",0.5,0.5,2.2,2.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4,0.4,1.8,1.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.17,"NA",0.48,"NA",0.97,0.9,4.48,4.0
" Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.058,"NA","NA",0.0,0.058,0.0
" Delhi",1.6,1.6,34.0,30.7,"NA","NA","NA","NA",6.2,5.1,128.4,94.8,2.2,1.6,29.9,22.7,0.4,0.8,6.0,11.1,1.7,1.6,35.0,31.0,1.2,1.5,23.5,27.3,1.5,0.8,34.2,18.4,"NA","NA","NA","NA","NA","NA","NA","NA",21.258,"NA",326.38,"NA",36.058,13.0,617.38,236.0
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.445,"NA",14.12,"NA",0.445,0.0,14.12,0.0
" Puducherry",0.3,0.2,6.0,1.5,"NA","NA","NA","NA","NA","NA","NA","NA",0.3,0.1,2.7,0.6,"NA","NA","NA","NA",0.1,0.0,0.7,0.1,"NA",0.1,0.3,0.4,"NA","NA","NA","NA","NA","NA","NA","NA",0.612,0.2,25.005,4.0,3.203,"NA",46.26,"NA",4.415,0.6,80.965,6.6
"Others","NA",147.5,"NA",2964.6,"NA",98.4,"NA",1769.5,"NA",85.2,"NA",1471.0,"NA",148.9,"NA",2123.2,"NA",34.3,"NA",166.2,"NA",359.9,"NA",7069.9,"NA",108.9,"NA",1916.5,"NA",409.9,"NA",6650.6,"NA",10.2,"NA",53.8,"NA",7.4,"NA",94.9,"NA","NA","NA","NA","NA",1410.6,"NA",24280.2
"Total",612.675,680.0,10561.8,11895.8,331.1,368.8,7281.7,7948.9,347.995,368.7,6569.0,6744.9,452.7,498.3,4803.2,5784.0,365.1287,369.8,3029.4,3517.4,634.4,864.9,12433.1,16526.0,755.978,1063.8,12158.726,15117.7,1835.2,1863.2,36577.3,42339.4,118.9,113.2,1094.6,1046.6,231.912,221.4,8059.805,8076.0,2299.676,2083.0,31167.598,27557.0,7984.5647,8495.1,133737.429,146553.7
