-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of persons arrested under IPC by courts.", 
 "file_name": "DISPOSAL_OF_PERSONS_ARRESTED_UNDER_IPC_BY_COURTS.xls", 
 "title": "All India And State-wise Disposal Of Persons Arrested Under IPC By Courts ", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_PERSONS_ARRESTED_UNDER_IPC_BY_COURTS.xls"
}
-----
"State/U.T","Year","Total persons under trial during the year including the persons carried over from previous year","Persons against whom cases were compounded or withdrwan","No. of persons whose trial remained pending","Total - Persons in whose cases trials were completed during the year","Persons convicted - Persons in whose cases trials were completed during the year","Persons acquitted - Persons in whose cases trials were completed during the year"
"Arunachal Pradesh",2011.0,23316.0,205.0,22527.0,584.0,255.0,329.0
"Assam",2011.0,165772.0,3296.0,126270.0,36206.0,4648.0,31558.0
"Bihar",2011.0,1733537.0,31191.0,1545413.0,156933.0,17367.0,139566.0
"Chhattisgarh",2011.0,327629.0,11718.0,273346.0,42565.0,18963.0,23602.0
"Goa",2011.0,16186.0,45.0,14296.0,1845.0,401.0,1444.0
"Gujarat",2011.0,1714054.0,4163.0,1609658.0,100233.0,29071.0,71162.0
"Haryana",2011.0,328246.0,460.0,253721.0,74065.0,18005.0,56060.0
"Himachal Pradesh",2011.0,128621.0,2279.0,115775.0,10567.0,2129.0,8438.0
"Jammu & Kashmir",2011.0,212012.0,7004.0,186120.0,18888.0,6209.0,12679.0
"Jharkhand",2011.0,139137.0,1812.0,95421.0,41904.0,10904.0,31000.0
"Karnataka",2011.0,476119.0,14586.0,335740.0,125793.0,28231.0,97562.0
"Kerala",2011.0,819950.0,7213.0,662591.0,150146.0,79976.0,70170.0
"Madhya Pradesh",2011.0,1558147.0,99431.0,1196960.0,261756.0,107604.0,154152.0
"Maharashtra",2011.0,3104765.0,39353.0,2860753.0,204659.0,12775.0,191884.0
"Manipur",2011.0,3171.0,5.0,3079.0,87.0,40.0,47.0
"Meghalaya",2011.0,14206.0,35.0,13194.0,977.0,312.0,665.0
"Mizoram",2011.0,2794.0,20.0,1484.0,1290.0,1141.0,149.0
"Nagaland",2011.0,2357.0,70.0,679.0,1608.0,1424.0,184.0
"Orissa",2011.0,650885.0,0.0,586663.0,64222.0,6529.0,57693.0
"Punjab",2011.0,187772.0,106.0,147533.0,40133.0,15539.0,24594.0
"Rajasthan",2011.0,1107817.0,31359.0,933188.0,143270.0,80945.0,62325.0
"Sikkim",2011.0,1385.0,19.0,920.0,446.0,208.0,238.0
"Tamil Nadu",2011.0,537270.0,447.0,360741.0,176082.0,95761.0,80321.0
"Tripura",2011.0,13693.0,2.0,8540.0,5151.0,446.0,4705.0
"Uttar Pradesh",2011.0,1125874.0,13746.0,860548.0,251580.0,147376.0,104204.0
"Uttarakhand",2011.0,57134.0,1619.0,49450.0,6065.0,3848.0,2217.0
"West Bengal",2011.0,939766.0,5880.0,879612.0,54274.0,4862.0,49412.0
"A.&N.Islands",2011.0,10046.0,0.0,9852.0,194.0,135.0,59.0
"Chandigarh",2011.0,12129.0,0.0,10061.0,2068.0,937.0,1131.0
"D.&N.Haveli",2011.0,4938.0,0.0,4762.0,176.0,23.0,153.0
"Daman and Diu",2011.0,1763.0,133.0,1404.0,226.0,32.0,194.0
"Delhi",2011.0,252428.0,0.0,218910.0,33518.0,16615.0,16903.0
"Lakshadweep",2011.0,295.0,0.0,188.0,107.0,82.0,25.0
"Puducherry",2011.0,13780.0,81.0,11476.0,2223.0,1723.0,500.0
