-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
258.0,"JAMMU AND KASHMIR","ANANTNAG","SHANGUS"
259.0,"JAMMU AND KASHMIR","BANDIPORA","BANDIPORA"
260.0,"JAMMU AND KASHMIR","BANDIPORA","GUREZ"
261.0,"JAMMU AND KASHMIR","BANDIPORA","HAJIN"
262.0,"JAMMU AND KASHMIR","BANDIPORA","SUMBAL"
263.0,"JAMMU AND KASHMIR","BARAMULLA","BARAMULLA"
264.0,"JAMMU AND KASHMIR","BARAMULLA","BONIYAR"
265.0,"JAMMU AND KASHMIR","BARAMULLA","PATTAN"
266.0,"JAMMU AND KASHMIR","BARAMULLA","RAFIABAD"
267.0,"JAMMU AND KASHMIR","BARAMULLA","ROHAMA"
268.0,"JAMMU AND KASHMIR","BARAMULLA","SOPORE"
269.0,"JAMMU AND KASHMIR","BARAMULLA","TANGMARG"
270.0,"JAMMU AND KASHMIR","BARAMULLA","URI"
271.0,"JAMMU AND KASHMIR","BARAMULLA","WAGOORA"
272.0,"JAMMU AND KASHMIR","BARAMULLA","ZAINGEER"
273.0,"JAMMU AND KASHMIR","BUDGAM","B.K.PORA"
274.0,"JAMMU AND KASHMIR","BUDGAM","BEERWAH"
275.0,"JAMMU AND KASHMIR","BUDGAM","BUDGAM"
276.0,"JAMMU AND KASHMIR","BUDGAM","CHADOORA"
277.0,"JAMMU AND KASHMIR","BUDGAM","KHAG"
278.0,"JAMMU AND KASHMIR","BUDGAM","KHAN-SAHIB"
279.0,"JAMMU AND KASHMIR","BUDGAM","NAGAM"
280.0,"JAMMU AND KASHMIR","BUDGAM","NARBAL"
281.0,"JAMMU AND KASHMIR","DODA","ASSAR"
282.0,"JAMMU AND KASHMIR","DODA","BHADERWAH"
283.0,"JAMMU AND KASHMIR","DODA","BHAGWAH"
284.0,"JAMMU AND KASHMIR","DODA","BHALESSA"
285.0,"JAMMU AND KASHMIR","DODA","DODA"
286.0,"JAMMU AND KASHMIR","DODA","THATHRI"
287.0,"JAMMU AND KASHMIR","GANDERBAL","GANDERBAL"
288.0,"JAMMU AND KASHMIR","GANDERBAL","KANGAN"
289.0,"JAMMU AND KASHMIR","GANDERBAL","LAR"
290.0,"JAMMU AND KASHMIR","KARGIL","DRASS"
291.0,"JAMMU AND KASHMIR","KARGIL","KARGIL"
292.0,"JAMMU AND KASHMIR","KARGIL","SANKOO"
293.0,"JAMMU AND KASHMIR","KARGIL","SHAKAR-CHIKTAN"
294.0,"JAMMU AND KASHMIR","KARGIL","SHARGOLE"
295.0,"JAMMU AND KASHMIR","KARGIL","TAISURU"
296.0,"JAMMU AND KASHMIR","KARGIL","ZANSKAR"
297.0,"JAMMU AND KASHMIR","KISHTWAR","INDERWAL"
298.0,"JAMMU AND KASHMIR","KISHTWAR","KISHTWAR"
299.0,"JAMMU AND KASHMIR","KISHTWAR","MARWAH"
300.0,"JAMMU AND KASHMIR","KISHTWAR","WARWAN"
301.0,"JAMMU AND KASHMIR","KULGAM","DHPORA"
302.0,"JAMMU AND KASHMIR","KULGAM","KULGAM"
303.0,"JAMMU AND KASHMIR","KULGAM","QAIMOH"
304.0,"JAMMU AND KASHMIR","KULGAM","QAZIGUND"
305.0,"JAMMU AND KASHMIR","KUPWARA","KRALPORA"
306.0,"JAMMU AND KASHMIR","KUPWARA","KUPWARA"
307.0,"JAMMU AND KASHMIR","KUPWARA","LANGATE"
308.0,"JAMMU AND KASHMIR","KUPWARA","RAJWAR"
309.0,"JAMMU AND KASHMIR","KUPWARA","RAMHAL"
310.0,"JAMMU AND KASHMIR","KUPWARA","SOGAM"
311.0,"JAMMU AND KASHMIR","KUPWARA","TANGDAR"
312.0,"JAMMU AND KASHMIR","KUPWARA","TEETHWAL"
313.0,"JAMMU AND KASHMIR","KUPWARA","TREHGAM"
314.0,"JAMMU AND KASHMIR","LEH (LADAKH)","DURBUK"
315.0,"JAMMU AND KASHMIR","LEH (LADAKH)","KHALTSI"
316.0,"JAMMU AND KASHMIR","LEH (LADAKH)","KHARU"
317.0,"JAMMU AND KASHMIR","LEH (LADAKH)","LEH"
318.0,"JAMMU AND KASHMIR","LEH (LADAKH)","NUBRA"
319.0,"JAMMU AND KASHMIR","LEH (LADAKH)","NYOMA"
320.0,"JAMMU AND KASHMIR","POONCH","BALAKOTE"
321.0,"JAMMU AND KASHMIR","POONCH","MANDI"
322.0,"JAMMU AND KASHMIR","POONCH","MENDHAR"
323.0,"JAMMU AND KASHMIR","POONCH","POONCH"
324.0,"JAMMU AND KASHMIR","POONCH","SURANKOTE"
325.0,"JAMMU AND KASHMIR","PULWAMA","KAKAPORA"
326.0,"JAMMU AND KASHMIR","PULWAMA","PAMPORE"
327.0,"JAMMU AND KASHMIR","PULWAMA","PULWAMA"
328.0,"JAMMU AND KASHMIR","PULWAMA","TRAL"
329.0,"JAMMU AND KASHMIR","RAJAURI","BUDHAL"
330.0,"JAMMU AND KASHMIR","RAJAURI","DARHAL"
331.0,"JAMMU AND KASHMIR","RAJAURI","KALAKOTE"
332.0,"JAMMU AND KASHMIR","RAJAURI","MANJAKOTE"
333.0,"JAMMU AND KASHMIR","RAJAURI","NOWSHERA"
334.0,"JAMMU AND KASHMIR","RAJAURI","RAJOURI"
335.0,"JAMMU AND KASHMIR","RAMBAN","BANIHAL"
336.0,"JAMMU AND KASHMIR","RAMBAN","GOOL"
337.0,"JAMMU AND KASHMIR","RAMBAN","RAMBAN"
338.0,"JAMMU AND KASHMIR","RAMBAN","RAMSOO"
339.0,"JAMMU AND KASHMIR","REASI","ARNAS"
340.0,"JAMMU AND KASHMIR","REASI","MAHORE"
341.0,"JAMMU AND KASHMIR","SHOPIAN","KELLER"
342.0,"JAMMU AND KASHMIR","SHOPIAN","SHOPIAN"
343.0,"JAMMU AND KASHMIR","SRINAGAR","SRINAGAR"
344.0,"JHARKHAND","DEOGHAR","KAROWN"
345.0,"JHARKHAND","DEOGHAR","MADHUPUR"
346.0,"JHARKHAND","DEOGHAR","PALAJORI"
347.0,"JHARKHAND","DHANBAD","GOBINDPUR"
348.0,"JHARKHAND","DUMKA","SIKARIPARA"
349.0,"JHARKHAND","GARHWA","GARHWA"
350.0,"JHARKHAND","GIRIDIH","DHANWAR"
351.0,"JHARKHAND","GIRIDIH","GANDE"
352.0,"JHARKHAND","GODDA","MAHAGAMA"
353.0,"JHARKHAND","GODDA","PATHARGAMA"
354.0,"JHARKHAND","GUMLA","BASIA"
355.0,"JHARKHAND","GUMLA","CHAINPUR"
356.0,"JHARKHAND","GUMLA","DUMRI"
357.0,"JHARKHAND","GUMLA","RAIDIH"
