-----
{
 "description": "This data provides state-wise number of minority concentrated districts and minority concentrated blocks all over India as on 31st March 2013.", 
 "file_name": "STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls", 
 "title": "State-wise Number of Minority Concentrated Districts And Minority Concentrated Blocks As On 31st March 2013 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_NO_OF_MINORITY_DISTRICTS_AND_BLOCKS.xls"
}
-----
"S.No.","State Name","District Name","Block Name"
884.0,"UTTAR PRADESH","BAREILLY","BAHERI"
885.0,"UTTAR PRADESH","BAREILLY","BHOJIPURA"
886.0,"UTTAR PRADESH","BAREILLY","BITHIRI CHAINPUR"
887.0,"UTTAR PRADESH","BAREILLY","FATEHGANJ WEST"
888.0,"UTTAR PRADESH","BAREILLY","NAWABGANJ"
889.0,"UTTAR PRADESH","BAREILLY","RICHHA"
890.0,"UTTAR PRADESH","BAREILLY","SHERGARH"
891.0,"UTTAR PRADESH","BASTI","RAMNAGAR"
892.0,"UTTAR PRADESH","BIJNOR","AFAJALGANJ(KASAMPUR GARHI)"
893.0,"UTTAR PRADESH","BIJNOR","ALHEPUR"
894.0,"UTTAR PRADESH","BIJNOR","BUDHANPUR"
895.0,"UTTAR PRADESH","BIJNOR","HALDAUR"
896.0,"UTTAR PRADESH","BIJNOR","JALILPUR"
897.0,"UTTAR PRADESH","BIJNOR","KIRATPUR"
898.0,"UTTAR PRADESH","BIJNOR","KOTWALI"
899.0,"UTTAR PRADESH","BIJNOR","NAJIBABAD"
900.0,"UTTAR PRADESH","BIJNOR","NETAUR"
901.0,"UTTAR PRADESH","BIJNOR","NOORPUR"
902.0,"UTTAR PRADESH","BUDAUN","DAHGAVAN"
903.0,"UTTAR PRADESH","BUDAUN","QADAR CHOWK"
904.0,"UTTAR PRADESH","BULANDSHAHR","BULANDSHAHR"
905.0,"UTTAR PRADESH","BULANDSHAHR","GULAOTHI"
906.0,"UTTAR PRADESH","CHATRAPTI SHAHU JI NAGAR","BAHADURPUR"
907.0,"UTTAR PRADESH","CHATRAPTI SHAHU JI NAGAR","SHUKUL BAZAR"
908.0,"UTTAR PRADESH","CHATRAPTI SHAHU JI NAGAR","SINGHPUR"
909.0,"UTTAR PRADESH","FAIZABAD","MAVAI"
910.0,"UTTAR PRADESH","GHAZIABAD","BHOJPUR"
911.0,"UTTAR PRADESH","GHAZIABAD","DHAULANA"
912.0,"UTTAR PRADESH","GHAZIABAD","GARHMUKTESHWAR"
913.0,"UTTAR PRADESH","GHAZIABAD","HAPUR"
914.0,"UTTAR PRADESH","GHAZIABAD","RAJAPUR"
915.0,"UTTAR PRADESH","GHAZIABAD","SIMBHAWALI"
916.0,"UTTAR PRADESH","GHAZIPUR","BHADAURA"
917.0,"UTTAR PRADESH","GONDA","BABHANJOT"
918.0,"UTTAR PRADESH","GONDA","HALDHARMAU"
919.0,"UTTAR PRADESH","GONDA","ITIA THOK"
920.0,"UTTAR PRADESH","GONDA","MUJEHANA"
921.0,"UTTAR PRADESH","JYOTIBA PHOOLE NAGAR","AMROHA"
922.0,"UTTAR PRADESH","JYOTIBA PHOOLE NAGAR","DHANAURA"
923.0,"UTTAR PRADESH","JYOTIBA PHOOLE NAGAR","GAJRAULA"
924.0,"UTTAR PRADESH","JYOTIBA PHOOLE NAGAR","JOYA"
925.0,"UTTAR PRADESH","Kanshiram Nagar","GANJ DUNDWARA"
926.0,"UTTAR PRADESH","KHERI","BANKEGANJ"
927.0,"UTTAR PRADESH","KHERI","KUMBHIGOLA"
928.0,"UTTAR PRADESH","KHERI","PHOOLBEHAR"
929.0,"UTTAR PRADESH","MAHARAJGANJ","PARTAWAL"
930.0,"UTTAR PRADESH","MEERUT","JANI"
931.0,"UTTAR PRADESH","MEERUT","KHARKHODA"
932.0,"UTTAR PRADESH","MEERUT","MACHHARA"
933.0,"UTTAR PRADESH","MEERUT","MEERUT"
934.0,"UTTAR PRADESH","MEERUT","PARIKSHITGARH"
935.0,"UTTAR PRADESH","MEERUT","RAJPURA"
936.0,"UTTAR PRADESH","MEERUT","SARURPUR"
937.0,"UTTAR PRADESH","MORADABAD","ASMOLI"
938.0,"UTTAR PRADESH","MORADABAD","BHARATPUR TANDA"
939.0,"UTTAR PRADESH","MORADABAD","BILARI"
940.0,"UTTAR PRADESH","MORADABAD","CHHAJLET"
941.0,"UTTAR PRADESH","MORADABAD","DILARI"
942.0,"UTTAR PRADESH","MORADABAD","DINGPUR"
943.0,"UTTAR PRADESH","MORADABAD","MORADABAD"
944.0,"UTTAR PRADESH","MORADABAD","MUDHAPANDEY"
945.0,"UTTAR PRADESH","MORADABAD","PAWASA"
946.0,"UTTAR PRADESH","MORADABAD","SAMBHAL"
947.0,"UTTAR PRADESH","MORADABAD","THAKURDWARA"
948.0,"UTTAR PRADESH","MUZAFFARNAGAR","BAGHRA"
949.0,"UTTAR PRADESH","MUZAFFARNAGAR","BUDHANA"
950.0,"UTTAR PRADESH","MUZAFFARNAGAR","CHARTHAWAL"
951.0,"UTTAR PRADESH","MUZAFFARNAGAR","JANSATH"
952.0,"UTTAR PRADESH","MUZAFFARNAGAR","KAIRANA"
953.0,"UTTAR PRADESH","MUZAFFARNAGAR","KANDHLA"
954.0,"UTTAR PRADESH","MUZAFFARNAGAR","MORNA"
955.0,"UTTAR PRADESH","MUZAFFARNAGAR","MUZAFFARNAGAR"
956.0,"UTTAR PRADESH","MUZAFFARNAGAR","PURKAZI"
957.0,"UTTAR PRADESH","MUZAFFARNAGAR","SHAHPUR"
958.0,"UTTAR PRADESH","MUZAFFARNAGAR","THANABHAWAN"
959.0,"UTTAR PRADESH","MUZAFFARNAGAR","UN"
960.0,"UTTAR PRADESH","PILIBHIT","AMARIA"
961.0,"UTTAR PRADESH","PILIBHIT","PURANPUR"
962.0,"UTTAR PRADESH","PRATAPGARH","SINGHIPUR"
963.0,"UTTAR PRADESH","RAMPUR","BILASPUR"
964.0,"UTTAR PRADESH","RAMPUR","CHAMRAUA"
965.0,"UTTAR PRADESH","RAMPUR","SAIDNAGAR"
966.0,"UTTAR PRADESH","RAMPUR","SHAHABAD"
967.0,"UTTAR PRADESH","RAMPUR","SUAR"
968.0,"UTTAR PRADESH","SAHARANPUR","BANIAKHERA"
969.0,"UTTAR PRADESH","SAHARANPUR","DEOBAND"
970.0,"UTTAR PRADESH","SAHARANPUR","GANGOH"
971.0,"UTTAR PRADESH","SAHARANPUR","MUJAFFARABAD"
972.0,"UTTAR PRADESH","SAHARANPUR","NAGAL"
973.0,"UTTAR PRADESH","SAHARANPUR","PUNWARAKA"
974.0,"UTTAR PRADESH","SAHARANPUR","SADHAULI KADEEM"
975.0,"UTTAR PRADESH","SAHARANPUR","SARSAWAN"
976.0,"UTTAR PRADESH","SANT KABEER NAGAR","BAGHAULI"
977.0,"UTTAR PRADESH","SANT KABEER NAGAR","SANTHA"
978.0,"UTTAR PRADESH","SANT KABEER NAGAR","SEMARIYAWAN"
979.0,"UTTAR PRADESH","SHAHJAHANPUR","KHUTAR"
980.0,"UTTAR PRADESH","SHRAVASTI","HARIHARPUR RANI"
981.0,"UTTAR PRADESH","SHRAVASTI","JAMUNAHA"
982.0,"UTTAR PRADESH","SHRAVASTI","SIRSIYA"
983.0,"UTTAR PRADESH","SIDDHARTH NAGAR","BARHNI BAZAR"
984.0,"UTTAR PRADESH","SIDDHARTH NAGAR","BHANWAPUR"
985.0,"UTTAR PRADESH","SIDDHARTH NAGAR","BIRDPUR"
986.0,"UTTAR PRADESH","SIDDHARTH NAGAR","DOMARIYAGANJ"
987.0,"UTTAR PRADESH","SIDDHARTH NAGAR","ITWA"
988.0,"UTTAR PRADESH","SIDDHARTH NAGAR","KHUNIYAON"
989.0,"UTTAR PRADESH","SIDDHARTH NAGAR","MITHWAL"
990.0,"UTTAR PRADESH","SIDDHARTH NAGAR","NAUGARH"
991.0,"UTTAR PRADESH","SIDDHARTH NAGAR","SHOHRATGARH"
992.0,"UTTAR PRADESH","SITAPUR","BISWAN"
993.0,"UTTAR PRADESH","SITAPUR","LAHARPUR"
994.0,"UTTAR PRADESH","SITAPUR","MAHMUDABAD"
995.0,"UTTAR PRADESH","SULTANPUR","DUBEPUR"
996.0,"UTTAR PRADESH","SULTANPUR","JAI SINGH PUR"
997.0,"UTTAR PRADESH","SULTANPUR","KURWAR"
998.0,"UTTARAKHAND","DEHRADUN","VIKASNAGAR"
999.0,"UTTARAKHAND","HARDWAR","BAHADRABAD"
1000.0,"UTTARAKHAND","HARDWAR","BHAGWANPUR"
1001.0,"UTTARAKHAND","HARDWAR","LAKSAR"
1002.0,"UTTARAKHAND","HARDWAR","NARSAN"
1003.0,"UTTARAKHAND","HARDWAR","ROORKEE"
1004.0,"UTTARAKHAND","UDHAM SINGH NAGAR","BAZPUR"
1005.0,"UTTARAKHAND","UDHAM SINGH NAGAR","JASPUR"
1006.0,"UTTARAKHAND","UDHAM SINGH NAGAR","KASHIPUR"
1007.0,"UTTARAKHAND","UDHAM SINGH NAGAR","RUDRAPUR"
1008.0,"UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ"
1009.0,"WEST BENGAL","BARDHAMAN","BHATAR"
1010.0,"WEST BENGAL","BARDHAMAN","BURDWAN-I"
1011.0,"WEST BENGAL","BARDHAMAN","GALSI -I"
1012.0,"WEST BENGAL","BARDHAMAN","KALNA-I"
1013.0,"WEST BENGAL","BARDHAMAN","KATWA-I"
1014.0,"WEST BENGAL","BARDHAMAN","KETUGRAM-I"
1015.0,"WEST BENGAL","BARDHAMAN","KHANDAGHOSH"
1016.0,"WEST BENGAL","BARDHAMAN","MANGOLKOTE"
1017.0,"WEST BENGAL","BARDHAMAN","MANTESWAR"
1018.0,"WEST BENGAL","BARDHAMAN","PURBASTHALI-I"
1019.0,"WEST BENGAL","BARDHAMAN","RAINA-I"
1020.0,"WEST BENGAL","BIRBHUM","DUBRAJPUR"
1021.0,"WEST BENGAL","BIRBHUM","ILLAMBAZAR"
1022.0,"WEST BENGAL","BIRBHUM","LABPUR"
1023.0,"WEST BENGAL","BIRBHUM","MAYURESWAR-I"
1024.0,"WEST BENGAL","BIRBHUM","MOHAMMAD BAZAR"
1025.0,"WEST BENGAL","BIRBHUM","MURARAI-I"
1026.0,"WEST BENGAL","BIRBHUM","MURARAI-II"
1027.0,"WEST BENGAL","BIRBHUM","NALHATI-I"
1028.0,"WEST BENGAL","BIRBHUM","NALHATI-II"
1029.0,"WEST BENGAL","BIRBHUM","NANOOR"
1030.0,"WEST BENGAL","BIRBHUM","RAMPURHAT-I"
1031.0,"WEST BENGAL","BIRBHUM","RAMPURHAT-II"
1032.0,"WEST BENGAL","BIRBHUM","SURI-I"
1033.0,"WEST BENGAL","BIRBHUM","SURI-II"
1034.0,"WEST BENGAL","COOCHBEHAR","COOCH BEHAR-I"
1035.0,"WEST BENGAL","COOCHBEHAR","DINHATA-I"
1036.0,"WEST BENGAL","COOCHBEHAR","DINHATA-II"
1037.0,"WEST BENGAL","COOCHBEHAR","HALDIBARI"
1038.0,"WEST BENGAL","COOCHBEHAR","SITAI"
1039.0,"WEST BENGAL","COOCHBEHAR","SITALKUCHI"
1040.0,"WEST BENGAL","COOCHBEHAR","TUFANGANJ-I"
1041.0,"WEST BENGAL","DAKSHIN DINAJPUR","BANSIHARI"
1042.0,"WEST BENGAL","DAKSHIN DINAJPUR","GANGARAMPUR"
1043.0,"WEST BENGAL","DAKSHIN DINAJPUR","HARIRAMPUR"
1044.0,"WEST BENGAL","DAKSHIN DINAJPUR","KUMARGANJ"
1045.0,"WEST BENGAL","DAKSHIN DINAJPUR","KUSHMANDI"
1046.0,"WEST BENGAL","DAKSHIN DINAJPUR","TAPAN"
1047.0,"WEST BENGAL","DARJEELING","GORUBATHAN"
1048.0,"WEST BENGAL","DARJEELING","JORE BUNGLOW-SUKIAPOKHRI"
1049.0,"WEST BENGAL","DARJEELING","KALIMPONG-I"
1050.0,"WEST BENGAL","DARJEELING","KALIMPONG-II"
1051.0,"WEST BENGAL","DARJEELING","KURSEONG"
1052.0,"WEST BENGAL","DARJEELING","PHANSIDEWA"
1053.0,"WEST BENGAL","DARJEELING","RANGLI RANGLIOT"
1054.0,"WEST BENGAL","HOOGHLY","CHANDITALA-I"
1055.0,"WEST BENGAL","HOWRAH","AMTA-I"
1056.0,"WEST BENGAL","HOWRAH","BAGNAN-I"
1057.0,"WEST BENGAL","HOWRAH","DOMJUR"
1058.0,"WEST BENGAL","HOWRAH","JAGATBALLAVPUR"
1059.0,"WEST BENGAL","HOWRAH","PANCHLA"
1060.0,"WEST BENGAL","HOWRAH","SANKRAIL"
1061.0,"WEST BENGAL","HOWRAH","ULUBERIA-I"
1062.0,"WEST BENGAL","HOWRAH","ULUBERIA-II"
1063.0,"WEST BENGAL","JALPAIGURI","KALCHINI"
1064.0,"WEST BENGAL","JALPAIGURI","MAL"
1065.0,"WEST BENGAL","MALDAH","CHANCHAL-I"
1066.0,"WEST BENGAL","MALDAH","CHANCHAL-II"
1067.0,"WEST BENGAL","MALDAH","ENGLISH BAZAR"
1068.0,"WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I"
1069.0,"WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II"
1070.0,"WEST BENGAL","MALDAH","KALIACHAK-I"
1071.0,"WEST BENGAL","MALDAH","KALIACHAK-II"
1072.0,"WEST BENGAL","MALDAH","KALIACHAK-III"
1073.0,"WEST BENGAL","MALDAH","MALDA (OLD )"
1074.0,"WEST BENGAL","MALDAH","MANIKCHAK"
1075.0,"WEST BENGAL","MALDAH","RATUA-I"
1076.0,"WEST BENGAL","MALDAH","RATUA-II"
1077.0,"WEST BENGAL","MEDINIPUR","KESHPUR"
1078.0,"WEST BENGAL","MURSHIDABAD","BELDANGA-I"
1079.0,"WEST BENGAL","MURSHIDABAD","BELDANGA-II"
1080.0,"WEST BENGAL","MURSHIDABAD","BERHAMPORE"
1081.0,"WEST BENGAL","MURSHIDABAD","BHAGAWANGOLA-II"
1082.0,"WEST BENGAL","MURSHIDABAD","BHAGOBANGOLA- I"
1083.0,"WEST BENGAL","MURSHIDABAD","BHARATPUR-I"
1084.0,"WEST BENGAL","MURSHIDABAD","BHARATPUR-II"
1085.0,"WEST BENGAL","MURSHIDABAD","BURWAN"
1086.0,"WEST BENGAL","MURSHIDABAD","DOMKAL"
1087.0,"WEST BENGAL","MURSHIDABAD","FARAKKA"
1088.0,"WEST BENGAL","MURSHIDABAD","HARIHARPARA"
1089.0,"WEST BENGAL","MURSHIDABAD","JALANGI"
1090.0,"WEST BENGAL","MURSHIDABAD","KANDI"
1091.0,"WEST BENGAL","MURSHIDABAD","KHARGRAM"
1092.0,"WEST BENGAL","MURSHIDABAD","LALGOLA"
1093.0,"WEST BENGAL","MURSHIDABAD","MURSHIDABAD-JIAGUNJ"
1094.0,"WEST BENGAL","MURSHIDABAD","NABAGRAM"
1095.0,"WEST BENGAL","MURSHIDABAD","NAWDA"
1096.0,"WEST BENGAL","MURSHIDABAD","RAGHUNATHGANJ-I"
1097.0,"WEST BENGAL","MURSHIDABAD","RAGHUNATHGANJ-II"
1098.0,"WEST BENGAL","MURSHIDABAD","RANINAGAR-I"
1099.0,"WEST BENGAL","MURSHIDABAD","RANINAGAR-II"
1100.0,"WEST BENGAL","MURSHIDABAD","SAGARDIGHI"
1101.0,"WEST BENGAL","MURSHIDABAD","SHAMSHERGANJ"
1102.0,"WEST BENGAL","MURSHIDABAD","SUTI-I"
1103.0,"WEST BENGAL","MURSHIDABAD","SUTI-II"
1104.0,"WEST BENGAL","NADIA","CHAPRA"
1105.0,"WEST BENGAL","NADIA","HARINGHATA"
1106.0,"WEST BENGAL","NADIA","KALIGANJ"
1107.0,"WEST BENGAL","NADIA","KARIMPUR-1"
1108.0,"WEST BENGAL","NADIA","KARIMPUR-II"
1109.0,"WEST BENGAL","NADIA","KRISHNAGAR-II"
1110.0,"WEST BENGAL","NADIA","NABADWIP"
1111.0,"WEST BENGAL","NADIA","NAKASHIPARA"
1112.0,"WEST BENGAL","NADIA","TEHATTA-I"
1113.0,"WEST BENGAL","NADIA","TEHATTA-II"
1114.0,"WEST BENGAL","NORTH 24 PARAGANAS","AMDANGA"
1115.0,"WEST BENGAL","NORTH 24 PARAGANAS","BADURIA"
1116.0,"WEST BENGAL","NORTH 24 PARAGANAS","BARASAT-I"
1117.0,"WEST BENGAL","NORTH 24 PARAGANAS","BARASAT-II"
1118.0,"WEST BENGAL","NORTH 24 PARAGANAS","BASIRHAT-I"
1119.0,"WEST BENGAL","NORTH 24 PARAGANAS","BASIRHAT-II"
1120.0,"WEST BENGAL","NORTH 24 PARAGANAS","DEGANGA"
1121.0,"WEST BENGAL","NORTH 24 PARAGANAS","HABRA-I"
1122.0,"WEST BENGAL","NORTH 24 PARAGANAS","HABRA-II"
1123.0,"WEST BENGAL","NORTH 24 PARAGANAS","HAROA"
1124.0,"WEST BENGAL","NORTH 24 PARAGANAS","HASNABAD"
1125.0,"WEST BENGAL","NORTH 24 PARAGANAS","MINAKHAN"
1126.0,"WEST BENGAL","NORTH 24 PARAGANAS","RAJARHAT"
1127.0,"WEST BENGAL","NORTH 24 PARAGANAS","SANDESHKHALI-I"
1128.0,"WEST BENGAL","NORTH 24 PARAGANAS","SWARUPNAGAR"
1129.0,"WEST BENGAL","PURBA MEDINIPUR","NANDIGRAM-I"
1130.0,"WEST BENGAL","PURBA MEDINIPUR","SUTAHATA-I"
1131.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BARUIPUR"
1132.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BASANTI"
1133.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BHANGAR-I"
1134.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BHANGAR-II"
1135.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BISHNUPUR-I"
1136.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BISHNUPUR-II"
1137.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BUDGE BUDGE-I"
1138.0,"WEST BENGAL","SOUTH 24 PARAGANAS","BUDGE BUDGE-II"
1139.0,"WEST BENGAL","SOUTH 24 PARAGANAS","CANNING-I"
1140.0,"WEST BENGAL","SOUTH 24 PARAGANAS","CANNING-II"
1141.0,"WEST BENGAL","SOUTH 24 PARAGANAS","DIAMOND HARBOUR-I"
1142.0,"WEST BENGAL","SOUTH 24 PARAGANAS","DIAMOND HARBOUR-II"
1143.0,"WEST BENGAL","SOUTH 24 PARAGANAS","FALTA"
1144.0,"WEST BENGAL","SOUTH 24 PARAGANAS","JAYNAGAR-I"
1145.0,"WEST BENGAL","SOUTH 24 PARAGANAS","JAYNAGAR-II"
1146.0,"WEST BENGAL","SOUTH 24 PARAGANAS","KULPI"
1147.0,"WEST BENGAL","SOUTH 24 PARAGANAS","KULTALI"
1148.0,"WEST BENGAL","SOUTH 24 PARAGANAS","MAGRAHAT-I"
1149.0,"WEST BENGAL","SOUTH 24 PARAGANAS","MAGRAHAT-II"
1150.0,"WEST BENGAL","SOUTH 24 PARAGANAS","MANDIRBAZAR"
1151.0,"WEST BENGAL","SOUTH 24 PARAGANAS","MATHURAPUR I"
1152.0,"WEST BENGAL","SOUTH 24 PARAGANAS","THAKURPUKUR MAHESTOLA"
1153.0,"WEST BENGAL","UTTAR DINAJPUR","CHOPRA"
1154.0,"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHAR II"
1155.0,"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHAR-I"
1156.0,"WEST BENGAL","UTTAR DINAJPUR","HEMTABAD"
1157.0,"WEST BENGAL","UTTAR DINAJPUR","ISLAMPUR"
1158.0,"WEST BENGAL","UTTAR DINAJPUR","ITAHAR"
1159.0,"WEST BENGAL","UTTAR DINAJPUR","KARANDIGHI"
1160.0,"WEST BENGAL","UTTAR DINAJPUR","RAIGANJ"
