-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on all India and state-wise number of persons arrested under different Indian Penal Code (IPC) crimes by sex.", 
 "file_name": "NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls", 
 "title": "All India And State-wise details on Number of Persons Arrested Under Different IPC Crimes By Sex ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls"
}
-----
"State","Year","Total Cognizable Crimes - Male","Total Cognizable Crimes - Female","Murder - Male","Murder - Female","Culpable Homocide not amounting to murder - Male","Culpable Homocide not amounting to murder - Female","Rape - Male","Rape - Female","Kidnapping and Abduction - Male","Kidnapping and Abduction - Female","Dacoity - Male","Dacoity - Female","Robbery - Male","Robbery - Female","Burglary - Male","Burglary - Female","Theft - Male","Theft - Female","Riots - Male","Riots - Female","Criminal Breach of Trust - Male","Criminal Breach of Trust - Female","Cheating - Male","Cheating - Female","Counterfeiting - Male","Counterfeiting - Female"
"Sikkim",2009.0,836.0,57.0,14.0,3.0,4.0,0.0,19.0,0.0,6.0,1.0,4.0,0.0,7.0,0.0,99.0,1.0,51.0,7.0,139.0,16.0,7.0,0.0,10.0,1.0,4.0,0.0
"Tamil Nadu",2009.0,191612.0,17065.0,3309.0,293.0,20.0,0.0,762.0,14.0,1634.0,145.0,443.0,4.0,1563.0,18.0,3688.0,61.0,13496.0,1112.0,11715.0,1241.0,167.0,6.0,2343.0,145.0,128.0,3.0
"Tripura",2009.0,8113.0,871.0,185.0,21.0,4.0,0.0,312.0,24.0,168.0,8.0,26.0,0.0,84.0,1.0,209.0,0.0,381.0,8.0,397.0,54.0,61.0,0.0,147.0,0.0,29.0,0.0
"Uttar Pradesh",2009.0,275146.0,10140.0,12189.0,176.0,3544.0,7.0,2918.0,0.0,12180.0,213.0,1649.0,0.0,4655.0,0.0,4176.0,2.0,15989.0,95.0,26717.0,202.0,6238.0,14.0,17533.0,72.0,786.0,0.0
"Uttarakhand",2009.0,11355.0,474.0,373.0,15.0,67.0,0.0,138.0,0.0,202.0,11.0,104.0,0.0,259.0,0.0,318.0,0.0,1122.0,10.0,1471.0,70.0,111.0,7.0,542.0,14.0,42.0,1.0
"West Bengal",2009.0,104227.0,9386.0,3199.0,299.0,627.0,18.0,1738.0,10.0,1960.0,331.0,666.0,8.0,829.0,1.0,457.0,9.0,11219.0,1079.0,13944.0,926.0,781.0,23.0,2471.0,147.0,198.0,2.0
"A. & N. Islands",2009.0,951.0,84.0,38.0,0.0,7.0,0.0,34.0,2.0,16.0,0.0,0.0,0.0,17.0,0.0,74.0,2.0,121.0,0.0,84.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0
"Chandigarh",2009.0,2272.0,82.0,49.0,2.0,14.0,1.0,36.0,2.0,25.0,7.0,16.0,0.0,45.0,0.0,85.0,0.0,473.0,11.0,259.0,13.0,20.0,1.0,141.0,7.0,6.0,0.0
"D. & N. Haveli",2009.0,666.0,28.0,6.0,1.0,4.0,0.0,5.0,0.0,14.0,2.0,20.0,0.0,2.0,0.0,50.0,0.0,60.0,0.0,268.0,13.0,16.0,0.0,12.0,3.0,0.0,0.0
"Daman and Diu",2009.0,448.0,4.0,11.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,45.0,0.0,22.0,0.0,183.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
"Delhi",2009.0,35153.0,1110.0,857.0,32.0,98.0,5.0,533.0,24.0,593.0,32.0,172.0,0.0,1089.0,4.0,1236.0,5.0,7788.0,130.0,390.0,16.0,186.0,2.0,1486.0,68.0,51.0,3.0
"Lakshadweep",2009.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,6157.0,345.0,165.0,2.0,28.0,0.0,1.0,0.0,23.0,1.0,20.0,0.0,20.0,0.0,75.0,2.0,281.0,13.0,989.0,129.0,5.0,1.0,46.0,6.0,1.0,0.0
"Total 2010",2010.0,2765423.0,181699.0,58668.0,3798.0,6983.0,196.0,26357.0,717.0,43149.0,2349.0,17096.0,225.0,34827.0,301.0,66831.0,1461.0,187873.0,6193.0,301727.0,17188.0,19754.0,684.0,73918.0,3844.0,2189.0,43.0
"Andhra Pradesh",2010.0,211813.0,16792.0,3896.0,343.0,247.0,19.0,1701.0,60.0,2402.0,141.0,478.0,12.0,1024.0,24.0,6407.0,136.0,20018.0,790.0,8890.0,565.0,937.0,88.0,8229.0,594.0,231.0,6.0
"Arunachal Pradesh",2010.0,2793.0,32.0,99.0,4.0,2.0,1.0,49.0,0.0,80.0,1.0,33.0,0.0,116.0,0.0,175.0,1.0,371.0,5.0,100.0,0.0,42.0,0.0,92.0,0.0,0.0,0.0
"Assam",2010.0,69139.0,751.0,1507.0,30.0,43.0,0.0,1629.0,0.0,3161.0,29.0,816.0,0.0,1094.0,0.0,3960.0,10.0,9032.0,47.0,10023.0,89.0,996.0,4.0,1256.0,15.0,88.0,0.0
"Bihar",2010.0,186951.0,9338.0,5007.0,200.0,528.0,19.0,887.0,5.0,4346.0,172.0,1477.0,0.0,1926.0,0.0,2119.0,25.0,9605.0,135.0,35196.0,832.0,1292.0,22.0,3023.0,40.0,84.0,0.0
"Chhattisgarh",2010.0,69312.0,3438.0,1642.0,85.0,40.0,0.0,1177.0,21.0,418.0,21.0,451.0,10.0,810.0,0.0,2257.0,34.0,3172.0,93.0,6565.0,302.0,146.0,7.0,771.0,43.0,50.0,1.0
"Goa",2010.0,3094.0,238.0,40.0,4.0,5.0,1.0,46.0,4.0,40.0,3.0,18.0,0.0,75.0,0.0,297.0,19.0,575.0,46.0,274.0,45.0,38.0,6.0,94.0,11.0,3.0,0.0
"Gujarat",2010.0,148186.0,13857.0,1974.0,142.0,81.0,8.0,582.0,35.0,1878.0,137.0,919.0,19.0,1961.0,19.0,2983.0,98.0,9452.0,245.0,10867.0,639.0,1725.0,119.0,1960.0,84.0,50.0,1.0
"Haryana",2010.0,61496.0,2741.0,1873.0,88.0,101.0,5.0,822.0,44.0,868.0,35.0,448.0,9.0,1210.0,0.0,2536.0,52.0,6596.0,158.0,4982.0,187.0,664.0,34.0,1579.0,40.0,54.0,2.0
"Himachal Pradesh",2010.0,16317.0,2451.0,169.0,24.0,17.0,0.0,188.0,9.0,147.0,14.0,1.0,0.0,18.0,0.0,417.0,33.0,668.0,12.0,2723.0,636.0,94.0,2.0,229.0,33.0,5.0,0.0
"Jammu & Kashmir",2010.0,29322.0,2319.0,280.0,38.0,30.0,1.0,245.0,21.0,535.0,35.0,4.0,0.0,80.0,2.0,651.0,7.0,2480.0,9.0,5507.0,463.0,280.0,0.0,611.0,10.0,33.0,0.0
"Jharkhand",2010.0,49522.0,2161.0,1984.0,111.0,95.0,8.0,835.0,1.0,925.0,115.0,595.0,9.0,696.0,11.0,741.0,0.0,2984.0,72.0,8702.0,401.0,437.0,4.0,884.0,12.0,31.0,0.0
"Karnataka",2010.0,148828.0,12790.0,3308.0,323.0,77.0,13.0,732.0,39.0,1277.0,112.0,1081.0,8.0,1816.0,35.0,3104.0,55.0,7192.0,264.0,25554.0,2551.0,447.0,67.0,3359.0,487.0,118.0,3.0
"Kerala",2010.0,191157.0,6355.0,638.0,42.0,122.0,1.0,650.0,9.0,333.0,7.0,373.0,3.0,896.0,39.0,1946.0,40.0,3270.0,239.0,38174.0,866.0,301.0,18.0,2490.0,246.0,53.0,2.0
"Madhya Pradesh",2010.0,327605.0,15587.0,5222.0,299.0,227.0,12.0,4264.0,123.0,1625.0,59.0,593.0,0.0,2886.0,4.0,6151.0,82.0,10736.0,210.0,17351.0,677.0,637.0,26.0,2284.0,128.0,55.0,0.0
"Maharashtra",2010.0,275511.0,30118.0,5015.0,710.0,243.0,17.0,2042.0,138.0,2032.0,293.0,3825.0,117.0,5603.0,93.0,12929.0,635.0,30245.0,1300.0,47698.0,5318.0,2359.0,146.0,8845.0,663.0,197.0,6.0
"Manipur",2010.0,1166.0,140.0,50.0,7.0,0.0,0.0,17.0,5.0,101.0,19.0,0.0,0.0,0.0,0.0,27.0,0.0,101.0,4.0,26.0,26.0,7.0,1.0,39.0,11.0,7.0,1.0
"Meghalaya",2010.0,1715.0,28.0,127.0,6.0,6.0,0.0,135.0,0.0,101.0,3.0,72.0,0.0,68.0,1.0,105.0,0.0,342.0,1.0,23.0,2.0,26.0,0.0,61.0,7.0,10.0,0.0
"Mizoram",2010.0,2150.0,78.0,57.0,0.0,20.0,0.0,112.0,0.0,11.0,0.0,1.0,0.0,18.0,0.0,346.0,1.0,702.0,19.0,0.0,0.0,25.0,4.0,60.0,17.0,16.0,3.0
"Nagaland",2010.0,1001.0,65.0,32.0,5.0,9.0,1.0,16.0,1.0,78.0,12.0,21.0,2.0,71.0,1.0,49.0,0.0,266.0,1.0,7.0,0.0,18.0,1.0,32.0,3.0,9.0,0.0
"Orissa",2010.0,83388.0,6387.0,1819.0,232.0,90.0,15.0,1331.0,32.0,1238.0,59.0,1988.0,20.0,2560.0,11.0,3605.0,15.0,7023.0,75.0,9228.0,733.0,522.0,37.0,1478.0,54.0,55.0,0.0
"Punjab",2010.0,45331.0,3719.0,1347.0,200.0,165.0,16.0,706.0,60.0,880.0,127.0,160.0,3.0,462.0,6.0,2283.0,67.0,4549.0,200.0,0.0,0.0,334.0,20.0,4208.0,525.0,119.0,8.0
"Rajasthan",2010.0,165505.0,12032.0,1902.0,159.0,126.0,5.0,1309.0,34.0,1840.0,113.0,172.0,0.0,1379.0,8.0,3085.0,50.0,7598.0,151.0,4213.0,533.0,303.0,14.0,4862.0,240.0,60.0,0.0
"Sikkim",2010.0,928.0,18.0,16.0,1.0,1.0,0.0,21.0,0.0,13.0,0.0,5.0,0.0,12.0,0.0,146.0,0.0,128.0,0.0,16.0,0.0,18.0,0.0,124.0,1.0,6.0,0.0
"Tamil Nadu",2010.0,194519.0,17112.0,3869.0,316.0,38.0,1.0,771.0,6.0,1947.0,179.0,359.0,5.0,2149.0,25.0,4047.0,76.0,11836.0,700.0,14312.0,1281.0,126.0,2.0,2676.0,248.0,171.0,2.0
"Tripura",2010.0,6172.0,663.0,160.0,16.0,9.0,0.0,295.0,25.0,101.0,32.0,35.0,0.0,108.0,7.0,223.0,0.0,392.0,43.0,329.0,23.0,52.0,1.0,125.0,2.0,9.0,0.0
"Uttar Pradesh",2010.0,282923.0,9127.0,11628.0,156.0,3585.0,7.0,2568.0,12.0,13498.0,229.0,1962.0,1.0,5143.0,4.0,4265.0,6.0,15131.0,63.0,29781.0,141.0,6558.0,14.0,20108.0,58.0,279.0,1.0
"Uttarakhand",2010.0,12259.0,533.0,319.0,5.0,181.0,3.0,170.0,1.0,315.0,31.0,54.0,0.0,235.0,0.0,287.0,4.0,1431.0,21.0,2045.0,59.0,101.0,8.0,487.0,18.0,33.0,0.0
"West Bengal",2010.0,135293.0,11302.0,3533.0,213.0,771.0,38.0,2391.0,4.0,2344.0,354.0,916.0,6.0,1028.0,6.0,358.0,2.0,13922.0,1129.0,17326.0,692.0,1051.0,35.0,2695.0,187.0,317.0,7.0
"A. & N. Islands",2010.0,930.0,98.0,7.0,0.0,5.0,0.0,36.0,3.0,15.0,3.0,0.0,0.0,9.0,0.0,64.0,2.0,89.0,0.0,45.0,6.0,8.0,0.0,24.0,5.0,0.0,0.0
"Chandigarh",2010.0,2485.0,98.0,42.0,3.0,18.0,0.0,41.0,3.0,49.0,2.0,24.0,0.0,105.0,0.0,145.0,8.0,470.0,22.0,251.0,6.0,7.0,0.0,132.0,8.0,4.0,0.0
"D. & N. Haveli",2010.0,573.0,12.0,7.0,0.0,1.0,0.0,3.0,0.0,19.0,1.0,10.0,1.0,0.0,0.0,38.0,0.0,62.0,0.0,196.0,3.0,16.0,0.0,20.0,1.0,0.0,0.0
"Daman and Diu",2010.0,244.0,22.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,20.0,0.0,32.0,0.0,30.0,11.0,6.0,0.0,4.0,3.0,0.0,0.0
"Delhi",2010.0,32493.0,1005.0,923.0,30.0,78.0,2.0,580.0,22.0,505.0,7.0,164.0,0.0,1258.0,5.0,999.0,3.0,7277.0,124.0,405.0,22.0,177.0,3.0,991.0,45.0,42.0,0.0
"Lakshadweep",2010.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,5287.0,292.0,158.0,5.0,21.0,3.0,5.0,0.0,27.0,4.0,14.0,0.0,11.0,0.0,61.0,0.0,126.0,15.0,888.0,79.0,4.0,1.0,86.0,5.0,0.0,0.0
"Total 2011",2011.0,2919240.0,193555.0,66150.0,4443.0,6928.0,160.0,28112.0,766.0,54956.0,2527.0,16758.0,250.0,35252.0,294.0,66819.0,1549.0,197401.0,6806.0,334525.0,19461.0,23284.0,760.0,88147.0,4717.0,2063.0,67.0
"Andhra Pradesh",2011.0,219626.0,18938.0,4889.0,695.0,261.0,25.0,1680.0,78.0,2334.0,127.0,634.0,40.0,1154.0,25.0,6442.0,149.0,21867.0,676.0,10694.0,896.0,1212.0,64.0,6989.0,559.0,266.0,18.0
"Arunachal Pradesh",2011.0,2275.0,37.0,59.0,3.0,3.0,0.0,47.0,0.0,100.0,0.0,21.0,1.0,98.0,2.0,144.0,6.0,319.0,1.0,45.0,0.0,41.0,0.0,78.0,1.0,2.0,0.0
"Assam",2011.0,64167.0,2979.0,1611.0,55.0,46.0,2.0,1470.0,0.0,3271.0,8.0,820.0,0.0,979.0,6.0,3201.0,27.0,7870.0,478.0,9862.0,261.0,816.0,7.0,1209.0,95.0,130.0,0.0
"Bihar",2011.0,240063.0,12286.0,8687.0,211.0,545.0,17.0,1185.0,0.0,5547.0,174.0,1510.0,0.0,1899.0,0.0,2300.0,1.0,8431.0,149.0,61484.0,2048.0,3160.0,49.0,5326.0,109.0,88.0,3.0
"Chhattisgarh",2011.0,70659.0,3358.0,1596.0,87.0,39.0,2.0,1240.0,17.0,475.0,25.0,233.0,2.0,690.0,2.0,2431.0,21.0,2875.0,80.0,4830.0,234.0,223.0,6.0,994.0,44.0,61.0,0.0
"Goa",2011.0,3029.0,290.0,79.0,8.0,4.0,0.0,33.0,1.0,44.0,1.0,5.0,0.0,44.0,1.0,272.0,26.0,423.0,40.0,254.0,69.0,22.0,3.0,100.0,14.0,27.0,0.0
"Gujarat",2011.0,153670.0,13581.0,2268.0,140.0,74.0,2.0,612.0,9.0,2102.0,133.0,1115.0,22.0,1630.0,24.0,3274.0,103.0,9224.0,285.0,11518.0,762.0,2187.0,168.0,2475.0,129.0,65.0,4.0
"Haryana",2011.0,59763.0,2945.0,1891.0,108.0,73.0,2.0,764.0,37.0,814.0,46.0,511.0,0.0,909.0,1.0,3046.0,66.0,7389.0,128.0,3852.0,221.0,742.0,45.0,1719.0,78.0,26.0,0.0
"Himachal Pradesh",2011.0,15482.0,2006.0,167.0,19.0,13.0,1.0,177.0,10.0,133.0,12.0,5.0,0.0,31.0,0.0,583.0,52.0,839.0,25.0,2154.0,459.0,93.0,5.0,272.0,25.0,9.0,2.0
"Jammu & Kashmir",2011.0,40140.0,3436.0,302.0,26.0,58.0,0.0,332.0,17.0,934.0,44.0,29.0,0.0,131.0,0.0,819.0,1.0,3745.0,20.0,8972.0,793.0,272.0,2.0,671.0,10.0,69.0,0.0
"Jharkhand",2011.0,48265.0,2804.0,1972.0,66.0,94.0,1.0,749.0,9.0,1253.0,108.0,679.0,24.0,806.0,0.0,827.0,4.0,3600.0,66.0,7070.0,476.0,417.0,2.0,968.0,23.0,20.0,0.0
"Karnataka",2011.0,152780.0,14006.0,3063.0,341.0,101.0,1.0,803.0,34.0,1215.0,117.0,773.0,2.0,1976.0,31.0,3478.0,121.0,7322.0,234.0,27084.0,2814.0,474.0,44.0,4113.0,458.0,70.0,9.0
"Kerala",2011.0,205133.0,6638.0,689.0,44.0,130.0,4.0,1206.0,20.0,339.0,10.0,348.0,0.0,848.0,25.0,1818.0,42.0,3227.0,248.0,39406.0,1113.0,190.0,10.0,3535.0,325.0,39.0,1.0
"Madhya Pradesh",2011.0,319482.0,16162.0,4946.0,371.0,180.0,10.0,4437.0,156.0,1844.0,108.0,495.0,2.0,2856.0,20.0,6118.0,96.0,11722.0,206.0,13578.0,497.0,701.0,28.0,2400.0,113.0,23.0,0.0
"Maharashtra",2011.0,279597.0,30159.0,5474.0,719.0,294.0,18.0,2350.0,183.0,2468.0,296.0,3665.0,112.0,5829.0,60.0,12773.0,631.0,31837.0,1461.0,49479.0,5227.0,2668.0,152.0,9744.0,861.0,237.0,10.0
"Manipur",2011.0,1244.0,205.0,89.0,5.0,1.0,0.0,24.0,0.0,105.0,15.0,0.0,0.0,3.0,0.0,22.0,0.0,165.0,24.0,19.0,51.0,4.0,4.0,37.0,10.0,1.0,0.0
"Meghalaya",2011.0,2076.0,59.0,154.0,2.0,2.0,0.0,128.0,0.0,72.0,5.0,70.0,0.0,68.0,1.0,81.0,2.0,380.0,9.0,13.0,0.0,22.0,2.0,106.0,8.0,20.0,3.0
"Mizoram",2011.0,1525.0,76.0,26.0,2.0,9.0,0.0,74.0,0.0,10.0,0.0,6.0,0.0,12.0,2.0,191.0,2.0,649.0,27.0,0.0,0.0,17.0,2.0,46.0,8.0,2.0,0.0
"Nagaland",2011.0,1050.0,17.0,27.0,0.0,6.0,0.0,27.0,0.0,48.0,3.0,10.0,0.0,61.0,0.0,61.0,0.0,249.0,2.0,0.0,0.0,22.0,3.0,33.0,1.0,9.0,1.0
"Orissa",2011.0,81154.0,6025.0,2046.0,294.0,86.0,14.0,1205.0,19.0,1251.0,64.0,1943.0,23.0,2526.0,15.0,2578.0,16.0,7680.0,109.0,8788.0,650.0,391.0,18.0,1377.0,73.0,25.0,1.0
"Punjab",2011.0,4177.0,3646.0,1397.0,153.0,119.0,11.0,515.0,83.0,730.0,150.0,99.0,0.0,406.0,6.0,2104.0,57.0,4266.0,214.0,0.0,0.0,339.0,28.0,3809.0,514.0,106.0,3.0
"Rajasthan",2011.0,168301.0,13106.0,2206.0,172.0,154.0,6.0,1603.0,39.0,2036.0,123.0,145.0,0.0,1082.0,20.0,3017.0,76.0,8005.0,173.0,3159.0,397.0,293.0,9.0,5307.0,337.0,84.0,3.0
"Sikkim",2011.0,683.0,35.0,7.0,0.0,16.0,0.0,25.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,26.0,1.0,84.0,2.0,83.0,6.0,8.0,0.0,14.0,1.0,6.0,0.0
"Tamil Nadu",2011.0,206293.0,15831.0,3806.0,322.0,31.0,0.0,823.0,14.0,1974.0,179.0,430.0,6.0,2414.0,25.0,3759.0,22.0,12073.0,636.0,15269.0,1283.0,267.0,20.0,3348.0,360.0,119.0,1.0
"Tripura",2011.0,8952.0,1110.0,251.0,55.0,0.0,0.0,257.0,1.0,152.0,1.0,28.0,0.0,151.0,2.0,161.0,0.0,467.0,11.0,572.0,29.0,51.0,0.0,116.0,4.0,14.0,0.0
"Uttar Pradesh",2011.0,379421.0,9684.0,13907.0,186.0,3779.0,22.0,3571.0,0.0,21615.0,371.0,2146.0,8.0,5799.0,14.0,4872.0,4.0,17617.0,102.0,37514.0,340.0,7123.0,32.0,27295.0,104.0,218.0,0.0
"Uttarakhand",2011.0,10190.0,476.0,300.0,11.0,86.0,6.0,148.0,1.0,319.0,15.0,55.0,0.0,284.0,0.0,340.0,0.0,1234.0,14.0,1688.0,48.0,62.0,5.0,387.0,19.0,20.0,1.0
"West Bengal",2011.0,131835.0,11773.0,3051.0,312.0,588.0,15.0,1869.0,1.0,2962.0,354.0,691.0,5.0,1117.0,1.0,434.0,0.0,13514.0,1191.0,15616.0,675.0,1198.0,48.0,3555.0,223.0,266.0,5.0
"A. & N. Islands",2011.0,730.0,98.0,12.0,6.0,4.0,0.0,28.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,59.0,0.0,57.0,4.0,40.0,2.0,5.0,0.0,38.0,1.0,0.0,0.0
"Chandigarh",2011.0,2545.0,145.0,64.0,1.0,2.0,1.0,25.0,2.0,47.0,3.0,23.0,0.0,117.0,2.0,135.0,11.0,624.0,21.0,159.0,6.0,17.0,1.0,180.0,26.0,0.0,0.0
"D. & N. Haveli",2011.0,546.0,22.0,20.0,4.0,0.0,0.0,4.0,0.0,6.0,1.0,18.0,0.0,0.0,0.0,43.0,1.0,84.0,0.0,120.0,5.0,14.0,0.0,30.0,3.0,0.0,0.0
