-----
{
 "description": "This table shows ministry/ department wise , group wise number of sanctioned posts and position of estimated number  of central government employees during 2009-10 to 2010-11.", 
 "file_name": "GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls", 
 "title": "Group-Wise Estimated Number Of Central Government Civilian Regular Employees. ", 
 "url": "http://data.gov.in/sites/default/files/GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls"
}
-----
"Year/
Ministry/
Department","Number of Sanctioned Posts A(G)* 2009-10","Number of Sanctioned Posts A(G)* 2010-11","Number of Sanctioned Posts B(G) 2009-10","Number of Sanctioned Posts B(G) 2010-11","Number of Sanctioned Posts B(NG) 2009-10","Number of Sanctioned Posts B(NG) 2010-11","Number of Sanctioned Posts C(NG)$ 2009-10","Number of Sanctioned Posts C(NG)$ 2010-11","Number of Sanctioned Posts D 2009-10","Number of Sanctioned Posts D 2010-11","Number of Sanctioned Posts Unclassified 2009-10","Number of Sanctioned Posts Unclassified 2010-11","Number of Sanctioned Posts Total 2009-10","Number of Sanctioned Posts Total 2010-11","Number in Position A(G)* 2009-10","Number in Position A(G)* 2010-11","Number in Position B(G) 2009-10","Number in Position B(G) 2010-11","Number in Position B(NG) 2009-10","Number in Position B(NG) 2010-11","Number in Position C(NG)$ 2009-10","Number in Position C(NG)$ 2010-11","Number in Position D 2009-10","Number in Position D 2010-11","Number in Position Unclassified 2009-10","Number in Position Unclassified 2010-11","Number in Position Total 2009-10","Number in Position Total 2010-11"
"Culture**",424.0,390.0,377.0,1594.0,916.0,1656.0,9176.0,5147.0,"NA","NA","NA","NA",10893.0,8787.0,424.0,390.0,377.0,1594.0,916.0,1656.0,9176.0,5147.0,"NA","NA","NA","NA",10893.0,8787.0
"Mines",3458.0,3460.0,705.0,705.0,949.0,949.0,9900.0,9889.0,"NA","NA","NA","NA",15012.0,15003.0,1754.0,1896.0,435.0,422.0,731.0,720.0,6134.0,5718.0,"NA","NA","NA","NA",9054.0,8756.0
"Water Resources",1730.0,1750.0,1190.0,1142.0,2976.0,2940.0,6703.0,6844.0,"NA","NA","NA","NA",12599.0,12676.0,1277.0,1200.0,963.0,898.0,2106.0,1886.0,5148.0,5571.0,"NA","NA","NA","NA",9494.0,9555.0
"Science & Technology",607.0,564.0,822.0,798.0,311.0,189.0,10710.0,10535.0,"NA","NA","NA","NA",12450.0,12086.0,363.0,395.0,651.0,627.0,254.0,728.0,6798.0,5813.0,"NA","NA","NA","NA",8057.0,7563.0
"Personnel, Public Grievances & Pensions",1448.0,1301.0,368.0,630.0,2220.0,770.0,5834.0,7712.0,"NA","NA","NA","NA",9870.0,10413.0,1028.0,874.0,291.0,510.0,1872.0,657.0,5253.0,6377.0,"NA","NA","NA","NA",8444.0,8418.0
"Labour & Employment",1395.0,1329.0,1150.0,1103.0,689.0,776.0,5740.0,5238.0,"NA","NA","NA","NA",8974.0,8446.0,975.0,890.0,725.0,706.0,582.0,519.0,4280.0,4167.0,"NA","NA","NA","NA",6562.0,6282.0
"Earth Sciences",570.0,574.0,1248.0,1261.0,3271.0,3289.0,3693.0,3651.0,"NA","NA","NA","NA",8782.0,8775.0,357.0,358.0,1055.0,1027.0,2168.0,2063.0,2427.0,2342.0,"NA","NA","NA","NA",6007.0,5790.0
"Statistics & Programme Implementation",491.0,497.0,1502.0,1529.0,2887.0,2870.0,1426.0,1378.0,"NA","NA","NA","NA",6306.0,6274.0,390.0,397.0,1233.0,1268.0,1876.0,1814.0,1128.0,1073.0,"NA","NA","NA","NA",4627.0,4552.0
"Commerce",668.0,688.0,884.0,910.0,1034.0,1034.0,4474.0,4472.0,"NA","NA","NA","NA",7060.0,7104.0,668.0,688.0,884.0,910.0,1034.0,1034.0,4474.0,4472.0,"NA","NA","NA","NA",7060.0,7104.0
"Information Technology",2837.0,3251.0,1114.0,684.0,76.0,81.0,1821.0,2018.0,"NA","NA","NA","NA",5848.0,6034.0,2751.0,3127.0,991.0,585.0,68.0,54.0,1467.0,1486.0,"NA","NA","NA","NA",5277.0,5252.0
"Others",10681.0,11063.0,6956.0,6843.0,11610.0,20908.0,44208.0,41549.0,"NA","NA","NA","NA",73455.0,70364.0,8902.0,8896.0,5905.0,5601.0,10071.0,9436.0,37556.0,34745.0,"NA","NA","NA","NA",71488.0,58678.0
"Total",96504.0,98977.0,91307.0,86657.0,115086.0,142098.0,3299398.0,3335797.0,"NA","NA","NA","NA",3602295.0,70364.0,82926.0,84474.0,80405.0,76479.0,95483.0,116249.0,2809545.0,2804736.0,"NA","NA","NA","NA",3068359.0,58678.0
