-----
{
 "description": "The data provide All India (2000-01 to 2010-11) and State-wise (2009-10 and 2010-11) figures for Mining Production of minerals and ores by selected items such as a). Fuels - Coal, Lignite, Natural Gas, Petroleum, Crude; b). Metallic Minerals - Bauxite, Chromite, Copper Concentrate, Gold, Iron Ore,...", 
 "file_name": "PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls", 
 "title": "Production of Minerals and Ores By Selected Items ", 
 "url": "http://data.gov.in/sites/default/files/PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls"
}
-----
"State/ Union Territory","All minerals Value ('000)**","  Fuels Total Value ('000) ***","  Fuels Coal  Quantity (th.tonne)","  Fuels Coal  Value ('000)","  Fuels Lignite Quantity (th.tonne)","Fuels Lignite Value ('000)","  Fuels Natural gas Quantity ","  Fuels Natural gas Value ('000)","Fuels Petroleum (crude) Quantity (th.tonne)","  Fuels Petroleum (crude) Value ('000)","Metallic Minerals Total Value ('000)*","Metallic Minerals Bauxite Quantity (th.tonne)","Metallic Minerals Bauxite Value ('000)","Metallic Minerals Chromite Quantity (tonne)","Metallic Minerals Chromite Value ('000)","Metallic Minerals Copper Conc. Quantity (th.tonne)","Metallic Minerals Copper Conc. Value ('000)","Metallic Minerals Gold Quantity (Kilogram)","Metallic Minerals Gold Value ('000)","Metallic Minerals Iron ore Quantity  (th.tonne)","Metallic Minerals Iron ore Value ('000)","Metallic Minerals Lead concentrate Quantity (tonne)","Metallic Minerals Lead concentrate Value ('000)","Metallic Minerals Manganese ore Quantity (th.tonne)","Metallic Minerals Manganese ore Value ('000)","Metallic Minerals Zinc concetrates Quantity   (Tonne)","Metallic Minerals Zinc concetrates Value ('000)","Non Metallic Minerals Total Value ('000)","Non Metallic Minerals Apatite Quantity    (Tonne)","Non Metallic Minerals Apatite Value ('000)","Non Metallic Minerals Asbestos Quantity (Tonne)","Non Metallic Minerals Asbestos Value ('000)","Non Metallic Minerals Barytes Quantity (Tonne)","Non Metallic Minerals Barytes Value ('000)","Non Metallic Minerals Diamond Quantity (carat)","Non Metallic Minerals Diamond Value ('000)","Non Metallic Minerals Dolomite Quantity (th.tonne)","Non Metallic Minerals Dolomite Value ('000)","Non Metallic Minerals Felspar Quantity   (Tonne)","Non Metallic Minerals Felspar Value ('000)","Non Metallic Minerals Fire-clay Quantity   (Tonne)","Non Metallic Minerals Fire-clay Value ('000)","Non Metallic Minerals Gypsum Quantity (th.tonne)","Non Metallic Minerals Gypsum Value ('000)","Non Metallic Minerals Kaolin(total) Quantity (Tonne)","Non Metallic Minerals Kaolin(total) Value ('000)","Non Metallic Minerals Kyanite Quantity (tonne)","Non Metallic Minerals Kyanite Value ('000)","Non Metallic Minerals Lime-stone Quantity (th.tonne)","Non Metallic Minerals Lime-stone Value ('000)","Non Metallic Minerals Magnesite Quantity (tonne)","Non Metallic Minerals Magnesite Value ('000)","Non Metallic Minerals Mica (crude) Quantity (tonne)","Non Metallic Minerals Mica (crude) Value ('000)","Non Metallic Minerals Phosphorite Quantity (tonne)","Non Metallic Minerals Phosphorite Value ('000)","Non Metallic Minerals Pyrites Quantity (tonne)","Non Metallic Minerals Pyrites Value ('000)","Non Metallic Minerals Salt (Rock) Quantity (tonne)","Non Metallic Minerals Salt (Rock) Value ('000)","Non Metallic Minerals  Sillimanite Quantity (tonne)","Non Metallic Minerals  Sillimanite Value ('000)","Non Metallic Minerals Steatite Quantity (tonne)","Non Metallic Minerals Steatite Value ('000)","Non Metallic Minerals Varmiculite Quantity (tonne)","Non Metallic Minerals Varmiculite Value ('000)","Minor* minerals Value ('000)"
" Punjab",607612.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",607612.0
" Rajasthan",41511159.0,9439409.0,"NA","NA",1207.0,479400.0,239.0,894445.0,447.0,8065564.0,19703484.0,"NA","NA","NA","NA",47.0,1481008.0,"NA","NA",13.0,2594.0,133921.0,1765874.0,8.0,12665.0,1279880.0,13058419.0,12368266.0,"NA","NA","NA","NA",5985.0,2457.0,"NA","NA",225.0,30966.0,265212.0,43083.0,247473.0,40580.0,3337.0,994657.0,436773.0,83958.0,"NA","NA",47180.0,6971469.0,"NA","NA",4.0,123.0,1393321.0,2981088.0,"NA","NA","NA","NA","NA","NA",622389.0,400708.0,"NA","NA",45861749.0
" Sikkim",18787.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",18787.0
" Tamil Nadu",43989059.0,38983962.0,"NA","NA",22338.0,30262900.0,1178.0,4408601.0,239.0,4312461.0,852.0,3.0,852.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5004245.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",451.0,117.0,23260.0,4431.0," NA"," NA","NA","NA","NA","NA",20619.0,3717570.0,235446.0,349195.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",630.0,126.0,1602.0,4293.0,590686.0
" Tripura",2103255.0,2103255.0,"NA","NA","NA","NA",562.0,2103255.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10634.0
" Uttar Pradesh",15478146.0,15067800.0,13968.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",410346.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2455.0,353545.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",27495000.0
" Uttarakhand",230927.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",230927.0,"NA","NA","NA","NA","NA","NA","NA","NA",0.0,6.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA"," NA",59187.0,72332.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",134890.0,104919.0,"NA","NA",499604.0
" West Bengal",20106553.0,20050413.0,23133.0,19908200.0,"NA","NA",38.0,142213.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",56140.0,2110.0,3699.0,"NA","NA","NA","NA","NA","NA","NA","NA",3050.0,1464.0,46179.0,4614.0,"NA","NA",99439.0,42979.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1455113.0
" A. & N. Islands",172786.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",172786.0
" Chandigarh",1206.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1206.0
" D.& N. Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman and Diu",587.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",587.0
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Puducherry",5175.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5175.0
