-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on number of taxed and tax-exempted motor vehicles registered in India such as two wheelers, light motor vehicles (passengers), jeeps, cars, taxis, buses, goods vehicles and other miscellaneous vehicles.", 
 "file_name": "NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS", 
 "title": "All India And State-wise Number Of Taxed And Tax-Exempted Motor Vehicles Registered In India ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS"
}
-----
"State /Union Territory","Two-Wheeler -2009","Two-Wheeler -2010","Two-Wheeler -2011","Light Motor Vehicles(Passengers) -2009","Light Motor Vehicles(Passengers) -2010","Light Motor Vehicles(Passengers) -2011","Jeeps-2009","Jeeps-2010","Jeeps-2011","Cars-2009","Cars-2010","Cars-2011","Taxis-2009","Taxis-2010","Taxis-2011","Buses (b)-2009","Buses (b)-2010","Buses (b)-2011","Goods Vehicles(1)-2009","Goods Vehicles(1)-2010","Goods Vehicles(1)-2011","Miscellaneous(2)-2009","Miscellaneous(2)-2010","Miscellaneous(2)-2011","Total-2009","Total-2010","Total-2011"
"Jharkhand",1570575.0,1738566.0,1947572.0,"NA",160778.0,180934.0,45455.0,52155.0,59892.0,154803.0,174320.0,201269.0,41828.0,259542.0,296771.0,11699.0,12256.0,12847.0,182995.0,316974.0,353305.0,30665.0,35431.0,41116.0,2038020.0,2767408.0,3113182.0
"Karnataka",4796587.0,6404905.0,7033045.0,247077.0,237295.0,259429.0,39669.0,40225.0,41229.0,892160.0,1005291.0,1131201.0,147489.0,115410.0,129272.0,44308.0,53874.0,58012.0,366597.0,377495.0,415491.0,418664.0,705556.0,751898.0,6952551.0,9043976.0,9930483.0
"Kerala",2612341.0,2900238.0,3294953.0,448649.0,491879.0,544485.0,137547.0,137547.0,137547.0,692628.0,826538.0,985736.0,75313.0,84792.0,96666.0,430162.0,383229.0,390430.0,358382.0,320248.0,360981.0,104896.0,139167.0,146742.0,4859918.0,5397652.0,6072019.0
"Madhya Pradesh",4691218.0,5165023.0,5783120.0,60751.0,67488.0,76207.0,39652.0,41396.0,49566.0,272009.0,314464.0,366674.0,94199.0,99241.0,110730.0,31520.0,35105.0,36647.0,162226.0,177054.0,195627.0,659116.0,690805.0,737131.0,6010691.0,6590576.0,7355702.0
"Maharashtra",10212360.0,11181762.0,12429011.0,598013.0,626332.0,640700.0,356986.0,373958.0,394647.0,1603728.0,1790259.0,2027080.0,157916.0,168307.0,168496.0,79073.0,83816.0,89861.0,845617.0,896397.0,973788.0,597215.0,647590.0,710516.0,144590908.0,15768421.0,17434099.0
"Manipur  ",105465.0,139650.0,145286.0,4071.0,7266.0,9954.0,9146.0,11472.0,11901.0,12077.0,15113.0,17019.0,412.0,1595.0,1896.0,2727.0,2769.0,2776.0,9461.0,10510.0,11456.0,4035.0,6077.0,6214.0,147394.0,194452.0,206502.0
"Meghalaya",45747.0,51709.0,56790.0,4842.0,5348.0,6000.0,13652.0,14328.0,15011.0,32995.0,37981.0,43901.0,11352.0,12607.0,14507.0,3905.0,4007.0,4116.0,24172.0,26327.0,29122.0,5212.0,5805.0,6289.0,141877.0,158113.0,175737.0
"Mizoram",32267.0,39902.0,47978.0,2105.0,2219.0,2477.0,8233.0,8813.0,9211.0,9326.0,10382.0,11583.0,5992.0,6465.0,7246.0,1003.0,1036.0,1088.0,6740.0,7510.0,8706.0,4216.0,4129.0,4359.0,69882.0,80456.0,92648.0
"Nagaland",52119.0,55208.0,61085.0,13143.0,13403.0,14284.0,25211.0,25888.0,26313.0,45549.0,47984.0,50249.0,5921.0,6428.0,6716.0,4694.0,5041.0,5573.0,75752.0,82074.0,103126.0,17484.0,4706.0,5307.0,239873.0,254483.0,272653.0
"Orissa",2052980.0,2302694.0,2614980.0,49896.0,57456.0,62830.0,34111.0,36726.0,41966.0,112490.0,133529.0,161024.0,38716.0,41828.0,44585.0,18464.0,19335.0,20616.0,178649.0,196533.0,219691.0,122055.0,143731.0,172346.0,2607361.0,2931832.0,3338038.0
"Punjab",3581837.0,3956279.0,3956279.0,53670.0,57879.0,57879.0,52193.0,54798.0,54798.0,444465.0,484064.0,484064.0,14314.0,15837.0,15837.0,25682.0,27146.0,27146.0,159251.0,169553.0,169553.0,500119.0,508698.0,508698.0,4831531.0,5274254.0,5274254.0
"Rajasthan",4715835.0,5230454.0,5859719.0,103270.0,112986.0,123328.0,182922.0,203692.0,227910.0,402239.0,455924.0,520385.0,60941.0,67542.0,76317.0,69298.0,73257.0,77980.0,318118.0,346981.0,385796.0,636941.0,674826.0,714830.0,6489564.0,7165662.0,7986265.0
"Sikkim",5956.0,6308.0,6843.0,"NA",0.0,0.0,4557.0,4869.0,5251.0,5704.0,8905.0,12264.0,7108.0,7569.0,8011.0,294.0,524.0,586.0,3505.0,4009.0,4370.0,1427.0,1442.0,1458.0,28551.0,33626.0,38783.0
"Tamil Nadu ",10223233.0,11156048.0,12393788.0,215542.0,238682.0,291605.0,57207.0,57417.0,58080.0,1091231.0,1204156.0,1350722.0,188795.0,209689.0,243425.0,114671.0,123999.0,134887.0,649136.0,685040.0,744663.0,351182.0,386502.0,421075.0,12890997.0,14061533.0,15638245.0
"Tripura",85455.0,97895.0,117486.0,16968.0,15749.0,18074.0,4977.0,12340.0,14434.0,9996.0,10095.0,11224.0,1380.0,3199.0,3468.0,2223.0,2194.0,2295.0,14343.0,16631.0,18502.0,8511.0,2016.0,2190.0,143823.0,160119.0,187673.0
"Uttara Khand",570359.0,583927.0,708595.0,12755.0,11622.0,13820.0,4385.0,8103.0,8876.0,98355.0,119859.0,147591.0,17058.0,18660.0,20896.0,4032.0,7527.0,8066.0,27807.0,34419.0,39169.0,52601.0,47254.0,50148.0,787352.0,831372.0,997161.0
"Uttar Pradesh",8521198.0,9493677.0,10563850.0,105096.0,123706.0,146351.0,135149.0,159128.0,176398.0,775569.0,873251.0,984937.0,34107.0,38629.0,47364.0,26331.0,28124.0,31922.0,240433.0,268617.0,307058.0,941202.0,1003217.0,1029352.0,10778812.0,11988349.0,13287232.0
"West Bengal",2017198.0,1864861.0,2260657.0,42312.0,48370.0,58633.0,"NA","NA","NA",560875.0,435352.0,492454.0,66240.0,73696.0,80012.0,35023.0,31996.0,34184.0,251120.0,222716.0,248776.0,70851.0,70147.0,85908.0,3043619.0,2747138.0,3260624.0
"A. & N. Islands",42386.0,43762.0,48819.0,2884.0,2950.0,3248.0,2235.0,"NA","NA",8263.0,10988.0,12863.0,489.0,489.0,489.0,811.0,825.0,846.0,2355.0,2366.0,2429.0,306.0,394.0,406.0,59729.0,61774.0,69100.0
"Chandigarh",511568.0,686316.0,711007.0,"NA",0.0,0.0,"NA","NA","NA",218857.0,239014.0,265135.0,2810.0,3017.0,3275.0,2375.0,3062.0,3684.0,11538.0,17676.0,24331.0,119.0,279.0,460.0,747267.0,949364.0,1007892.0
"D. & N. Haveli ",35059.0,38635.0,43010.0,579.0,605.0,620.0,"NA",549.0,561.0,17210.0,17507.0,19687.0,133.0,142.0,146.0,278.0,295.0,314.0,10100.0,10809.0,11627.0,"NA",290.0,392.0,63359.0,68832.0,76357.0
"Daman & Diu",42861.0,43991.0,47247.0,1151.0,1173.0,1216.0,447.0,477.0,499.0,18297.0,19332.0,20501.0,44.0,45.0,46.0,451.0,461.0,474.0,5907.0,6242.0,6920.0,580.0,621.0,673.0,69738.0,72342.0,77588.0
"Delhi",3846721.0,4107912.0,4395086.0,179640.0,182784.0,190693.0,78884.0,79418.0,79488.0,1802251.0,1956574.0,2116107.0,50351.0,55530.0,62839.0,41142.0,43250.0,45757.0,208294.0,226256.0,242331.0,94884.0,95124.0,95370.0,6302167.0,6746848.0,7227671.0
"Lakshadweep",5639.0,6206.0,6888.0,321.0,321.0,366.0,94.0,95.0,99.0,48.0,64.0,87.0,0.0,105.0,140.0,19.0,0.0,0.0,452.0,494.0,590.0,662.0,570.0,583.0,7235.0,7855.0,8753.0
"Puducherry",434072.0,488490.0,553711.0,5062.0,5124.0,5217.0,3881.0,3881.0,3882.0,64631.0,69813.0,76678.0,1847.0,1892.0,1943.0,2235.0,2373.0,2493.0,14660.0,15544.0,16643.0,11860.0,12012.0,12236.0,538248.0,599129.0,672803.0
