-----
{
 "description": "This table gives All India (from 2000 to 2011) and State-wise (2009-10 and 2010-11) area under Principal Crops (food grains, cereals, oil seeds, tobacco, potato, black pepper, chillies, natural rubber, bananas, ginger, coconut and turmeric).  ", 
 "file_name": "AREA_UNDER_PRINCIPAL_CROPS_0.xls", 
 "title": "Area Under Principal Crops - All India and State Wise ", 
 "url": "http://data.gov.in/sites/default/files/AREA_UNDER_PRINCIPAL_CROPS_0.xls"
}
-----
"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton#","Jute","Mesta","Tea","Coffee","Natural Rubber"," Banana@","Sugar cane","Tobacco"," Potato&","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" Mizoram",47.2,"NA","NA",8.5,"NA","NA","NA","NA",55.7,"NA","NA",3.9,3.9,59.6,"NA",1.1,"NA","NA","NA",2.8,"NA","NA","NA",1.0,"NA","NA","NA",1.4,"NA","NA",1.0,1.3,10.39,"NA",9.63
" Nagaland",168.6,"NA","NA",68.1,"NA",9.7,2.0,"NA",249.4,0.6,3.0,29.9,33.5,282.9,0.7,3.0,58.6,12.8,"NA",101.3,"NA",1.3,"NA",2.0,"NA","NA","NA",5.1,"NA","NA","NA",0.8,5.32,0.9,"NA"
" Orissa ",4365.1,9.0,2.8,81.2,59.0,17.8,4.0,"NA",4538.9,45.0,132.9,689.3,867.2,5406.1,76.3,45.5,12.8,26.4,15.9,292.2,54.0,2.9,17.3,"NA","NA","NA","NA",8.0,"NA","NA","NA",76.1,15.84,51.0,24.7
" Punjab",2802.0,"NA",3.0,139.0,"NA",2.9,3522.0,14.0,6482.9,3.0,4.6,12.5,20.1,6503.0,2.5,7.3,30.0,"NA","NA",61.6,511.0,"NA","NA","NA","NA","NA","NA",60.0,"NA",83.1,"NA",10.41,"NA","NA","NA"
" Rajasthan",150.7,718.5,5168.5,1096.9,"NA",18.7,2394.2,223.4,9770.9,884.4,18.3,2598.3,3501.0,13271.9,326.0,598.3,2309.9,3.3,117.2,4133.1,444.4,"NA","NA","NA","NA","NA","NA",6.0,"NA","NA","NA",15.16,"NA","NA","NA"
" Sikkim ",13.0,"NA","NA",39.5,4.3,2.2,5.2,1.0,65.2,"NA","NA",13.2,13.2,78.4,"NA","NA",5.8,"NA","NA",9.8,"NA","NA","NA",80.0,"NA","NA","NA","NA","NA","NA","NA","NA",6.64,"NA",0.6
" Tamil Nadu",1845.5,238.6,54.4,244.2,82.3,33.1,"NA","NA",2498.1,7.4,26.5,500.8,534.7,3032.8,412.8,62.7,"NA","NA",4.9,495.0,104.1,"NA","NA",9.0,"NA","NA",113.7,293.2,"NA","NA",4.62,62.09,0.81,390.0,19.86
" Tripura",245.5,"NA","NA",2.0,"NA","NA",0.7,"NA",248.2,"NA",1.0,5.4,6.4,254.6,"NA",1.5,1.5,"NA","NA",3.5,1.0,0.5,0.8,"NA","NA","NA","NA",0.9,"NA","NA","NA",2.03,1.42,5.8,0.51
" Uttar Pradesh",5186.7,191.0,848.0,709.0,0.6,7.0,9668.0,171.0,16781.3,618.0,305.0,1617.7,2540.7,19322.0,91.0,332.0,613.0,34.0,"NA",1084.0,5.0,"NA","NA",2.0,"NA","NA","NA",1977.0,"NA",540.8,"NA",14.92,0.83,"NA",2.0
" Uttarakhand",294.0,"NA","NA",28.0,132.0,72.0,395.0,24.0,945.0,1.0,2.0,61.0,64.0,1009.0,1.0,2.0,15.0,"NA","NA",29.0,"NA","NA","NA",115.0,"NA","NA","NA",96.0,"NA","NA","NA","NA",1.48,"NA","NA"
" West Bengal",5630.1,1.5,"NA",97.7,11.8,1.7,315.9,1.7,6060.4,21.8,0.8,159.3,181.9,6242.3,65.9,185.9,410.3,4.7,"NA",682.6,1.3,614.4,5.4,"NA","NA","NA",41.0,13.8,"NA",370.0,"NA",63.25,11.13,28.6,15.22
" A. & N. Islands",8.1,"NA","NA","NA","NA","NA","NA","NA",8.1,"NA","NA",2.9,2.9,11.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.61,"NA","NA",21.7,"NA"
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli",12.5,0.5,"NA","NA",1.3,"NA",0.7,"NA",15.0,"NA",1.5,4.4,5.9,20.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu",2.0,"NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA",1.3,1.3,4.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",6.8,3.3,"NA","NA","NA","NA",21.3,"NA",31.4,"NA","NA","NA","NA",32.4,"NA","NA",3.9,"NA","NA",3.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"," NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.7,"NA"
" Puducherry",20.9,"NA","NA","NA","NA","NA","NA","NA",20.9,"NA","NA",2.0,2.0,22.9,"NA","NA","NA","NA","NA",0.6,"NA","NA","NA","NA","NA","NA","NA",1.8,"NA","NA","NA","NA","NA",2.1,"NA"
