-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of total cognizable crime cases under IPC by courts.", 
 "file_name": "DISPOSAL_OF_TOTAL_COGNIZABLE_CRIME_CASES_UNDER_IPC_BY_COURTS.xls", 
 "title": "All India And State-wise Disposal of Total Cognizable Crime Cases Under IPC By Courts ", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_TOTAL_COGNIZABLE_CRIME_CASES_UNDER_IPC_BY_COURTS.xls"
}
-----
"State / Union Territory","Total cases for trial during the year including the cases carried over from previous year- 2009","Total cases for trial during the year including the cases carried over from previous year- 2010","Total cases for trial during the year including the cases carried over from previous year- 2011","No. of cases compounded or withdrwan- 2009","No. of cases compounded or withdrwan- 2010","No. of cases compounded or withdrwan- 2011","Total (Cases in which trials were completed)- 2009","Total (Cases in which trials were completed)- 2010","Total (Cases in which trials were completed)- 2011","Cases convicted (Cases in which trials were completed)- 2009","Cases convicted (Cases in which trials were completed)- 2010","Cases convicted (Cases in which trials were completed)- 2011","Cases acquitted or discharged (Cases in which trials were completed)- 2009","Cases acquitted or discharged (Cases in which trials were completed)- 2010","Cases acquitted or discharged (Cases in which trials were completed)- 2011","Cases pending trial at the end of the year- 2009","Cases pending trial at the end of the year- 2010","Cases pending trial at the end of the year- 2011"
"Jammu&Kashmir",85140.0,87699.0,95671.0,2698.0,2486.0,2746.0,10323.0,9628.0,10172.0,4776.0,5112.0,5140.0,5547.0,4516.0,5032.0,72119.0,75585.0,82753.0
"Jharkhand",98523.0,92004.0,87717.0,1334.0,293.0,1017.0,33016.0,26586.0,22256.0,10240.0,6429.0,6517.0,22776.0,20157.0,15739.0,64173.0,65125.0,64444.0
"Karnataka",319565.0,344437.0,375061.0,10511.0,4889.0,6248.0,73367.0,74484.0,78182.0,26209.0,26027.0,28294.0,47158.0,48457.0,49888.0,235687.0,265064.0,290631.0
"Kerala",411449.0,467096.0,521648.0,6078.0,5447.0,4198.0,75230.0,89741.0,97344.0,42935.0,56274.0,63500.0,32295.0,33467.0,33844.0,330141.0,371908.0,420106.0
"MadhyaPradesh",765421.0,787351.0,772116.0,51067.0,61200.0,50036.0,112284.0,131902.0,145607.0,53222.0,60489.0,62260.0,59062.0,71413.0,83347.0,602070.0,594249.0,576473.0
"Maharashtra",1368617.0,1424130.0,1466075.0,7681.0,8093.0,24723.0,74273.0,89001.0,99516.0,7149.0,7973.0,8168.0,67124.0,81028.0,91348.0,1286663.0,1327036.0,1341836.0
"Manipur",2642.0,2743.0,2805.0,0.0,0.0,2.0,26.0,54.0,54.0,7.0,37.0,28.0,19.0,17.0,26.0,2616.0,2689.0,2749.0
"Meghalaya",8990.0,9460.0,10048.0,26.0,70.0,119.0,539.0,492.0,699.0,209.0,207.0,289.0,330.0,285.0,410.0,8425.0,8898.0,9230.0
"Mizoram",2977.0,3457.0,2608.0,0.0,0.0,21.0,1589.0,2280.0,1177.0,1446.0,2134.0,1054.0,143.0,146.0,123.0,1388.0,1177.0,1410.0
"Nagaland",2119.0,2361.0,2533.0,13.0,21.0,14.0,566.0,694.0,1193.0,457.0,545.0,1050.0,109.0,149.0,143.0,1540.0,1646.0,1326.0
"Orissa",334498.0,363959.0,383031.0,0.0,0.0,0.0,25517.0,33502.0,34320.0,3359.0,3329.0,3544.0,22158.0,30173.0,30776.0,308981.0,330457.0,348711.0
"Punjab",112245.0,113437.0,115714.0,181.0,937.0,338.0,18926.0,20673.0,22454.0,6625.0,8314.0,8729.0,12301.0,12359.0,13725.0,93138.0,91827.0,92922.0
"Rajasthan",500032.0,518367.0,541539.0,13373.0,12994.0,16174.0,60471.0,56871.0,72599.0,36722.0,33627.0,46825.0,23749.0,23244.0,25774.0,426188.0,448502.0,452766.0
"Sikkim",1363.0,1321.0,1429.0,244.0,35.0,10.0,335.0,188.0,296.0,154.0,89.0,142.0,181.0,99.0,154.0,784.0,1098.0,1123.0
"TamilNadu",359560.0,377050.0,388442.0,699.0,747.0,635.0,109547.0,120578.0,109821.0,68077.0,67060.0,68222.0,41470.0,53518.0,41599.0,249314.0,255725.0,277986.0
"Tripura",14465.0,16420.0,18933.0,359.0,172.0,182.0,2102.0,2478.0,2751.0,267.0,274.0,401.0,1835.0,2204.0,2350.0,12004.0,13770.0,16000.0
"UttarPradesh",531315.0,529925.0,528084.0,7008.0,4483.0,5368.0,100723.0,119001.0,121537.0,54374.0,69448.0,72480.0,46349.0,49553.0,49057.0,423584.0,406441.0,401179.0
"Uttarakhand",27451.0,29111.0,29517.0,531.0,512.0,223.0,4051.0,4721.0,3028.0,2808.0,3175.0,1983.0,1243.0,1546.0,1045.0,22869.0,23878.0,26266.0
"WestBengal",523550.0,593151.0,670534.0,1965.0,2103.0,2255.0,23758.0,23609.0,24703.0,3003.0,3189.0,3298.0,20755.0,20420.0,21405.0,497827.0,567439.0,643576.0
"A.&N.Islands",5584.0,6103.0,6610.0,0.0,0.0,0.0,149.0,165.0,77.0,56.0,82.0,55.0,93.0,83.0,22.0,5435.0,5938.0,6533.0
"Chandigarh",6828.0,7009.0,7295.0,0.0,0.0,0.0,1420.0,1865.0,1348.0,684.0,751.0,664.0,736.0,1114.0,684.0,5408.0,5144.0,5947.0
"D.&N.Haveli",2227.0,2310.0,2445.0,0.0,0.0,0.0,146.0,131.0,93.0,36.0,30.0,12.0,110.0,101.0,81.0,2081.0,2179.0,2352.0
"DamanandDiu",665.0,642.0,639.0,0.0,7.0,51.0,166.0,129.0,138.0,21.0,18.0,30.0,145.0,111.0,108.0,499.0,506.0,450.0
"Delhi",218219.0,219975.0,228826.0,0.0,0.0,0.0,20353.0,19641.0,25316.0,11830.0,10112.0,12177.0,8523.0,9529.0,13139.0,197866.0,200334.0,203510.0
"Lakshadweep",188.0,138.0,201.0,0.0,0.0,0.0,74.0,0.0,51.0,0.0,0.0,37.0,74.0,0.0,14.0,114.0,138.0,150.0
"Puducherry",9919.0,11177.0,8580.0,24.0,580.0,43.0,2368.0,5091.0,1692.0,2136.0,3178.0,1427.0,232.0,1913.0,265.0,7527.0,5506.0,6845.0
