-----
{
 "description": "This Table give All India (2000-01 to 2009-10) and State-wise (2008-09 to 2009-10) data on gross area under irrigation by crops such as Rice, Jowar, Bajra, Maize, Ragi, Wheat, Barley, Cereals, Millets, Pulses, Food Grains, Sugarcane, Fruits, Vegetables, Cotton, Tobacco, Fodder Crops, etc.", 
 "file_name": "GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls", 
 "title": "Gross Area Under Irrigation by Crops ", 
 "url": "http://data.gov.in/sites/default/files/GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls"
}
-----
"Year/State/Union Territory","Rice ('000 hectare) 2008-09","Rice ('000 hectare) 2009-10","Jowar ('000 hectare) 2008-09","Jowar ('000 hectare) 2009-10","Bajra ('000 hectare) 2008-09","Bajra ('000 hectare) 2009-10","Maize ('000 hectare) 2008-09","Maize ('000 hectare) 2009-10","Ragi ('000 hectare) 2008-09","Ragi ('000 hectare) 2009-10","Wheat ('000 hectare) 2008-09","Wheat ('000 hectare) 2009-10","Barley ('000 hectare) 2008-09","Barley ('000 hectare) 2009-10","Other Cereals and Millets ('000 hectare) 2008-09","Other Cereals and Millets ('000 hectare) 2009-10","Total Cereals and Millets  ('000 hectare) 2008-09","Total Cereals and Millets  ('000 hectare) 2009-10","Total Pulses ('000 hectare) 2008-09","Total Pulses ('000 hectare) 2009-10","Total Food grains ('000 hectare) 2008-09","Total Food grains ('000 hectare) 2009-10","Sugarcane ('000 hectare) 2008-09","Sugarcane ('000 hectare) 2009-10","Condiments and Spices ('000 hectare) 2008-09","Condiments and Spices ('000 hectare) 2009-10","Fruits/Vegetables incl Root crops ('000 hectare) 2008-09","Fruits/Vegetables incl Root crops ('000 hectare) 2009-10","Other Food-Crops ('000 hectare) 2008-09","Other Food-Crops ('000 hectare) 2009-10","Total Food-Crops ('000 hectare) 2008-09","Total Food-Crops ('000 hectare) 2009-10","Total Oil Seeds ('000 hectare) 2008-09","Total Oil Seeds ('000 hectare) 2009-10","Cotton ('000 hectare) 2008-09","Cotton ('000 hectare) 2009-10","Tobacco ('000 hectare) 2008-09","Tobacco ('000 hectare) 2009-10","Fodder Crops   ('000 hectare) 2008-09","Fodder Crops   ('000 hectare) 2009-10","Other Non-Food Crops ('000 hectare) 2008-09","Other Non-Food Crops ('000 hectare) 2009-10","Total Non-Food Crops ('000 hectare) 2008-09","Total Non-Food Crops ('000 hectare) 2009-10","Total irrigated Area ('000 hectare) 2008-09","Total irrigated Area ('000 hectare) 2009-10"
" Jharkhand ",26.0,22.0,"NA","NA","NA","NA",2.0,2.0,"NA","NA",50.0,44.0,"NA","NA",1.0,"NA",80.0,69.0,3.0,5.0,83.0,74.0,1.0,1.0,1.0,1.0,77.0,74.0,"NA","NA",162.0,150.0,2.0,5.0,"NA","NA","NA","NA","NA","NA","NA","NA",2.0,5.0,164.0,155.0
" Karnataka",1121.0,1112.0,155.0,134.0,40.0,34.0,431.0,485.0,38.0,31.0,144.0,161.0,"NA","NA","NA","NA",1929.0,1958.0,175.0,180.0,2104.0,2138.0,459.0,497.0,254.0,291.0,286.0,308.0,"NA","NA",3103.0,3234.0,669.0,684.0,82.0,80.0,14.0,23.0,6.0,6.0,69.0,"NA",840.0,862.0,3942.0,4096.0
" Kerala",169.0,169.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",169.0,169.0,"NA","NA",169.0,169.0,3.0,3.0,49.0,53.0,64.0,66.0,15.0,"NA",301.0,291.0,157.0,152.0,"NA","NA","NA","NA","NA","NA","NA","NA",157.0,164.0,458.0,455.0
" Madhya Pradesh",303.0,285.0,1.0,1.0,"NA","NA",15.0,15.0,"NA","NA",3352.0,3776.0,41.0,40.0,"NA","NA",3711.0,4117.0,1715.0,1688.0,5426.0,5805.0,80.0,75.0,254.0,282.0,215.0,239.0,"NA","NA",5975.0,6401.0,432.0,417.0,252.0,275.0,"NA","NA",33.0,37.0,22.0,"NA",740.0,761.0,6714.0,7162.0
" Maharashtra *",397.0,383.0,388.0,398.0,44.0,52.0,82.0,101.0,"NA","NA",755.0,799.0,"NA","NA","NA","NA",1666.0,1734.0,307.0,340.0,1973.0,2073.0,834.0,817.0,152.0,152.0,958.0,906.0,"NA","NA",3917.0,3949.0,153.0,143.0,85.0,92.0,2.0,2.0,120.0,116.0,50.0,"NA",411.0,403.0,4328.0,4352.0
" Manipur *",52.0,52.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",52.0,52.0,"NA","NA",52.0,52.0,"NA","NA","NA","NA","NA","NA","NA","NA",52.0,52.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",52.0,52.0
" Meghalaya ",43.0,50.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",44.0,50.0,"NA","NA",44.0,50.0,"NA","NA","NA","NA",26.0,21.0,"NA","NA",70.0,70.0,3.0,3.0,"NA","NA","NA","NA","NA","NA","NA","NA",3.0,3.0,73.0,74.0
" Mizoram",11.0,10.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.0,10.0,"NA","NA",11.0,10.0,"NA","NA","NA","NA","NA","NA","NA","NA",11.0,10.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.0,10.0
" Nagaland",77.0,78.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA","NA","NA",78.0,79.0,"NA","NA",79.0,79.0,"NA","NA","NA","NA","NA","NA","NA","NA",79.0,79.0,4.0,7.0,"NA","NA","NA","NA","NA","NA","NA","NA",4.0,7.0,82.0,85.0
" Orissa *",2083.0,2083.0,"NA","NA","NA","NA",38.0,38.0,28.0,28.0,20.0,20.0,"NA","NA","NA","NA",2169.0,2169.0,154.0,154.0,2323.0,2323.0,38.0,38.0,93.0,93.0,547.0,567.0,"NA","NA",3000.0,3021.0,164.0,164.0,2.0,2.0,4.0,3.0,"NA","NA",7.0,"NA",177.0,176.0,3177.0,3197.0
" Punjab ",2722.0,2784.0,"NA","NA",5.0,3.0,97.0,100.0,"NA","NA",3475.0,3474.0,16.0,14.0,5.0,6.0,6320.0,6380.0,22.0,18.0,6342.0,6398.0,77.0,58.0,1.0,1.0,159.0,160.0,6.0,"NA",6586.0,6617.0,54.0,52.0,528.0,509.0,"NA","NA",501.0,494.0,55.0,"NA",1139.0,1097.0,7724.0,7714.0
" Rajasthan",78.0,101.0,2.0,4.0,270.0,233.0,14.0,11.0,"NA","NA",2282.0,2385.0,283.0,221.0,"NA",1.0,2929.0,2955.0,561.0,472.0,3490.0,3428.0,6.0,6.0,523.0,538.0,138.0,148.0,1.0,"NA",4157.0,4120.0,2758.0,2225.0,283.0,408.0,1.0,1.0,542.0,314.0,169.0,"NA",3753.0,3189.0,7910.0,7309.0
" Sikkim *",12.0,11.0,"NA","NA","NA","NA",1.0,1.0,"NA","NA",1.0,1.0,"NA","NA","NA","NA",15.0,13.0,"NA","NA",15.0,14.0,"NA","NA",1.0,1.0,1.0,4.0,"NA","NA",17.0,18.0,1.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.0,18.0
" Tamil Nadu",1802.0,1712.0,26.0,24.0,6.0,6.0,137.0,109.0,12.0,10.0,"NA","NA","NA","NA","NA","NA",1984.0,1862.0,31.0,33.0,2014.0,1895.0,309.0,293.0,66.0,70.0,317.0,317.0,"NA","NA",2706.0,2575.0,554.0,530.0,32.0,30.0,5.0,7.0,19.0,23.0,77.0,"NA",687.0,663.0,3393.0,3238.0
" Tripura *",93.0,94.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",93.0,95.0,1.0,1.0,94.0,96.0,"NA","NA",1.0,1.0,5.0,9.0,"NA","NA",100.0,106.0,1.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,101.0,106.0
" Uttarakhand ",195.0,198.0,"NA","NA","NA","NA",1.0,"NA","NA","NA",213.0,214.0,"NA","NA","NA","NA",409.0,413.0,3.0,4.0,412.0,417.0,106.0,98.0,"NA","NA",21.0,20.0,"NA","NA",540.0,536.0,7.0,8.0,"NA","NA","NA","NA",22.0,22.0,1.0,"NA",30.0,31.0,570.0,567.0
" Uttar Pradesh ",4732.0,4096.0,2.0,1.0,58.0,56.0,274.0,240.0,"NA","NA",9485.0,9484.0,129.0,120.0,14.0,14.0,14692.0,14011.0,583.0,651.0,15275.0,14662.0,1970.0,1841.0,60.0,73.0,912.0,934.0,4.0,4.0,18222.0,17514.0,522.0,514.0,4.0,5.0,24.0,24.0,590.0,590.0,251.0,"NA",1390.0,1383.0,19612.0,18896.0
" West Bengal ",2860.0,2713.0,"NA",1.0,"NA","NA",13.0,14.0,7.0,6.0,295.0,303.0,1.0,1.0,1.0,"NA",3177.0,3038.0,43.0,43.0,3220.0,3081.0,10.0,8.0,83.0,83.0,1247.0,1261.0,"NA","NA",4560.0,4433.0,602.0,586.0,2.0,1.0,12.0,14.0,"NA","NA",474.0,"NA",1091.0,1092.0,5651.0,5525.0
" A. & N. Islands ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Chandigarh *","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA",1.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA",1.0,1.0,1.0,1.0
" D. & N. Haveli ",4.0,4.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0,"NA","NA","NA","NA","NA",5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,"NA","NA",1.0,1.0,"NA","NA",6.0,7.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.0,7.0
" Daman and Diu ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",7.0,7.0,3.0,3.0,"NA","NA","NA","NA","NA","NA",19.0,21.0,"NA","NA","NA","NA",29.0,31.0,"NA","NA",29.0,32.0,"NA","NA","NA","NA",1.0,1.0,"NA","NA",30.0,32.0,"NA",1.0,"NA","NA","NA","NA",1.0,1.0,"NA","NA",1.0,2.0,31.0,34.0
" Lakshadweep ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0
" Puducherry",21.0,21.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",21.0,21.0,"NA","NA",21.0,21.0,2.0,2.0,"NA","NA",1.0,1.0,"NA","NA",24.0,24.0,2.0,1.0,"NA","NA","NA","NA","NA","NA",1.0,"NA",3.0,3.0,27.0,27.0
