-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) actual strength of armed police and civil police at the end of year.", 
 "file_name": "ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls", 
 "title": "All India and State-wise Actual Police Strength ", 
 "url": "http://data.gov.in/sites/default/files/ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls"
}
-----
"State/U.T","Year","Armed Police - DG/Addl.DG/IG/DIG","Armed Police - SSP/SP/Addl.SP/ASP/DY.SP","Armed Police - Inspectors/Sub-Inspectors and A.S.I","Armed Police - Officers below A.S.I","Armed Police - Total","Civil Police - DG/Addl.DG/IG/DIG","Civil Police - SSP/SP/Addl.SP/ASP/DY.SP","Civil Police - Inspectors/Sub-Inspectors and A.S.I","Civil Police - Officers below A.S.I","Civil Police - Total"
"Uttar Pradesh",2009.0,8.0,118.0,1496.0,31744.0,33366.0,126.0,937.0,8485.0,104885.0,114433.0
"Uttarakhand",2009.0,1.0,10.0,103.0,4020.0,4134.0,14.0,101.0,733.0,10605.0,11453.0
"WestBengal",2009.0,7.0,129.0,3458.0,18048.0,21642.0,88.0,398.0,15482.0,45748.0,61716.0
"A. & N.Islands",2009.0,0.0,6.0,18.0,778.0,802.0,3.0,14.0,430.0,2480.0,2927.0
"Chandigarh",2009.0,0.0,0.0,0.0,574.0,574.0,2.0,17.0,480.0,3622.0,4121.0
"D. & N.Haveli",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,205.0,222.0
"Daman and Diu",2009.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,201.0,220.0
"Delhi",2009.0,3.0,31.0,561.0,5626.0,6221.0,34.0,311.0,11159.0,46718.0,58222.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,234.0,254.0
"Puducherry",2009.0,0.0,2.0,19.0,628.0,649.0,2.0,20.0,206.0,1268.0,1496.0
"Total 2010",2010.0,77.0,2044.0,22527.0,332344.0,356992.0,1310.0,9753.0,166746.0,1045510.0,1223319.0
"Andhra Pradesh",2010.0,3.0,131.0,1090.0,13310.0,14534.0,83.0,749.0,8004.0,86534.0,95370.0
"Arunachal Pradesh",2010.0,0.0,30.0,197.0,3712.0,3939.0,5.0,54.0,541.0,2906.0,3506.0
"Assam",2010.0,0.0,200.0,971.0,24204.0,25375.0,41.0,295.0,4623.0,23735.0,28694.0
"Bihar",2010.0,4.0,51.0,904.0,10982.0,11941.0,50.0,333.0,10640.0,38892.0,49915.0
"Chhattisgarh",2010.0,4.0,68.0,1303.0,14404.0,15779.0,24.0,287.0,2175.0,23560.0,26046.0
"Goa",2010.0,0.0,0.0,27.0,634.0,661.0,3.0,37.0,377.0,3621.0,4038.0
"Gujarat",2010.0,4.0,23.0,1680.0,14229.0,15936.0,54.0,234.0,10188.0,38172.0,48648.0
"Haryana",2010.0,1.0,40.0,382.0,4112.0,4535.0,42.0,189.0,2081.0,40649.0,42961.0
"Himachal Pradesh",2010.0,1.0,77.0,293.0,3533.0,3904.0,39.0,93.0,1562.0,7977.0,9671.0
"Jammu & Kashmir",2010.0,7.0,225.0,1369.0,27552.0,29153.0,35.0,439.0,5670.0,41715.0,47859.0
"Jharkhand",2010.0,1.0,48.0,839.0,11919.0,12807.0,35.0,195.0,4756.0,28820.0,33806.0
"Karnataka",2010.0,3.0,52.0,288.0,7565.0,7908.0,68.0,494.0,6858.0,56269.0,63689.0
"Kerala",2010.0,1.0,39.0,267.0,2875.0,3182.0,21.0,338.0,3755.0,33254.0,37368.0
"Madhya Pradesh",2010.0,10.0,100.0,1907.0,21373.0,23390.0,133.0,585.0,6544.0,45503.0,52765.0
"Maharashtra",2010.0,0.0,48.0,1199.0,12968.0,14215.0,103.0,696.0,24793.0,140148.0,165740.0
"Manipur",2010.0,0.0,89.0,407.0,12778.0,13274.0,12.0,113.0,1343.0,8781.0,10249.0
"Meghalaya",2010.0,0.0,36.0,150.0,4163.0,4349.0,19.0,54.0,920.0,4905.0,5898.0
"Mizoram",2010.0,0.0,56.0,278.0,6837.0,7171.0,7.0,81.0,1093.0,2381.0,3562.0
"Nagaland",2010.0,0.0,34.0,135.0,4197.0,4366.0,22.0,72.0,456.0,5087.0,5637.0
"Orissa",2010.0,0.0,136.0,733.0,13611.0,14480.0,43.0,338.0,6622.0,21962.0,28965.0
"Punjab",2010.0,8.0,47.0,1157.0,17466.0,18678.0,52.0,453.0,6309.0,41178.0,47992.0
"Rajasthan",2010.0,5.0,106.0,255.0,11596.0,11962.0,46.0,757.0,7584.0,51221.0,59608.0
"Sikkim",2010.0,1.0,13.0,106.0,2039.0,2159.0,17.0,68.0,259.0,1301.0,1645.0
"Tamil Nadu",2010.0,0.0,65.0,638.0,13166.0,13869.0,76.0,835.0,9244.0,62731.0,72886.0
"Tripura",2010.0,3.0,65.0,357.0,13163.0,13588.0,14.0,163.0,1568.0,8926.0,10671.0
"Uttar Pradesh",2010.0,11.0,101.0,1361.0,29425.0,30898.0,117.0,939.0,8508.0,101670.0,111234.0
"Uttarakhand",2010.0,1.0,16.0,182.0,3961.0,4160.0,13.0,98.0,909.0,12864.0,13884.0
"WestBengal",2010.0,6.0,113.0,3511.0,18561.0,22191.0,92.0,424.0,16391.0,46999.0,63906.0
"A. & N.Islands",2010.0,0.0,6.0,17.0,783.0,806.0,3.0,16.0,449.0,2465.0,2933.0
"Chandigarh",2010.0,0.0,0.0,0.0,635.0,635.0,2.0,14.0,604.0,3804.0,4424.0
"D. & N.Haveli",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,191.0,208.0
"Daman and Diu",2010.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,201.0,220.0
"Delhi",2010.0,3.0,28.0,503.0,6060.0,6310.0,36.0,282.0,11566.0,55384.0,67268.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,307.0,332.0
"Puducherry",2010.0,0.0,1.0,21.0,531.0,541.5,2.0,20.0,302.0,1397.0,1721.0
"Total 2011",2011.0,73.0,2103.0,24605.0,352053.0,378834.0,1298.0,9671.0,177723.0,1092625.0,1281317.0
"Andhra Pradesh",2011.0,0.0,135.0,1469.0,18113.0,19717.0,62.0,621.0,8396.0,60608.0,69687.0
"Arunachal Pradesh",2011.0,0.0,30.0,154.0,3712.0,3896.0,6.0,52.0,480.0,3021.0,3559.0
"Assam",2011.0,0.0,200.0,971.0,24204.0,25375.0,41.0,295.0,4623.0,23735.0,28694.0
"Bihar",2011.0,4.0,61.0,1002.0,12283.0,13350.0,52.0,369.0,11145.0,42630.0,54196.0
"Chhattisgarh",2011.0,4.0,61.0,1293.0,15152.0,16510.0,28.0,288.0,3228.0,24053.0,27597.0
"Goa",2011.0,0.0,1.0,44.0,1158.0,1203.0,3.0,37.0,368.0,3788.0,4196.0
"Gujarat",2011.0,4.0,30.0,1820.0,17218.0,19072.0,56.0,235.0,10152.0,42155.0,52598.0
"Haryana",2011.0,1.0,32.0,523.0,6822.0,7378.0,38.0,224.0,5160.0,37565.0,42987.0
"Himachal Pradesh",2011.0,1.0,30.0,306.0,4612.0,4949.0,36.0,142.0,1590.0,7917.0,9685.0
"Jammu & Kashmir",2011.0,7.0,235.0,1359.0,26555.0,28156.0,54.0,444.0,5567.0,42584.0,48649.0
"Jharkhand",2011.0,2.0,41.0,821.0,13704.0,14568.0,28.0,163.0,6112.0,34276.0,40579.0
"Karnataka",2011.0,0.0,67.0,302.0,7817.0,8186.0,72.0,544.0,7863.0,58034.0,66513.0
"Kerala",2011.0,3.0,44.0,480.0,5245.0,5772.0,19.0,379.0,3746.0,35087.0,39231.0
"Madhya Pradesh",2011.0,10.0,110.0,1568.0,17159.0,18847.0,136.0,647.0,7108.0,45767.0,53658.0
"Maharashtra",2011.0,4.0,44.0,1345.0,12432.0,13825.0,96.0,803.0,26833.0,141414.0,169146.0
"Manipur",2011.0,0.0,96.0,389.0,13089.0,13574.0,19.0,99.0,1732.0,8437.0,10287.0
"Meghalaya",2011.0,0.0,53.0,217.0,5011.0,5281.0,15.0,54.0,873.0,5077.0,6019.0
"Mizoram",2011.0,0.0,75.0,279.0,6445.0,6799.0,6.0,74.0,1112.0,2870.0,4062.0
"Nagaland",2011.0,0.0,34.0,135.0,4197.0,4366.0,22.0,72.0,456.0,5087.0,5637.0
"Orissa",2011.0,0.0,133.0,617.0,15745.0,16495.0,29.0,363.0,6744.0,22345.0,29481.0
"Punjab",2011.0,7.0,52.0,1250.0,17857.0,19166.0,55.0,382.0,5954.0,41549.0,47940.0
"Rajasthan",2011.0,3.0,57.0,227.0,11883.0,12170.0,61.0,594.0,7225.0,56306.0,64186.0
"Sikkim",2011.0,1.0,20.0,126.0,2662.0,2809.0,13.0,58.0,244.0,1326.0,1641.0
"Tamil Nadu",2011.0,2.0,64.0,830.0,13035.0,13931.0,70.0,826.0,7724.0,73194.0,81814.0
"Tripura",2011.0,3.0,65.0,357.0,13163.0,13588.0,14.0,163.0,1568.0,8926.0,10671.0
"Uttar Pradesh",2011.0,7.0,104.0,1202.0,30635.0,31948.0,111.0,938.0,9421.0,145007.0,155477.0
"Uttarakhand",2011.0,2.0,65.0,106.0,4023.0,4196.0,13.0,48.0,1310.0,12878.0,14249.0
"WestBengal",2011.0,6.0,135.0,4794.0,18529.0,23464.0,97.0,412.0,17333.0,42608.0,60450.0
"A. & N.Islands",2011.0,0.0,1.0,16.0,787.0,804.0,4.0,22.0,439.0,2774.0,3239.0
"Chandigarh",2011.0,0.0,1.0,0.0,627.0,628.0,2.0,18.0,604.0,4904.0,5528.0
"D. & N.Haveli",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,288.0,306.0
"Daman and Diu",2011.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,44.0,302.0,351.0
"Delhi",2011.0,2.0,25.0,586.0,7818.0,8431.0,37.0,275.0,12197.0,54177.0,66686.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,393.0,422.0
"Puducherry",2011.0,0.0,2.0,17.0,361.0,380.0,2.0,21.0,330.0,1543.0,1896.0
