-----
{
 "description": "Data provides Meteorological sub-division wise monthly actual rainfall figures from 2009 to 2011.", 
 "file_name": "MONTHLY_ACTUAL_RAINFALL_FROM_2009_TO_2011.XLS", 
 "title": "Meteorological Sub-division Wise Monthly Actual Rainfall From 2009 To 2011 ", 
 "url": "http://data.gov.in/sites/default/files/MONTHLY_ACTUAL_RAINFALL_FROM_2009_TO_2011.XLS"
}
-----
"Sub-division ","January 2009 (in millimetre)","January 2010 (in millimetre)","January 2011 (in millimetre)","February 2009 (in millimetre)","February 2010 (in millimetre)","February 2011 (in millimetre)","March 2009 (in millimetre)","March 2010 (in millimetre)","March 2011 (in millimetre)","     April 2009 (in millimetre)","     April 2010 (in millimetre)","     April 2011 (in millimetre)","May 2009 (in millimetre)","May 2010 (in millimetre)","May 2011 (in millimetre)","June 2009 (in millimetre)","June 2010 (in millimetre)","June 2011 (in millimetre)","July 2009 (in millimetre)","July 2010 (in millimetre)","July 2011 (in millimetre)"," August 2009 (in millimetre)"," August 2010 (in millimetre)"," August 2011 (in millimetre)","  September 2009 (in millimetre)","  September 2010 (in millimetre)","  September 2011 (in millimetre)","   October 2009 (in millimetre)","   October 2010 (in millimetre)","   October 2011 (in millimetre)","   November 2009 (in millimetre)","   November 2010 (in millimetre)","   November 2011 (in millimetre)","   December 2009 (in millimetre)","   December 2010 (in millimetre)","   December 2011 (in millimetre)"
"Uttar Pradesh West ",3.3,3.0,0.8,4.7,13.3,15.3,1.7,0.4,4.5,8.5,0.3,4.4,14.2,8.7,26.9,14.0,12.7,168.6,123.9,272.5,232.3,186.2,238.6,227.2,118.2,248.4,96.0,59.8,2.6,0.0,14.6,14.8,0.0,3.3,3.4,0.0
"Uttaranchal ",3.5,8.7,26.2,23.1,53.1,73.3,2.3,4.3,20.0,21.6,12.9,35.0,30.3,60.4,89.0,68.3,109.2,262.9,320.4,538.8,455.4,313.5,515.7,564.2,195.9,522.3,171.8,87.2,12.0,6.0,7.7,5.1,2.1,2.2,21.8,2.3
"Haryana,Chandigarh & Delhi",4.1,4.8,0.6,7.1,10.5,20.8,6.3,0.6,3.9,13.0,0.2,5.3,9.4,2.4,23.0,14.6,19.9,73.7,78.7,176.4,73.7,56.2,183.5,112.3,157.5,185.7,116.1,0.9,1.6,0.0,2.4,2.5,0.0,0.2,10.0,0.2
"Punjab",10.4,2.7,3.6,17.1,12.3,33.0,10.7,0.5,6.7,21.3,0.3,12.2,4.4,3.5,14.5,10.2,34.5,98.8,166.7,208.6,85.0,82.4,121.3,161.3,71.8,94.6,114.3,2.7,5.8,0.6,6.1,0.4,0.2,0.0,16.6,3.4
"Himachal Pradesh",48.8,18.2,35.1,45.2,85.6,98.5,30.3,31.8,61.0,51.8,47.2,59.5,50.2,79.4,47.1,37.2,125.8,141.6,156.6,269.8,164.9,126.7,284.3,321.5,187.0,195.2,104.8,12.3,24.1,7.6,46.0,9.1,0.6,13.6,57.4,9.6
"Jammu & Kashmir",121.5,33.6,39.9,115.6,154.1,188.9,60.6,41.0,130.0,104.5,86.3,121.9,58.0,167.6,47.8,59.1,91.9,100.4,135.0,231.5,123.2,95.5,256.5,188.6,48.8,93.8,108.4,7.5,36.8,26.2,50.2,12.3,15.5,16.3,52.2,31.3
"Rajasthan West",1.5,1.1,0.0,2.7,1.3,12.8,4.9,0.3,1.4,0.8,0.5,2.4,3.7,1.8,8.7,21.9,48.4,26.1,89.5,127.6,93.0,31.8,161.7,165.9,9.6,101.9,116.3,0.1,0.6,0.1,0.0,24.1,0.0,0.1,3.9,0.0
"Rajasthan East",0.1,1.7,0.0,0.0,1.4,13.0,1.6,0.1,0.5,0.2,0.3,0.9,2.5,0.3,5.4,37.2,28.1,151.5,207.2,202.7,197.0,133.1,284.1,310.8,52.7,144.6,170.0,14.7,0.3,0.0,10.9,75.1,0.0,0.7,2.6,0.0
"Madhya Pradesh West",5.1,1.2,0.0,0.0,4.7,1.5,0.5,0.7,0.7,0.8,0.0,0.9,6.3,0.2,223.9,51.7,60.5,309.9,318.7,258.0,348.0,164.7,298.6,175.5,122.3,135.1,175.5,60.4,11.1,0.1,53.1,46.8,0.0,13.6,1.0,0.0
"Madhya Pradesh East ",13.2,2.4,0.1,0.3,8.4,2.0,1.8,1.0,0.9,2.8,0.3,8.9,4.7,3.3,7.7,35.8,58.8,316.1,337.9,366.5,317.7,183.5,279.5,310.9,181.0,215.1,254.8,61.8,17.4,1.6,78.1,11.4,0.0,9.6,2.2,0.0
"Gujarat Region",0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,61.1,15.9,402.1,342.8,271.5,137.5,386.4,456.4,57.0,220.9,157.5,27.8,8.3,2.4,8.2,39.9,0.0,0.0,0.3,0.0
"Saurashtra,Kutch & Diu",0.0,0.2,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,69.0,72.6,24.3,430.2,408.0,201.2,103.5,340.8,284.6,10.1,184.5,209.6,2.8,5.5,3.3,1.3,62.2,0.1,0.0,0.0,0.0
"Konkan & Goa",0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.1,2.8,4.4,3.8,8.7,0.7,329.9,671.8,837.1,1325.9,1405.5,1436.9,297.4,838.1,968.8,363.2,522.0,473.4,299.7,188.3,109.5,118.2,109.2,11.6,0.0,1.5,0.0
"Madhya Maharashtra",0.1,2.9,0.0,0.0,0.5,1.5,0.8,2.8,0.6,0.2,4.4,8.7,11.3,4.3,12.3,66.0,184.3,130.1,304.2,263.7,245.3,146.3,229.1,243.0,167.1,161.8,142.8,96.2,75.9,58.6,121.1,75.8,0.0,4.8,0.8,0.0
"Marathwada",0.0,11.4,0.0,0.0,7.0,5.3,0.2,7.6,0.6,0.8,0.6,11.5,17.3,3.2,9.9,58.9,118.3,69.5,150.4,328.6,241.6,167.5,297.7,231.4,153.0,159.7,90.5,62.6,63.7,25.4,69.8,40.4,0.0,7.0,1.2,0.0
"Vidarbha",0.0,16.2,0.0,0.0,15.3,9.2,12.6,13.3,1.8,2.3,0.6,28.3,12.9,0.6,17.0,79.1,145.0,145.1,315.4,448.3,251.3,175.5,387.8,315.5,92.0,233.6,185.6,39.8,51.7,4.6,69.1,39.7,0.0,5.5,3.1,0.1
"Chattisgarh",1.3,5.3,0.1,0.0,2.8,14.2,0.0,1.9,1.8,1.3,4.7,42.5,10.3,5.7,16.6,43.5,89.6,193.2,431.5,397.3,271.4,237.1,303.8,374.2,84.1,244.0,381.7,22.9,55.6,13.7,27.6,13.4,0.0,0.1,23.7,3.6
"Coastal Andhra Pradesh",0.4,14.9,1.9,0.0,2.1,20.7,4.1,3.3,0.8,3.4,13.8,44.3,45.9,180.1,52.0,53.9,138.4,76.0,97.0,272.5,167.5,143.0,231.8,198.7,135.7,193.9,94.2,73.3,205.9,104.1,168.2,240.5,60.6,20.1,127.7,14.7
"Telangana",2.2,11.2,0.0,0.0,7.2,9.7,5.3,0.9,2.3,6.2,10.9,33.1,26.9,40.6,20.3,65.5,102.3,80.5,112.2,389.5,261.6,165.4,278.9,230.3,154.8,242.3,84.4,94.3,101.7,15.7,31.9,45.7,1.7,1.1,17.7,0.0
"Rayalseema",0.5,9.2,0.1,0.0,0.5,6.8,4.9,0.3,0.0,3.5,25.4,34.9,63.5,77.0,43.7,62.9,94.6,51.4,22.0,155.0,109.7,120.0,169.4,164.3,185.2,100.6,53.0,84.9,82.9,89.2,104.6,163.5,71.0,20.8,28.7,18.7
"Tamil Nadu ",7.5,11.4,7.5,0.0,0.1,27.8,30.4,2.1,8.7,35.4,21.4,94.8,64.4,100.7,39.3,33.7,71.0,35.2,58.5,80.2,63.8,96.1,107.8,114.1,126.4,120.2,85.8,62.2,153.6,220.5,314.1,326.5,252.4,105.7,127.2,63.9
"Coastal Karnataka",0.0,11.7,0.0,0.0,0.0,0.5,28.7,2.1,0.8,19.4,60.5,65.2,112.6,90.9,45.8,491.2,751.6,1069.5,1645.9,1286.5,1154.8,497.4,677.4,954.3,569.2,532.1,598.1,260.9,347.5,169.7,144.0,235.1,87.6,28.9,12.1,0.1
"North Interior Karnataka",0.0,9.1,0.2,0.0,2.9,3.9,7.3,0.7,0.8,10.4,19.7,44.8,56.4,44.4,49.4,93.2,113.6,91.0,119.4,180.7,141.0,167.4,208.7,148.0,236.3,112.2,60.3,221.5,84.3,78.5,47.8,79.4,2.3,17.4,1.6,0.0
"South Interior Karnataka",0.0,9.0,0.1,0.0,0.6,8.6,27.4,6.4,7.6,25.3,79.8,87.3,99.9,139.9,88.9,96.0,133.9,165.1,322.6,225.8,189.4,154.7,228.7,184.3,249.5,152.3,100.8,103.8,134.2,151.6,70.5,194.0,54.6,27.5,4.1,2.2
"Kerala",3.2,18.4,20.6,1.3,1.0,46.1,64.2,31.9,25.3,67.8,140.3,165.2,190.4,189.8,121.6,433.6,669.1,790.5,927.5,630.0,538.4,270.3,358.3,495.3,327.6,273.8,391.9,210.1,442.5,230.9,274.2,339.0,165.8,45.7,47.9,50.0
"Lakshadweep ",4.7,18.8,5.1,1.4,0.0,2.8,0.1,1.2,3.2,18.2,35.7,86.0,162.0,79.1,107.2,401.6,320.2,153.6,266.4,338.4,350.5,185.0,333.4,254.9,144.9,162.9,255.0,89.2,152.8,117.4,166.4,201.4,180.8,132.6,81.5,14.9
