-----
{
 "description": "This table shows the number of applicants on the live registered on the employment exchanges which are under the control of director general of employment and training, ministry of labour and employment, register names of the person seeking employment and help them to secure employment. It gives...", 
 "file_name": "PERFORMANCE_OF_EMPLOYMENT_EXCHANGES_1.xls", 
 "title": "Performance Of Employment Exchanges ", 
 "url": "http://data.gov.in/sites/default/files/PERFORMANCE_OF_EMPLOYMENT_EXCHANGES_1.xls"
}
-----
"State/
Union Territories","No of Employment
Exchanges$ - 2009","No of Employment
Exchanges$ - 2010"," Registrations - 2009"," Registrations - 2010","Vacancies
notified- 2009 @","Vacancies
notified- 2010 @","Submissions - 2009","Submissions - 2010","Placements -2009 @","Placements -2010 @","Live
Register$ - 2009","Live
Register$ - 2010","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," ",""
