"S.No.","Name of State Road Transport Undertaking (SRTU)","Avg. Fleet Held (Number) ","Avg Fleet Operated (Number)    ","Avg Age of Fleet (Years)  ","Over aged vehicles (%)","Revenue Earning Kilometres (Lakhs) ","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","  Passenger Kilometres Offered (Lakhs) ","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","Number of Accidents  "," Number of Fatal Accidents   "
27.0,"Pune Mahamandal",1549.0,1224.0,7.1,2.86,1032.01,9780.0,3.37,64754.93,36394.66,4499.68,98.0,32.0
28.0,"Rajasthan SRTC",4476.0,4163.0,4.05,34.56,5992.01,20486.0,5.05,299601.0,222004.34,3391.21,493.0,168.0
29.0,"South Bengal STC",507.0,350.0,6.75,19.53,378.11,2388.0,4.05,18905.5,14916.48,927.34,56.0,12.0
30.0,"State Exp.TC TN Ltd.",1000.0,914.0,4.04,67.68,2041.36,6592.0,5.03,76836.79,67286.4,269.56,465.0,75.0
31.0,"Thane MTU",320.0,198.0,3.2,"NA",141.56,2368.0,2.17,"NA","NA",887.97,67.0,3.0
32.0,"TN STC (Coimbatore)Ltd.",3014.0,2928.0,4.57,28.48,4481.48,18466.0,5.01,308245.03,249006.38,10655.55,971.0,213.0
33.0,"TN STC (Kumbakonam)Ltd.",3596.0,3352.0,4.11,14.27,5917.85,22733.0,5.52,371849.45,303225.69,11822.2,1226.0,323.0
34.0,"TN STC (Madurai)Ltd.",3460.0,3312.0,3.95,22.44,5414.66,14588.0,5.47,363170.58,306149.11,12288.63,1249.0,275.0
35.0,"TN STC (Salem)Ltd.",2086.0,2053.0,4.0,15.09,3550.88,12750.0,5.46,228415.52,178818.33,6966.16,372.0,167.0
36.0,"TN STC (Villupuram) Ltd.",3316.0,3188.0,4.35,22.05,5896.25,21546.0,5.54,374356.29,322239.06,10706.21,1625.0,237.0
37.0,"Tripura RTC",47.0,33.0,3.72,0.0,17.05,585.0,3.65,716.0,501.0,9.0,0.0,0.0
38.0,"Uttar Pradesh SRTC",8560.0,8325.0,"NA","NA",10287.0,30128.0,5.3,504059.0,332679.0,4705.0,935.0,342.0
"Total","All India",130563.0,118154.4,"","",148429.26,726599.0,"",7549841.55,5481866.09,287788.21,22760.0,4767.0
