"Months","20-21",22.0,23.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,"Mining","Manf.","Elect.","General"
"Apr'86",130.0,126.7,107.3,102.9,108.3,199.0,148.4,156.9,141.7,152.9,155.7,103.7,110.0,128.9,162.8,120.6,188.6,161.0,130.4,161.8,137.5
"May'86",98.1,125.7,104.3,92.7,108.1,199.0,153.1,161.4,136.0,156.2,154.8,106.6,115.8,126.5,219.9,119.0,183.8,168.0,132.3,163.1,139.9
"Jun'86",88.9,117.4,105.0,89.3,117.1,356.5,159.5,170.7,148.6,160.5,153.1,95.8,113.7,131.2,263.6,132.3,208.6,158.0,137.7,152.7,141.8
"Jul'86",93.1,106.9,106.0,105.9,109.5,255.4,165.6,181.6,148.0,166.7,160.3,114.0,123.9,137.4,214.9,139.7,196.9,158.0,139.4,161.0,144.0
"Aug'86",100.8,90.0,106.4,99.7,103.0,286.0,163.1,178.5,156.2,170.1,149.3,112.3,127.3,133.0,214.0,143.5,233.0,156.0,140.1,164.7,144.7
"Sep'86",104.2,86.8,106.2,99.8,95.0,238.1,148.5,174.6,153.4,178.4,152.3,123.4,121.5,140.3,238.2,143.7,218.1,163.0,144.0,172.2,149.7
"Oct'86",102.5,90.2,106.2,95.1,100.8,239.1,162.4,175.3,156.4,183.8,161.0,131.8,124.9,139.9,241.7,141.5,218.4,172.0,147.1,171.9,152.8
"Nov'86",126.7,93.6,110.9,96.7,96.6,217.9,173.6,187.3,141.7,181.4,161.1,133.3,124.6,137.5,221.0,136.5,192.1,178.0,146.6,165.8,152.4
"Dec'86",191.0,97.1,112.2,111.6,43.9,223.4,180.3,189.3,157.4,191.1,163.1,146.8,127.6,148.7,248.8,153.2,202.4,196.0,160.2,177.1,166.2
"Jan'87",191.9,75.5,130.3,111.1,51.4,246.3,178.0,193.5,156.4,183.2,165.2,142.4,137.1,155.5,315.2,163.4,369.1,200.0,169.7,178.2,174.1
"Feb'87",181.3,75.8,125.9,101.7,56.6,291.6,164.7,182.1,140.2,181.4,175.7,147.0,137.6,151.0,325.4,154.5,304.2,193.0,166.4,165.5,169.4
"Mar'87",189.3,96.6,129.5,106.9,54.6,200.6,161.1,180.9,159.0,200.3,171.6,164.0,129.4,172.0,391.4,191.2,309.6,232.0,183.0,183.4,188.6
"Apr'87",163.9,99.1,123.5,100.8,82.2,171.1,177.3,184.9,149.8,192.5,140.7,124.7,129.9,129.2,224.6,130.4,283.7,172.3,151.7,174.6,156.7
"May'87",116.3,99.2,114.7,88.3,82.6,183.7,158.2,178.1,134.1,178.3,139.7,120.0,115.7,123.5,242.4,129.7,268.0,174.7,142.4,172.7,149.6
"Jun'87",95.9,89.8,114.1,80.1,84.3,149.4,147.0,185.8,146.0,190.3,154.0,104.8,130.5,129.1,417.3,139.9,327.6,167.7,156.6,170.9,159.5
"Jul'87",99.9,79.2,115.4,86.1,91.3,162.4,158.8,191.9,151.8,196.3,159.1,121.5,126.9,132.1,436.8,146.0,308.6,166.4,163.2,183.5,165.9
"Aug'87",89.0,76.8,110.2,83.9,74.6,138.3,166.5,177.0,158.2,204.6,135.8,130.1,117.5,131.8,275.5,142.9,246.3,166.6,149.9,183.1,155.6
"Sep'87",98.0,79.1,110.7,87.3,83.2,139.8,173.2,194.8,141.9,195.6,158.8,137.9,127.6,142.7,317.3,153.8,233.8,167.6,155.9,181.2,160.1
"Oct'87",97.8,77.3,106.4,89.6,87.2,162.9,172.0,180.5,137.2,201.8,165.5,138.6,129.1,127.4,288.3,148.6,217.1,175.7,152.4,179.3,158.1
"Nov'87",132.8,82.8,108.2,100.0,94.7,170.5,177.1,188.8,165.2,206.6,163.6,137.8,135.1,149.4,306.6,157.8,236.0,187.5,162.2,175.5,166.6
"Dec'87",179.7,84.3,110.3,99.5,97.3,167.3,166.7,183.9,168.9,205.6,167.6,149.8,137.7,145.8,339.8,165.6,261.7,205.0,170.3,183.4,175.8
"Jan'88",195.1,77.1,109.4,95.8,99.0,156.4,164.2,182.9,163.7,210.3,169.8,150.0,134.2,146.5,296.6,153.9,292.8,210.6,167.5,189.8,175.0
"Feb'88",195.3,85.8,105.5,86.4,106.8,167.9,164.5,185.5,168.6,206.4,164.0,150.8,129.5,150.6,376.5,158.2,281.1,201.0,172.9,183.1,177.3
"Mar'88",204.4,88.6,105.8,94.6,117.7,170.6,170.4,192.3,175.4,222.7,178.5,161.0,141.2,162.4,500.6,195.4,308.9,220.0,193.4,194.3,196.6
"Apr'88",179.8,86.9,104.8,103.3,128.0,167.0,162.2,182.7,166.5,217.0,165.4,137.3,129.2,140.2,319.5,145.0,280.0,177.0,166.0,188.8,169.9
"May'88",137.7,95.4,105.7,95.6,125.8,170.8,169.3,175.3,180.0,222.5,181.1,135.1,136.7,146.6,324.7,159.1,288.1,187.5,167.8,196.2,173.3
"Jun'88",103.8,101.5,106.7,92.9,131.6,166.0,165.1,178.5,181.7,234.1,179.9,135.6,133.7,153.7,448.5,159.2,301.2,182.0,177.5,187.1,179.1
"Jul'88",102.3,92.0,107.4,98.9,134.9,169.0,169.7,179.0,168.4,229.1,177.9,141.5,131.6,155.3,311.5,159.2,294.9,175.7,166.6,183.6,169.6
"Aug'88",98.5,87.1,107.4,101.5,129.7,170.7,173.0,179.4,168.7,238.1,178.6,138.0,127.7,160.6,285.6,163.5,301.8,170.6,166.3,189.1,169.4
"Sep'88",98.4,87.8,109.4,100.8,132.7,163.3,172.2,177.7,157.4,234.8,171.3,138.4,133.0,158.1,323.8,167.3,302.9,179.5,168.3,185.7,171.6
"Oct'88",98.7,87.5,109.7,101.5,135.7,164.4,174.3,177.8,156.3,242.2,182.2,146.0,135.0,154.5,296.3,164.9,298.7,193.0,168.5,197.1,174.6
