"GROUP","PRODUCT","2006-2007 QTY.","2006-2007 VALUE","2007-2008 QTY.","2007-2008 VALUE","2008-2009 QTY.","2008-2009 VALUE","2009-10 QTY.","2009-10 VALUE","2010-11 QTY.","2010-11 VALUE","2011-12 QTY.","2011-12 VALUE"
"PESTICIDES & INSECTICIDES","CYPERMETHRIN",0.0,0.0,147.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","FENTHION",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","COPPER-OXYCHLORIDE",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","ALUMINIUM",0.0,0.0,183.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","METHYL BROMIDE",769.0,964.0,163.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DYES & DYESTUFFS","AZO DYES",615.0,1332.0,465.0,1343.0,583.0,2101.0,506.0,1829.0,536.0,2055.0,769.0,2556.0
"DYES & DYESTUFFS","ACID DIRECT DYES(OTHER THAN AZO)",620.0,731.0,571.0,741.0,459.0,1058.0,544.0,828.0,626.0,1183.0,723.0,1422.0
"DYES & DYESTUFFS","BASIC DYES",990.0,1815.0,1064.0,1779.0,814.0,1799.0,1560.0,4228.0,1275.0,3970.0,1401.0,4807.0
"DYES & DYESTUFFS","DISPERSE DYES",7421.0,11000.0,7215.0,10076.0,7205.0,12543.0,8013.0,14823.0,8378.0,17490.0,10534.0,22582.0
"DYES & DYESTUFFS","FAST COLOUR BASES",170.0,413.0,219.0,422.0,249.0,591.0,383.0,978.0,367.0,867.0,292.0,801.0
"DYES & DYESTUFFS","OIL SOLUBLE (SOLVENT DYES)",304.0,960.0,323.0,869.0,494.0,2657.0,608.0,3567.0,801.0,4615.0,1240.0,6292.0
"DYES & DYESTUFFS","OPTICAL WHITENING AGENTS",475.0,2405.0,497.0,2441.0,378.0,2264.0,469.0,2692.0,499.0,3073.0,392.0,2755.0
"DYES & DYESTUFFS","ORGANIC PIGMENT COLOURS",919.0,2222.0,428.0,922.0,670.0,968.0,418.0,619.0,111.0,537.0,186.0,817.0
"DYES & DYESTUFFS","PIGMENT EMULSION",3235.0,12969.0,4075.0,15695.0,4808.0,23398.0,4930.0,27269.0,6659.0,33094.0,8376.0,40159.0
"DYES & DYESTUFFS","REACTIVE DYES",2313.0,10379.0,2267.0,9473.0,2081.0,9235.0,2181.0,12069.0,2118.0,12646.0,2151.0,11667.0
"DYES & DYESTUFFS","SULPHUR DYES (SULPHUR BLACK)",5103.0,2231.0,7957.0,3214.0,2240.0,1471.0,2574.0,2018.0,1900.0,1680.0,2167.0,1888.0
"DYES & DYESTUFFS","VAT DYES",2834.0,6396.0,4765.0,9521.0,2788.0,8125.0,3599.0,11609.0,4430.0,13255.0,6379.0,16986.0
"DYES & DYESTUFFS","SOLUBILISED VAT DYES",149.0,518.0,93.0,481.0,90.0,448.0,26.0,220.0,54.0,266.0,193.0,698.0
"DYES & DYESTUFFS","FOOD COLOURS",910.0,3928.0,493.0,3278.0,351.0,1917.0,387.0,2481.0,623.0,1825.0,290.0,1768.0
"DYES & DYESTUFFS","NAPTHOLS",971.0,1715.0,1006.0,1813.0,925.0,2045.0,1157.0,2489.0,1073.0,2909.0,850.0,1839.0
"DYES & DYESTUFFS","OTHER DYES",227.0,774.0,616.0,1259.0,493.0,1725.0,434.0,1648.0,344.0,1737.0,462.0,1661.0
"IMPORTS OF MAJOR CHEMICALS","",1435040.0,388128.0,1913785.0,485513.0,2360983.0,581147.0,2632997.0,607493.0,2488601.0,687865.0,3134318.0,1009955.0
