"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton #","Jute","Mesta","Tea","Coffee**","Natural Rubber P"," Banana","Sugar cane","Tobacco P"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" Uttar Pradesh#",11992.0,207.0,1557.0,1114.0,"NA",6.0,30001.0,334.0,45211.0,530.0,309.0,1198.0,2037.0,47248.0,84.0,66.0,717.0,29.0,"NA",919.0,"NA","NA","NA","NA","NA","NA",1346.0,120545.0,80.0,13577.0,"NA",12.0,3.0,"NA",6.0
" Uttarakhand",550.0,"NA","NA",43.0,171.0,92.0,878.0,30.0,1764.0,"NA",1.0,51.0,52.0,1816.0,1.0,1.0,11.0,1.0,"NA",28.0,"NA","NA","NA","NA","NA","NA","NA",6498.0,"NA",424.0,"NA",7.0,11.84,"NA",6.0
" West Bengal#",13046.0,"NA","NA",352.0,13.9,1.8,874.0,3.0,14290.7,24.2,2.0,148.8,176.0,14466.7,103.0,169.0,420.0,1.4,"NA",704.0,"NA",8138.0,77.0,"NA","NA","NA",1010.0,1134.0,21.0,13391.0,"NA",96.0,23.83,245.0,38.0
" A. & N. Islands",24.0,"NA","NA","NA","NA","NA","NA","NA",24.0,"NA","NA",1.0,1.0,25.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.0,2.0,"NA","NA","NA",0.69,1.89,65.0,"NA"
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli",21.0,"NA","NA","NA",2.0,"NA","NA","NA",24.0,"NA",2.0,4.0,6.0,30.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu",3.3,"NA","NA","NA","NA","NA","NA","NA",4.3,"NA","NA",1.1,1.1,5.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",29.0,3.2,5.0,4.0,"NA","NA",111.0,"NA",153.2,"NA",0.7,"NA",0.8,153.0,"NA","NA",1.0,"NA","NA",1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",18.0,"NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",40.0,"NA"
" Puducherry",52.4,"NA","NA","NA","NA","NA","NA","NA",52.4,"NA","NA","NA",1.0,54.4,0.9,"NA","NA","NA","NA",1.1,"NA","NA","NA","NA","NA","NA",10.0,278.0,"NA","NA","NA","NA","NA",20.0,"NA"
