"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overage vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
21.0,"Pepsu RTC",1088.0,1039.0,8.24,52.0,933.0,4571.0,4.39,57826.6,41056.88,"NA",184.0,48.0
22.0,"Pimpri Chinchwad MT",232.0,111.0,8.83,56.9,113.51,1949.0,3.68,5334.96,3159.08,216.05,64.0,5.0
23.0,"Pune MT",809.94,661.72,8.6,13.37,570.27,6849.0,3.34,36008.0,18852.0,1792.65,243.0,19.0
24.0,"Punjab Roadways",1857.0,1593.0,7.0,58.0,1656.66,11149.0,4.29,86146.32,46519.01,1971.0,114.0,49.0
25.0,"State Exp.TC Ltd.",900.0,799.0,5.02,94.38,1798.67,7444.0,4.38,75112.46,56369.78,262.39,601.0,81.0
26.0,"Thane MT",264.0,236.0,9.3,"-",196.37,2530.0,3.28,11424.81,9139.84,961.57,101.0,6.0
27.0,"TN STC(Coimbatore Dvn-I)Ltd.",1514.0,1434.0,5.95,31.44,1912.73,10373.0,4.13,129818.27,92248.3,5870.33,643.0,105.0
28.0,"TN STC(Coimbatore Dvn-II)Ltd.",911.0,871.0,4.06,15.25,1457.84,6420.0,4.62,95668.0,65068.0,3011.67,470.0,85.0
29.0,"TN STC(Kumbakonam Dvn-I)Ltd.",923.0,843.0,6.0,42.81,1325.56,6155.0,4.6,85468.64,59908.89,3053.64,387.0,80.0
30.0,"TN STC(Kumbakonam Dvn-II)Ltd.",943.0,892.0,4.92,30.03,1466.55,6481.0,4.62,96520.38,74442.08,3104.15,305.0,86.0
31.0,"TN STC(Kumbakonam Dvn-III)Ltd.",583.0,543.0,5.78,33.32,913.18,3949.0,4.73,58441.0,40902.0,1310.92,213.0,55.0
32.0,"TN STC(Kumbakonam Dvn-IV)Ltd.",352.0,337.0,5.02,30.97,543.92,2485.0,4.68,35062.0,24792.0,1135.56,146.0,26.0
33.0,"TN STC(Madurai Dvn-I)Ltd.",912.0,838.0,6.3,53.0,1163.26,5985.0,4.2,87107.52,51894.84,3463.77,331.0,71.0
34.0,"TN STC(Madurai Dvn-II)Ltd.",829.0,752.0,6.12,33.05,1248.24,6107.0,4.61,80338.0,56497.0,2932.41,315.0,59.0
35.0,"TN STC(Madurai DVN-III)Ltd.",677.0,637.0,6.59,50.81,906.63,4431.0,4.34,54672.0,37445.0,2364.65,162.0,47.0
36.0,"TN STC(Madurai DVN-IV)Ltd.",713.0,689.0,5.86,45.44,1129.15,5210.0,4.65,72116.46,51249.91,2126.02,320.0,76.0
37.0,"TN STC(Madurai DVN-V) Ltd.",359.0,346.0,5.18,50.14,581.11,2634.0,4.69,39584.23,24801.58,1189.66,309.0,48.0
38.0,"TN STC(Salem Dvn-I)Ltd.",882.0,829.0,5.18,28.54,1319.24,6385.0,4.47,89946.5,57773.82,3177.1,276.0,49.0
39.0,"TN STC(Salem Dvn-II)Ltd.",676.0,644.0,4.18,26.81,1043.61,4712.0,4.65,69785.91,52074.44,2224.69,284.0,40.0
40.0,"TN STC(Villupuram Dvn.I)Ltd.",1051.0,981.0,4.26,29.11,1690.83,7019.0,4.44,117137.0,92427.0,2937.05,459.0,92.0
41.0,"TN STC(Villupuram Dvn-II)Ltd.",836.0,779.0,5.71,46.65,1215.3,5640.0,4.4,80910.0,60293.0,2809.61,460.0,62.0
42.0,"TN STC(Villupuram Dvn-III)Ltd.",755.0,723.0,5.93,49.14,1148.83,5603.0,4.49,72968.0,51837.0,2097.62,305.0,73.0
43.0,"Uttar Pradesh SRTC",7235.0,6602.0,6.05,52.81,6951.9,44508.0,4.79,367306.0,216711.0,3394.99,1025.0,351.0
"Total","All India",98090.27,90467.99,"","",106580.29,627491.0,"",6146565.61,3905427.72,146232.65636,20445.0,3852.0
